geo,time,age,education,sex,zaf_population
zaf,1996,21,Some primary,Female,39125.02923
zaf,1996,21,Complete primary,Male,25017.46192
zaf,1996,21,Complete primary,Female,24449.76387
zaf,1996,21,Some secondary,Male,178219.7688
zaf,1996,21,Some secondary,Female,196674.9481
zaf,1996,21,Grade 12/Std 10,Male,102094.167
zaf,1996,21,Grade 12/Std 10,Female,113932.2609
zaf,1996,21,Higher,Male,11770.50491
zaf,1996,21,Higher,Female,14400.36466
zaf,1996,21,Unspecified,Male,11721.86405
zaf,1996,21,Unspecified,Female,10683.49678
zaf,1996,21,Not applicable,Male,0
zaf,1996,21,Not applicable,Female,0
zaf,1996,21,Total,Male,398578.882
zaf,1996,21,Total,Female,422639.4585
zaf,1996,22,No schooling,Male,23677.4459
zaf,1996,22,No schooling,Female,24582.19609
zaf,1996,22,Some primary,Male,45218.26514
zaf,1996,22,Some primary,Female,39660.16117
zaf,1996,22,Complete primary,Male,22157.96293
zaf,1996,22,Complete primary,Female,23037.33218
zaf,1996,22,Some secondary,Male,154811.2438
zaf,1996,22,Some secondary,Female,175422.2069
zaf,1996,22,Grade 12/Std 10,Male,103464.1885
zaf,1996,22,Grade 12/Std 10,Female,114210.7959
zaf,1996,22,Higher,Male,16458.36166
zaf,1996,22,Higher,Female,20235.3927
zaf,1996,22,Unspecified,Male,12034.38683
zaf,1996,22,Unspecified,Female,11132.3828
zaf,1996,22,Not applicable,Male,0
zaf,1996,22,Not applicable,Female,0
zaf,1996,22,Total,Male,377821.8547
zaf,1996,22,Total,Female,408280.4678
zaf,1996,23,No schooling,Male,23444.68531
zaf,1996,23,No schooling,Female,25803.75447
zaf,1996,23,Some primary,Male,44594.00913
zaf,1996,23,Some primary,Female,40493.89327
zaf,1996,23,Complete primary,Male,21578.68692
zaf,1996,23,Complete primary,Female,23724.24869
zaf,1996,23,Some secondary,Male,138156.3054
zaf,1996,23,Some secondary,Female,160164.9009
zaf,1996,23,Grade 12/Std 10,Male,101216.7745
zaf,1996,23,Grade 12/Std 10,Female,110114.4365
zaf,1996,23,Higher,Male,20589.95266
zaf,1996,23,Higher,Female,24632.97455
zaf,1996,23,Unspecified,Male,12579.34673
zaf,1996,23,Unspecified,Female,11345.51438
zaf,1996,23,Not applicable,Male,0
zaf,1996,23,Not applicable,Female,0
zaf,1996,23,Total,Male,362159.7607
zaf,1996,23,Total,Female,396279.7227
zaf,1996,24,No schooling,Male,26635.58063
zaf,1996,24,No schooling,Female,29164.69545
zaf,1996,24,Some primary,Male,48659.72371
zaf,1996,24,Some primary,Female,44931.03033
zaf,1996,24,Complete primary,Male,22777.33614
zaf,1996,24,Complete primary,Female,25398.78456
zaf,1996,24,Some secondary,Male,136694.7552
zaf,1996,24,Some secondary,Female,157583.9665
zaf,1996,24,Grade 12/Std 10,Male,102445.7306
zaf,1996,24,Grade 12/Std 10,Female,111301.9108
zaf,1996,24,Higher,Male,25050.75719
zaf,1996,24,Higher,Female,28425.25379
zaf,1996,24,Unspecified,Male,14091.8677
zaf,1996,24,Unspecified,Female,11790.89422
zaf,1996,24,Not applicable,Male,0
zaf,1996,24,Not applicable,Female,0
zaf,1996,24,Total,Male,376355.7512
zaf,1996,24,Total,Female,408596.5357
zaf,1996,25,No schooling,Male,25019.81818
zaf,1996,25,No schooling,Female,27141.22739
zaf,1996,25,Some primary,Male,43067.58646
zaf,1996,25,Some primary,Female,39450.23633
zaf,1996,25,Complete primary,Male,20049.28664
zaf,1996,25,Complete primary,Female,22147.76007
zaf,1996,25,Some secondary,Male,113336.4567
zaf,1996,25,Some secondary,Female,129464.7767
zaf,1996,25,Grade 12/Std 10,Male,90082.06781
zaf,1996,25,Grade 12/Std 10,Female,97701.13197
zaf,1996,25,Higher,Male,26674.02537
zaf,1996,25,Higher,Female,28722.23647
zaf,1996,25,Unspecified,Male,13376.23967
zaf,1996,25,Unspecified,Female,11012.55784
zaf,1996,25,Not applicable,Male,0
zaf,1996,25,Not applicable,Female,0
zaf,1996,25,Total,Male,331605.4809
zaf,1996,25,Total,Female,355639.9268
zaf,1996,26,No schooling,Male,30581.76176
zaf,1996,26,No schooling,Female,32824.38806
zaf,1996,26,Some primary,Male,52342.11754
zaf,1996,26,Some primary,Female,48412.23243
zaf,1996,26,Complete primary,Male,24856.3037
zaf,1996,26,Complete primary,Female,27498.29014
zaf,1996,26,Some secondary,Male,130353.1406
zaf,1996,26,Some secondary,Female,147724.2246
zaf,1996,26,Grade 12/Std 10,Male,94189.62499
zaf,1996,26,Grade 12/Std 10,Female,100490.4005
zaf,1996,26,Higher,Male,29126.59954
zaf,1996,26,Higher,Female,30802.64502
zaf,1996,26,Unspecified,Male,15441.83042
zaf,1996,26,Unspecified,Female,12391.77178
zaf,1996,26,Not applicable,Male,0
zaf,1996,26,Not applicable,Female,0
zaf,1996,26,Total,Male,376891.3785
zaf,1996,26,Total,Female,400143.9525
zaf,1996,27,No schooling,Male,27666.80799
zaf,1996,27,No schooling,Female,30948.81935
zaf,1996,27,Some primary,Male,46530.22093
zaf,1996,27,Some primary,Female,45214.62529
zaf,1996,27,Complete primary,Male,22672.52228
zaf,1996,27,Complete primary,Female,26390.56881
zaf,1996,27,Some secondary,Male,113184.766
zaf,1996,27,Some secondary,Female,131347.4672
zaf,1996,27,Grade 12/Std 10,Male,79468.67611
zaf,1996,27,Grade 12/Std 10,Female,85917.83081
zaf,1996,27,Higher,Male,28895.61709
zaf,1996,27,Higher,Female,29986.60949
zaf,1996,27,Unspecified,Male,14024.32594
zaf,1996,27,Unspecified,Female,11290.59507
zaf,1996,27,Not applicable,Male,0
zaf,1996,27,Not applicable,Female,0
zaf,1996,27,Total,Male,332442.9364
zaf,1996,27,Total,Female,361096.516
zaf,1996,28,No schooling,Male,30100.4192
zaf,1996,28,No schooling,Female,35095.5097
zaf,1996,28,Some primary,Male,50592.21177
zaf,1996,28,Some primary,Female,50263.74522
zaf,1996,28,Complete primary,Male,24398.61038
