time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2002,arm,2692.30,72.43,3061067,Armenia,country,eur
2003,arm,3078.90,72.83,3060554,Armenia,country,eur
2004,arm,3413.90,73.19,3062612,Armenia,country,eur
2005,arm,3902.99,73.49,3065954,Armenia,country,eur
2006,arm,4413.18,73.73,3069844,Armenia,country,eur
2007,arm,5011.55,73.92,3074181,Armenia,country,eur
2008,arm,5346.98,74.07,3079087,Armenia,country,eur
2009,arm,4544.93,74.19,3084979,Armenia,country,eur
2010,arm,4598.93,74.29,3092072,Armenia,country,eur
2011,arm,4767.39,74.38,3100236,Armenia,country,eur
2012,arm,5059.08,74.46,3108972,Armenia,country,eur
2013,arm,5224.38,74.56,3117722,Armenia,country,eur
2014,arm,5384.73,74.66,3125790,Armenia,country,eur
1990,abw,24316.96,73.46,62147,Aruba,country,ame
1991,abw,25167.85,73.50,64642,Aruba,country,ame
1992,abw,25120.54,73.54,68286,Aruba,country,ame
1993,abw,25277.56,73.57,72573,Aruba,country,ame
1994,abw,25830.48,73.59,76762,Aruba,country,ame
1995,abw,25359.88,73.62,80323,Aruba,country,ame
1996,abw,24966.42,73.64,83069,Aruba,country,ame
1997,abw,26483.66,73.66,85161,Aruba,country,ame
1998,abw,27963.77,73.69,86827,Aruba,country,ame
1999,abw,27962.88,73.73,88442,Aruba,country,ame
2000,abw,28711.44,73.78,90271,Aruba,country,ame
2001,abw,27884.98,73.85,92363,Aruba,country,ame
2002,abw,26467.87,73.94,94596,Aruba,country,ame
2003,abw,25782.76,74.04,96875,Aruba,country,ame
2004,abw,26972.69,74.17,99046,Aruba,country,ame
2005,abw,26762.65,74.31,100996,Aruba,country,ame
2006,abw,26415.89,74.46,102711,Aruba,country,ame
2007,abw,26645.25,74.62,104225,Aruba,country,ame
2008,abw,25354.97,74.77,105526,Aruba,country,ame
2009,abw,23369.71,74.91,106612,Aruba,country,ame
2010,abw,21868.81,75.05,107488,Aruba,country,ame
2011,abw,23661.38,75.19,108141,Aruba,country,ame
2012,abw,,75.32,108587,Aruba,country,ame
2013,abw,,75.45,108883,Aruba,country,ame
2014,abw,,75.58,109118,Aruba,country,ame
1990,aus,23151.89,77.05,17096153,Australia,country,asi
1991,aus,22893.85,77.54,17320633,Australia,country,asi
1992,aus,23424.76,77.54,17529469,Australia,country,asi
1993,aus,24053.10,78.07,17727413,Australia,country,asi
1994,aus,24780.17,78.07,17921818,Australia,country,asi
1995,aus,25518.71,78.45,18118416,Australia,country,asi
1996,aus,26151.13,78.53,18319637,Australia,country,asi
1997,aus,26997.93,78.79,18525153,Australia,country,asi
1998,aus,28169.15,79.28,18734878,Australia,country,asi
1999,aus,28983.26,79.53,18947894,Australia,country,asi
2000,aus,29241.51,79.93,19164351,Australia,country,asi
2001,aus,30043.24,80.27,19382188,Australia,country,asi
2002,aus,30687.75,80.29,19604051,Australia,country,asi
2003,aus,31634.24,80.69,19840120,Australia,country,asi
2004,aus,32098.50,81.04,20103822,Australia,country,asi
2005,aus,32798,81.44,20403520,Australia,country,asi
2006,aus,33204.15,81.63,20744295,Australia,country,asi
2007,aus,34196.81,81.67,21119988,Australia,country,asi
2008,aus,34444.33,81.56,21513817,Australia,country,asi
2009,aus,34389.09,81.93,21902300,Australia,country,asi
2010,aus,34884.76,82.09,22268384,Australia,country,asi
2011,aus,35253.93,82.23,22605732,Australia,country,asi
2012,aus,36064.73,82.36,22918688,Australia,country,asi
2013,aus,36674.10,82.49,23213944,Australia,country,asi
2014,aus,37418.89,82.62,23502754,Australia,country,asi
1990,aut,26134.99,75.77,7670513,Austria,country,eur
1991,aut,26744.39,75.83,7719577,Austria,country,eur
1992,aut,27042.01,76.04,7778255,Austria,country,eur
1993,aut,26882.04,76.27,7839625,Austria,country,eur
1994,aut,27463.47,76.59,7894229,Austria,country,eur
1995,aut,27918.81,76.83,7935624,Austria,country,eur
1996,aut,28602.35,77.1,7960464,Austria,country,eur
1997,aut,29095.92,77.5,7971553,Austria,country,eur
1998,aut,30107.97,77.87,7976117,Austria,country,eur
1999,aut,31039.61,78.05,7984694,Austria,country,eur
2000,aut,32008.50,78.33,8004712,Austria,country,eur
2001,aut,32196.42,78.83,8038480,Austria,country,eur
2002,aut,32417.60,78.96,8083059,Austria,country,eur
2003,aut,32741.18,78.96,8134235,Austria,country,eur
2004,aut,33455.69,79.47,8185553,Austria,country,eur
2005,aut,34108,79.64,8232196,Austria,country,eur
2006,aut,35177.20,80.1,8273208,Austria,country,eur
2007,aut,36335.80,80.3,8309783,Austria,country,eur
2008,aut,36700.30,80.51,8341806,Austria,country,eur
2009,aut,35200.20,80.39,8369639,Austria,country,eur
2010,aut,35816.33,80.59,8393644,Austria,country,eur
2011,aut,36637.25,80.78,8413429,Austria,country,eur
2012,aut,36731.62,80.96,8428915,Austria,country,eur
2013,aut,36935.13,81.13,8441263,Austria,country,eur
