geo,under_five_mortality_from_ihme_per_1000_born,time
mwi,196.6,1992
mwi,191.0,1993
mwi,186.3,1994
mwi,181.5,1995
mwi,176.6,1996
mwi,171.9,1997
mwi,166.9,1998
mwi,161.8,1999
mwi,155.2,2000
mwi,150.6,2001
mwi,146.0,2002
mwi,141.6,2003
mwi,137.5,2004
mwi,133.6,2005
mwi,129.9,2006
mwi,126.2,2007
mwi,122.6,2008
mwi,119.3,2009
mwi,115.9,2010
mwi,112.6,2011
mwi,109.4,2012
mwi,106.4,2013
mwi,103.4,2014
mwi,100.5,2015
mys,49.3,1970
mys,46.4,1971
mys,43.6,1972
mys,41.0,1973
mys,38.6,1974
mys,36.3,1975
mys,34.2,1976
mys,32.2,1977
mys,30.4,1978
mys,28.7,1979
mys,27.1,1980
mys,25.6,1981
mys,24.1,1982
mys,22.7,1983
mys,21.4,1984
mys,20.2,1985
mys,19.0,1986
mys,17.9,1987
mys,16.9,1988
mys,15.9,1989
mys,14.9,1990
mys,14.1,1991
mys,13.3,1992
mys,12.5,1993
mys,11.8,1994
mys,11.1,1995
mys,10.4,1996
mys,9.8,1997
mys,9.2,1998
mys,8.7,1999
mys,8.2,2000
mys,7.7,2001
mys,7.3,2002
mys,6.8,2003
mys,6.4,2004
mys,6.1,2005
mys,5.7,2006
mys,5.4,2007
mys,5.1,2008
mys,4.8,2009
mys,4.5,2010
mys,4.2,2011
mys,4.0,2012
mys,3.8,2013
mys,3.5,2014
mys,3.3,2015
mdv,327.3,1970
mdv,309.2,1971
mdv,292.0,1972
mdv,275.6,1973
mdv,260.4,1974
mdv,246.1,1975
mdv,232.8,1976
mdv,220.2,1977
mdv,208.3,1978
mdv,197.0,1979
mdv,186.3,1980
mdv,176.2,1981
mdv,166.7,1982
mdv,157.7,1983
mdv,149.2,1984
mdv,141.2,1985
mdv,133.6,1986
mdv,126.3,1987
mdv,119.6,1988
mdv,112.7,1989
mdv,105.3,1990
mdv,98.1,1991
mdv,91.2,1992
mdv,84.7,1993
