agricultural_land_percent_of_land_area,geo,time
2.158,fro,1973
2.158,fro,1974
2.158,fro,1975
2.158,fro,1976
2.158,fro,1977
2.158,fro,1978
2.158,fro,1979
2.158,fro,1980
2.158,fro,1981
2.158,fro,1982
2.158,fro,1983
2.158,fro,1984
2.158,fro,1985
2.158,fro,1986
2.158,fro,1987
2.158,fro,1988
2.158,fro,1989
2.158,fro,1990
2.158,fro,1991
2.158,fro,1992
2.158,fro,1993
2.158,fro,1994
2.158,fro,1995
2.158,fro,1996
2.158,fro,1997
2.158,fro,1998
2.158,fro,1999
2.158,fro,2000
2.158,fro,2001
2.158,fro,2002
2.158,fro,2003
2.158,fro,2004
2.158,fro,2005
2.158,fro,2006
2.158,fro,2007
2.158,fro,2008
2.158,fro,2009
12.42,fji,1961
12.42,fji,1962
12.48,fji,1963
12.48,fji,1964
12.21,fji,1965
12.21,fji,1966
12.1,fji,1967
11.99,fji,1968
12.1,fji,1969
12.1,fji,1970
12.1,fji,1971
12.59,fji,1972
12.86,fji,1973
13.14,fji,1974
13.41,fji,1975
14.23,fji,1976
14.78,fji,1977
15.33,fji,1978
15.6,fji,1979
15.87,fji,1980
16.42,fji,1981
16.97,fji,1982
17.52,fji,1983
18.06,fji,1984
18.88,fji,1985
19.16,fji,1986
19.98,fji,1987
20.8,fji,1988
21.62,fji,1989
22.44,fji,1990
23.21,fji,1991
23.81,fji,1992
23.81,fji,1993
23.7,fji,1994
24.08,fji,1995
24.08,fji,1996
24.08,fji,1997
23.54,fji,1998
23.43,fji,1999
23.43,fji,2000
23.43,fji,2001
23.43,fji,2002
23.43,fji,2003
23.43,fji,2004
23.43,fji,2005
23.43,fji,2006
23.43,fji,2007
23.43,fji,2008
22.88,fji,2009
9.111,fin,1961
9.127,fin,1962
9.143,fin,1963
9.16,fin,1964
9.176,fin,1965
9.193,fin,1966
9.209,fin,1967
9.16,fin,1968
9.038,fin,1969
8.943,fin,1970
8.864,fin,1971
8.799,fin,1972
8.69,fin,1973
8.661,fin,1974
8.579,fin,1975
8.529,fin,1976
8.559,fin,1977
8.447,fin,1978
8.359,fin,1979
8.326,fin,1980
8.264,fin,1981
8.168,fin,1982
8.047,fin,1983
7.968,fin,1984
7.906,fin,1985
7.856,fin,1986
7.942,fin,1987
7.797,fin,1988
7.833,fin,1989
7.87,fin,1990
7.962,fin,1991
7.899,fin,1992
7.827,fin,1993
7.919,fin,1994
7.417,fin,1995
7.344,fin,1996
7.466,fin,1997
7.604,fin,1998
7.531,fin,1999
7.282,fin,2000
7.295,fin,2001
7.341,fin,2002
7.374,fin,2003
7.397,fin,2004
7.466,fin,2005
7.566,fin,2006
7.547,fin,2007
7.555,fin,2008
7.555,fin,2009
63.07,fra,1961
62.88,fra,1962
62.73,fra,1963
62.28,fra,1964
62.08,fra,1965
61.8,fra,1966
61.4,fra,1967
60.58,fra,1968
60.57,fra,1969
59.33,fra,1970
59.57,fra,1971
59.37,fra,1972
59.27,fra,1973
59.24,fra,1974
59.08,fra,1975
58.47,fra,1976
58.27,fra,1977
58.36,fra,1978
58.13,fra,1979
57.92,fra,1980
57.86,fra,1981
57.78,fra,1982
57.64,fra,1983
57.53,fra,1984
57.41,fra,1985
57.32,fra,1986
57.25,fra,1987
56.29,fra,1988
56.0,fra,1989
55.82,fra,1990
55.56,fra,1991
55.38,fra,1992
55.15,fra,1993
54.99,fra,1994
54.89,fra,1995
54.77,fra,1996
54.7,fra,1997
54.64,fra,1998
54.59,fra,1999
54.24,fra,2000
54.1,fra,2001
53.96,fra,2002
54.21,fra,2003
54.07,fra,2004
53.96,fra,2005
53.87,fra,2006
53.72,fra,2007
53.54,fra,2008
53.44,fra,2009
12.02,pyf,1961
12.02,pyf,1962
12.02,pyf,1963
12.02,pyf,1964
12.02,pyf,1965
12.02,pyf,1966
12.02,pyf,1967
12.02,pyf,1968
12.02,pyf,1969
12.02,pyf,1970
12.02,pyf,1971
12.02,pyf,1972
12.02,pyf,1973
12.02,pyf,1974
12.02,pyf,1975
12.02,pyf,1976
12.02,pyf,1977
12.02,pyf,1978
12.02,pyf,1979
12.02,pyf,1980
12.02,pyf,1981
12.02,pyf,1982
12.02,pyf,1983
12.02,pyf,1984
12.02,pyf,1985
12.02,pyf,1986
11.75,pyf,1987
11.75,pyf,1988
11.75,pyf,1989
11.75,pyf,1990
11.75,pyf,1991
11.75,pyf,1992
11.75,pyf,1993
11.75,pyf,1994
11.75,pyf,1995
11.75,pyf,1996
11.75,pyf,1997
11.75,pyf,1998
11.75,pyf,1999
11.75,pyf,2000
11.75,pyf,2001
12.3,pyf,2002
12.3,pyf,2003
12.3,pyf,2004
12.3,pyf,2005
12.3,pyf,2006
12.3,pyf,2007
12.3,pyf,2008
12.02,pyf,2009
20.16,gab,1961
20.22,gab,1962
20.28,gab,1963
20.34,gab,1964
20.39,gab,1965
20.45,gab,1966
20.32,gab,1967
20.37,gab,1968
20.24,gab,1969
20.1,gab,1970
20.18,gab,1971
20.05,gab,1972
19.93,gab,1973
19.99,gab,1974
20.06,gab,1975
20.0,gab,1976
20.09,gab,1977
20.18,gab,1978
19.99,gab,1979
19.99,gab,1980
19.99,gab,1981
19.99,gab,1982
19.99,gab,1983
19.99,gab,1984
19.99,gab,1985
19.99,gab,1986
19.99,gab,1987
19.99,gab,1988
19.99,gab,1989
20.01,gab,1990
20.01,gab,1991
20.03,gab,1992
20.03,gab,1993
20.03,gab,1994
20.03,gab,1995
20.03,gab,1996
20.03,gab,1997
20.03,gab,1998
20.03,gab,1999
20.03,gab,2000
20.03,gab,2001
20.03,gab,2002
20.03,gab,2003
19.95,gab,2004
19.95,gab,2005
19.95,gab,2006
19.95,gab,2007
19.95,gab,2008
19.95,gab,2009
52.1,gmb,1961
52.2,gmb,1962
52.3,gmb,1963
52.4,gmb,1964
52.5,gmb,1965
52.6,gmb,1966
52.8,gmb,1967
52.8,gmb,1968
53.0,gmb,1969
53.0,gmb,1970
53.3,gmb,1971
53.8,gmb,1972
54.3,gmb,1973
57.0,gmb,1974
56.4,gmb,1975
56.3,gmb,1976
57.0,gmb,1977
57.7,gmb,1978
56.6,gmb,1979
55.9,gmb,1980
58.1,gmb,1981
60.2,gmb,1982
58.3,gmb,1983
56.9,gmb,1984
61.9,gmb,1985
62.7,gmb,1986
63.4,gmb,1987
64.9,gmb,1988
63.1,gmb,1989
63.7,gmb,1990
64.6,gmb,1991
61.2,gmb,1992
61.1,gmb,1993
63.0,gmb,1994
64.4,gmb,1995
64.9,gmb,1996
66.4,gmb,1997
64.5,gmb,1998
67.5,gmb,1999
68.0,gmb,2000
71.7,gmb,2001
62.5,gmb,2002
62.0,gmb,2003
64.0,gmb,2004
63.5,gmb,2005
64.0,gmb,2006
63.5,gmb,2007
65.5,gmb,2008
66.5,gmb,2009
46.47,geo,1992
45.01,geo,1993
44.57,geo,1994
43.86,geo,1995
43.68,geo,1996
43.7,geo,1997
43.82,geo,1998
43.16,geo,1999
43.17,geo,2000
43.21,geo,2001
43.23,geo,2002
43.26,geo,2003
36.15,geo,2004
36.19,geo,2005
36.24,geo,2006
36.22,geo,2007
36.31,geo,2008
36.09,geo,2009
55.5,deu,1961
55.55,deu,1962
55.57,deu,1963
55.73,deu,1964
55.95,deu,1965
55.94,deu,1966
55.6,deu,1967
55.24,deu,1968
55.15,deu,1969
54.49,deu,1970
54.28,deu,1971
54.27,deu,1972
54.13,deu,1973
53.91,deu,1974
53.83,deu,1975
53.73,deu,1976
53.59,deu,1977
53.44,deu,1978
53.26,deu,1979
53.04,deu,1980
52.88,deu,1981
52.69,deu,1982
52.5,deu,1983
52.37,deu,1984
52.26,deu,1985
52.15,deu,1986
51.91,deu,1987
51.83,deu,1988
51.72,deu,1989
51.65,deu,1990
49.08,deu,1991
48.55,deu,1992
49.16,deu,1993
49.58,deu,1994
49.68,deu,1995
49.66,deu,1996
49.64,deu,1997
49.78,deu,1998
49.15,deu,1999
48.91,deu,2000
48.82,deu,2001
48.64,deu,2002
48.74,deu,2003
48.78,deu,2004
48.83,deu,2005
48.59,deu,2006
48.61,deu,2007
48.54,deu,2008
48.44,deu,2009
51.42,gha,1961
51.42,gha,1962
51.42,gha,1963
51.42,gha,1964
51.42,gha,1965
51.42,gha,1966
51.42,gha,1967
51.42,gha,1968
51.42,gha,1969
51.42,gha,1970
51.42,gha,1971
51.42,gha,1972
51.42,gha,1973
51.42,gha,1974
51.86,gha,1975
51.86,gha,1976
52.3,gha,1977
52.74,gha,1978
52.74,gha,1979
52.74,gha,1980
52.74,gha,1981
53.62,gha,1982
53.62,gha,1983
54.06,gha,1984
54.5,gha,1985
54.5,gha,1986
54.5,gha,1987
54.94,gha,1988
54.94,gha,1989
55.4,gha,1990
55.9,gha,1991
55.9,gha,1992
56.25,gha,1993
56.69,gha,1994
57.57,gha,1995
58.45,gha,1996
59.89,gha,1997
61.66,gha,1998
62.32,gha,1999
63.42,gha,2000
63.77,gha,2001
64.3,gha,2002
65.2,gha,2003
66.36,gha,2004
66.36,gha,2005
67.24,gha,2006
68.12,gha,2007
68.12,gha,2008
68.12,gha,2009
69.12,grc,1961
69.06,grc,1962
69.98,grc,1963
69.75,grc,1964
67.32,grc,1965
70.52,grc,1966
70.7,grc,1967
70.93,grc,1968
70.94,grc,1969
71.02,grc,1970
71.02,grc,1971
71.06,grc,1972
70.93,grc,1973
70.92,grc,1974
70.74,grc,1975
70.71,grc,1976
70.69,grc,1977
71.18,grc,1978
71.23,grc,1979
71.22,grc,1980
71.42,grc,1981
71.42,grc,1982
71.23,grc,1983
71.44,grc,1984
71.25,grc,1985
71.22,grc,1986
71.19,grc,1987
71.21,grc,1988
71.49,grc,1989
71.54,grc,1990
71.09,grc,1991
71.12,grc,1992
71.06,grc,1993
71.14,grc,1994
71.09,grc,1995
71.16,grc,1996
69.71,grc,1997
68.13,grc,1998
67.26,grc,1999
66.17,grc,2000
65.96,grc,2001
65.52,grc,2002
35.53,grc,2003
64.71,grc,2004
30.81,grc,2005
64.17,grc,2006
36.38,grc,2007
63.84,grc,2008
63.61,grc,2009
0.6877,grl,1961
0.6877,grl,1962
0.6877,grl,1963
0.6877,grl,1964
0.6877,grl,1965
0.6877,grl,1966
0.6877,grl,1967
0.6877,grl,1968
0.6877,grl,1969
0.6877,grl,1970
0.6877,grl,1971
0.6877,grl,1972
0.6877,grl,1973
0.6877,grl,1974
0.6877,grl,1975
0.6877,grl,1976
0.6877,grl,1977
0.6877,grl,1978
0.6877,grl,1979
0.6877,grl,1980
0.6877,grl,1981
0.6877,grl,1982
0.6877,grl,1983
0.6877,grl,1984
0.6877,grl,1985
0.6877,grl,1986
0.6877,grl,1987
0.6877,grl,1988
0.6877,grl,1989
0.6877,grl,1990
0.6877,grl,1991
0.6877,grl,1992
0.6877,grl,1993
0.6877,grl,1994
0.6877,grl,1995
0.6877,grl,1996
0.5725,grl,1997
0.5725,grl,1998
0.5725,grl,1999
0.5725,grl,2000
0.5725,grl,2001
0.5725,grl,2002
0.5725,grl,2003
0.5725,grl,2004
0.5725,grl,2005
0.5725,grl,2006
0.5725,grl,2007
0.5725,grl,2008
0.5725,grl,2009
64.71,grd,1961
64.71,grd,1962
64.71,grd,1963
64.71,grd,1964
64.71,grd,1965
64.71,grd,1966
64.71,grd,1967
64.71,grd,1968
64.71,grd,1969
64.71,grd,1970
64.71,grd,1971
58.82,grd,1972
58.82,grd,1973
58.82,grd,1974
58.82,grd,1975
58.82,grd,1976
58.82,grd,1977
55.88,grd,1978
55.88,grd,1979
47.06,grd,1980
47.06,grd,1981
47.06,grd,1982
47.06,grd,1983
47.06,grd,1984
41.18,grd,1985
41.18,grd,1986
38.24,grd,1987
38.24,grd,1988
38.24,grd,1989
38.24,grd,1990
35.29,grd,1991
35.29,grd,1992
35.29,grd,1993
35.29,grd,1994
35.29,grd,1995
35.29,grd,1996
35.29,grd,1997
35.29,grd,1998
35.29,grd,1999
35.29,grd,2000
38.24,grd,2001
38.24,grd,2002
38.24,grd,2003
38.24,grd,2004
38.24,grd,2005
38.24,grd,2006
38.24,grd,2007
35.29,grd,2008
35.29,grd,2009
29.63,gum,1961
29.63,gum,1962
31.48,gum,1963
31.48,gum,1964
31.48,gum,1965
31.48,gum,1966
31.48,gum,1967
31.48,gum,1968
31.48,gum,1969
31.48,gum,1970
31.48,gum,1971
31.48,gum,1972
31.48,gum,1973
31.48,gum,1974
31.48,gum,1975
31.48,gum,1976
31.48,gum,1977
31.48,gum,1978
33.33,gum,1979
33.33,gum,1980
37.04,gum,1981
37.04,gum,1982
37.04,gum,1983
37.04,gum,1984
37.04,gum,1985
37.04,gum,1986
37.04,gum,1987
37.04,gum,1988
37.04,gum,1989
37.04,gum,1990
37.04,gum,1991
37.04,gum,1992
37.04,gum,1993
37.04,gum,1994
37.04,gum,1995
37.04,gum,1996
37.04,gum,1997
37.04,gum,1998
37.04,gum,1999
37.04,gum,2000
37.04,gum,2001
37.04,gum,2002
37.04,gum,2003
37.04,gum,2004
37.04,gum,2005
37.04,gum,2006
35.19,gum,2007
35.19,gum,2008
35.19,gum,2009
24.69,gtm,1961
24.8,gtm,1962
24.92,gtm,1963
25.03,gtm,1964
25.14,gtm,1965
25.25,gtm,1966
25.46,gtm,1967
25.57,gtm,1968
25.59,gtm,1969
25.71,gtm,1970
25.82,gtm,1971
26.13,gtm,1972
26.53,gtm,1973
26.83,gtm,1974
26.95,gtm,1975
27.34,gtm,1976
27.93,gtm,1977
28.04,gtm,1978
28.14,gtm,1979
28.46,gtm,1980
28.62,gtm,1981
28.97,gtm,1982
29.11,gtm,1983
35.32,gtm,1984
35.32,gtm,1985
35.32,gtm,1986
35.32,gtm,1987
39.99,gtm,1988
39.99,gtm,1989
39.99,gtm,1990
39.99,gtm,1991
39.99,gtm,1992
41.83,gtm,1993
42.11,gtm,1994
42.11,gtm,1995
42.11,gtm,1996
42.2,gtm,1997
41.34,gtm,1998
41.43,gtm,1999
41.67,gtm,2000
41.95,gtm,2001
42.23,gtm,2002
47.26,gtm,2003
44.79,gtm,2004
42.57,gtm,2005
40.13,gtm,2006
41.66,gtm,2007
39.36,gtm,2008
41.01,gtm,2009
59.5,gin,1961
59.49,gin,1962
59.4,gin,1963
59.3,gin,1964
59.21,gin,1965
59.11,gin,1966
59.01,gin,1967
58.91,gin,1968
58.81,gin,1969
58.72,gin,1970
58.62,gin,1971
58.53,gin,1972
58.43,gin,1973
58.33,gin,1974
58.28,gin,1975
58.18,gin,1976
58.08,gin,1977
57.98,gin,1978
57.97,gin,1979
57.87,gin,1980
57.78,gin,1981
57.68,gin,1982
57.62,gin,1983
57.53,gin,1984
57.47,gin,1985
57.37,gin,1986
57.28,gin,1987
57.31,gin,1988
57.21,gin,1989
57.55,gin,1990
57.17,gin,1991
57.2,gin,1992
57.19,gin,1993
57.17,gin,1994
57.07,gin,1995
56.64,gin,1996
56.16,gin,1997
55.82,gin,1998
55.1,gin,1999
54.9,gin,2000
55.1,gin,2001
55.92,gin,2002
56.34,gin,2003
56.69,gin,2004
57.47,gin,2005
57.5,gin,2006
57.71,gin,2007
57.95,gin,2008
57.95,gin,2009
48.29,gnb,1961
48.29,gnb,1962
48.29,gnb,1963
48.29,gnb,1964
48.29,gnb,1965
48.29,gnb,1966
48.65,gnb,1967
48.65,gnb,1968
48.65,gnb,1969
48.65,gnb,1970
48.65,gnb,1971
48.65,gnb,1972
48.83,gnb,1973
49.0,gnb,1974
49.0,gnb,1975
49.0,gnb,1976
49.04,gnb,1977
49.04,gnb,1978
49.08,gnb,1979
49.18,gnb,1980
49.43,gnb,1981
49.89,gnb,1982
50.25,gnb,1983
51.21,gnb,1984
51.49,gnb,1985
50.32,gnb,1986
50.14,gnb,1987
49.79,gnb,1988
51.1,gnb,1989
51.46,gnb,1990
51.46,gnb,1991
51.46,gnb,1992
52.17,gnb,1993
52.52,gnb,1994
52.84,gnb,1995
53.06,gnb,1996
54.66,gnb,1997
54.66,gnb,1998
56.47,gnb,1999
57.89,gnb,2000
57.89,gnb,2001
57.57,gnb,2002
57.61,gnb,2003
57.61,gnb,2004
57.61,gnb,2005
57.97,gnb,2006
57.97,gnb,2007
57.97,gnb,2008
57.97,gnb,2009
6.909,guy,1961
6.909,guy,1962
6.909,guy,1963
6.909,guy,1964
6.909,guy,1965
6.934,guy,1966
6.934,guy,1967
6.944,guy,1968
6.944,guy,1969
6.97,guy,1970
6.97,guy,1971
6.985,guy,1972
6.995,guy,1973
6.995,guy,1974
7.0,guy,1975
7.407,guy,1976
7.833,guy,1977
8.26,guy,1978
8.712,guy,1979
8.712,guy,1980
8.712,guy,1981
8.712,guy,1982
8.763,guy,1983
8.778,guy,1984
8.778,guy,1985
8.788,guy,1986
8.788,guy,1987
8.788,guy,1988
8.799,guy,1989
8.799,guy,1990
8.809,guy,1991
8.809,guy,1992
8.809,guy,1993
8.809,guy,1994
8.809,guy,1995
8.809,guy,1996
8.809,guy,1997
8.809,guy,1998
8.814,guy,1999
8.677,guy,2000
8.677,guy,2001
8.677,guy,2002
8.677,guy,2003
8.677,guy,2004
8.524,guy,2005
8.509,guy,2006
8.509,guy,2007
8.509,guy,2008
8.509,guy,2009
60.23,hti,1961
60.41,hti,1962
60.6,hti,1963
60.78,hti,1964
60.96,hti,1965
61.14,hti,1966
61.32,hti,1967
61.5,hti,1968
61.68,hti,1969
61.87,hti,1970
62.05,hti,1971
57.47,hti,1972
57.44,hti,1973
57.44,hti,1974
57.44,hti,1975
57.51,hti,1976
57.51,hti,1977
57.87,hti,1978
57.87,hti,1979
58.06,hti,1980
58.06,hti,1981
58.06,hti,1982
58.06,hti,1983
58.06,hti,1984
58.06,hti,1985
58.06,hti,1986
58.06,hti,1987
58.02,hti,1988
57.98,hti,1989
57.95,hti,1990
57.91,hti,1991
57.15,hti,1992
57.15,hti,1993
57.87,hti,1994
57.69,hti,1995
57.69,hti,1996
61.32,hti,1997
61.32,hti,1998
61.32,hti,1999
61.32,hti,2000
60.6,hti,2001
60.6,hti,2002
60.6,hti,2003
60.6,hti,2004
60.6,hti,2005
60.6,hti,2006
67.85,hti,2007
64.22,hti,2008
66.76,hti,2009
26.63,hnd,1961
26.72,hnd,1962
26.77,hnd,1963
26.81,hnd,1964
26.86,hnd,1965
26.95,hnd,1966
27.04,hnd,1967
27.08,hnd,1968
27.08,hnd,1969
27.17,hnd,1970
27.21,hnd,1971
27.53,hnd,1972
27.62,hnd,1973
27.67,hnd,1974
28.02,hnd,1975
28.33,hnd,1976
29.0,hnd,1977
29.11,hnd,1978
29.11,hnd,1979
29.11,hnd,1980
29.17,hnd,1981
29.22,hnd,1982
29.23,hnd,1983
29.29,hnd,1984
29.3,hnd,1985
29.36,hnd,1986
29.36,hnd,1987
29.36,hnd,1988
30.13,hnd,1989
29.67,hnd,1990
29.87,hnd,1991
29.98,hnd,1992
31.71,hnd,1993
31.46,hnd,1994
31.1,hnd,1995
31.1,hnd,1996
30.34,hnd,1997
30.34,hnd,1998
29.82,hnd,1999
26.23,hnd,2000
26.24,hnd,2001
27.06,hnd,2002
28.18,hnd,2003
28.06,hnd,2004
28.15,hnd,2005
28.24,hnd,2006
28.24,hnd,2007
28.46,hnd,2008
28.51,hnd,2009
78.67,hun,1961
77.89,hun,1962
77.57,hun,1963
77.52,hun,1964
77.24,hun,1965
76.96,hun,1966
76.82,hun,1967
76.71,hun,1968
76.54,hun,1969
76.41,hun,1970
76.19,hun,1971
76.09,hun,1972
75.97,hun,1973
75.38,hun,1974
75.25,hun,1975
75.12,hun,1976
74.8,hun,1977
74.45,hun,1978
73.97,hun,1979
73.71,hun,1980
73.43,hun,1981
73.22,hun,1982
73.11,hun,1983
72.92,hun,1984
72.75,hun,1985
72.57,hun,1986
72.44,hun,1987
72.29,hun,1988
72.15,hun,1989
72.04,hun,1990
71.88,hun,1991
68.28,hun,1992
68.22,hun,1993
68.13,hun,1994
68.76,hun,1995
68.82,hun,1996
68.99,hun,1997
68.96,hun,1998
68.89,hun,1999
65.32,hun,2000
65.44,hun,2001
65.26,hun,2002
65.44,hun,2003
65.43,hun,2004
65.43,hun,2005
64.83,hun,2006
64.8,hun,2007
64.61,hun,2008
63.88,hun,2009
22.8,isl,1961
22.79,isl,1962
22.79,isl,1963
22.79,isl,1964
22.79,isl,1965
22.79,isl,1966
22.79,isl,1967
22.79,isl,1968
22.8,isl,1969
22.8,isl,1970
22.8,isl,1971
22.8,isl,1972
22.81,isl,1973
22.81,isl,1974
22.81,isl,1975
22.81,isl,1976
22.77,isl,1977
22.76,isl,1978
22.76,isl,1979
22.76,isl,1980
22.76,isl,1981
22.76,isl,1982
22.76,isl,1983
22.75,isl,1984
22.75,isl,1985
22.75,isl,1986
22.75,isl,1987
22.75,isl,1988
22.75,isl,1989
22.75,isl,1990
22.75,isl,1991
22.74,isl,1992
22.74,isl,1993
22.74,isl,1994
22.74,isl,1995
22.74,isl,1996
22.74,isl,1997
22.75,isl,1998
22.75,isl,1999
22.75,isl,2000
22.75,isl,2001
22.75,isl,2002
22.75,isl,2003
22.75,isl,2004
22.75,isl,2005
22.75,isl,2006
22.75,isl,2007
22.75,isl,2008
22.75,isl,2009
58.83,ind,1961
59.33,ind,1962
59.26,ind,1963
59.44,ind,1964
59.61,ind,1965
59.74,ind,1966
59.81,ind,1967
59.99,ind,1968
59.83,ind,1969
59.89,ind,1970
59.77,ind,1971
59.94,ind,1972
60.29,ind,1973
60.54,ind,1974
60.83,ind,1975
60.81,ind,1976
60.81,ind,1977
60.88,ind,1978
60.73,ind,1979
60.66,ind,1980
60.7,ind,1981
60.78,ind,1982
60.7,ind,1983
60.9,ind,1984
60.86,ind,1985
60.95,ind,1986
61.1,ind,1987
60.93,ind,1988
60.97,ind,1989
60.89,ind,1990
60.92,ind,1991
60.86,ind,1992
60.89,ind,1993
60.89,ind,1994
60.8,ind,1995
60.84,ind,1996
60.83,ind,1997
60.89,ind,1998
60.86,ind,1999
61.41,ind,2000
60.67,ind,2001
60.55,ind,2002
60.64,ind,2003
60.57,ind,2004
60.49,ind,2005
60.53,ind,2006
60.44,ind,2007
60.44,ind,2008
60.53,ind,2009
21.31,idn,1961
21.31,idn,1962
21.28,idn,1963
21.28,idn,1964
21.25,idn,1965
21.22,idn,1966
21.22,idn,1967
21.22,idn,1968
21.2,idn,1969
21.2,idn,1970
21.17,idn,1971
21.17,idn,1972
21.14,idn,1973
21.14,idn,1974
21.12,idn,1975
21.0,idn,1976
21.0,idn,1977
21.0,idn,1978
20.98,idn,1979
20.98,idn,1980
20.95,idn,1981
20.95,idn,1982
20.92,idn,1983
20.45,idn,1984
21.9,idn,1985
22.79,idn,1986
24.0,idn,1987
24.36,idn,1988
24.53,idn,1989
24.89,idn,1990
22.92,idn,1991
22.83,idn,1992
23.19,idn,1993
23.17,idn,1994
23.29,idn,1995
23.27,idn,1996
23.58,idn,1997
23.69,idn,1998
24.25,idn,1999
25.21,idn,2000
25.56,idn,2001
25.88,idn,2002
27.27,idn,2003
28.58,idn,2004
27.18,idn,2005
27.71,idn,2006
28.15,idn,2007
28.7,idn,2008
29.59,idn,2009
36.39,irn,1961
36.41,irn,1962
36.44,irn,1963
36.48,irn,1964
36.52,irn,1965
36.52,irn,1966
36.57,irn,1967
36.6,irn,1968
36.64,irn,1969
36.66,irn,1970
36.94,irn,1971
37.33,irn,1972
37.75,irn,1973
37.43,irn,1974
37.11,irn,1975
36.81,irn,1976
36.65,irn,1977
36.15,irn,1978
36.79,irn,1979
35.44,irn,1980
35.79,irn,1981
36.15,irn,1982
36.36,irn,1983
36.56,irn,1984
37.07,irn,1985
37.27,irn,1986
37.48,irn,1987
37.99,irn,1988
37.89,irn,1989
37.76,irn,1990
38.68,irn,1991
39.17,irn,1992
39.39,irn,1993
39.4,irn,1994
39.43,irn,1995
39.56,irn,1996
39.2,irn,1997
39.78,irn,1998
39.11,irn,1999
38.61,irn,2000
39.19,irn,2001
39.33,irn,2002
39.46,irn,2003
39.6,irn,2004
29.25,irn,2005
29.38,irn,2006
29.52,irn,2007
29.65,irn,2008
29.79,irn,2009
20.12,irq,1961
20.25,irq,1962
20.37,irq,1963
20.27,irq,1964
20.39,irq,1965
20.41,irq,1966
20.53,irq,1967
20.54,irq,1968
20.55,irq,1969
20.56,irq,1970
20.58,irq,1971
20.94,irq,1972
20.97,irq,1973
21.22,irq,1974
21.23,irq,1975
21.23,irq,1976
21.23,irq,1977
21.47,irq,1978
21.58,irq,1979
21.58,irq,1980
21.58,irq,1981
21.61,irq,1982
21.68,irq,1983
21.72,irq,1984
21.74,irq,1985
21.77,irq,1986
21.77,irq,1987
21.93,irq,1988
22.38,irq,1989
23.07,irq,1990
23.49,irq,1991
23.02,irq,1992
22.44,irq,1993
21.79,irq,1994
22.16,irq,1995
21.82,irq,1996
22.16,irq,1997
22.73,irq,1998
22.5,irq,1999
21.26,irq,2000
21.42,irq,2001
22.56,irq,2002
22.34,irq,2003
22.11,irq,2004
22.29,irq,2005
21.15,irq,2006
21.61,irq,2007
21.61,irq,2008
20.15,irq,2009
81.87,irl,1961
81.97,irl,1962
82.32,irl,1963
82.25,irl,1964
82.19,irl,1965
81.8,irl,1966
82.07,irl,1967
82.36,irl,1968
82.61,irl,1969
82.26,irl,1970
82.33,irl,1971
82.48,irl,1972
82.48,irl,1973
82.62,irl,1974
82.96,irl,1975
82.99,irl,1976
83.06,irl,1977
83.13,irl,1978
83.06,irl,1979
83.13,irl,1980
83.21,irl,1981
83.13,irl,1982
82.8,irl,1983
82.68,irl,1984
82.81,irl,1985
82.65,irl,1986
82.29,irl,1987
82.2,irl,1988
82.09,irl,1989
82.0,irl,1990
64.48,irl,1991
64.06,irl,1992
63.93,irl,1993
63.72,irl,1994
63.71,irl,1995
63.01,irl,1996
64.32,irl,1997
64.1,irl,1998
64.13,irl,1999
64.04,irl,2000
64.02,irl,2001
63.48,irl,2002
63.43,irl,2003
62.49,irl,2004
62.45,irl,2005
61.84,irl,2006
62.07,irl,2007
60.97,irl,2008
60.81,irl,2009
56.14,gbm,1961
56.14,gbm,1962
56.14,gbm,1963
54.39,gbm,1964
56.14,gbm,1965
54.39,gbm,1966
54.39,gbm,1967
54.39,gbm,1968
54.39,gbm,1969
54.39,gbm,1970
54.39,gbm,1971
54.39,gbm,1972
56.14,gbm,1973
56.14,gbm,1974
56.14,gbm,1975
57.89,gbm,1976
57.89,gbm,1977
57.89,gbm,1978
59.65,gbm,1979
59.65,gbm,1980
61.4,gbm,1981
61.4,gbm,1982
63.16,gbm,1983
63.16,gbm,1984
63.16,gbm,1985
64.91,gbm,1986
64.91,gbm,1987
64.91,gbm,1988
66.67,gbm,1989
66.67,gbm,1990
66.67,gbm,1991
66.67,gbm,1992
68.42,gbm,1993
68.42,gbm,1994
68.42,gbm,1995
70.18,gbm,1996
70.18,gbm,1997
70.18,gbm,1998
71.93,gbm,1999
71.93,gbm,2000
71.93,gbm,2001
71.93,gbm,2002
73.68,gbm,2003
73.68,gbm,2004
73.68,gbm,2005
73.68,gbm,2006
73.68,gbm,2007
73.68,gbm,2008
73.68,gbm,2009
23.61,isr,1961
23.34,isr,1962
24.12,isr,1963
24.26,isr,1964
23.75,isr,1965
24.26,isr,1966
24.26,isr,1967
24.08,isr,1968
24.17,isr,1969
24.26,isr,1970
24.35,isr,1971
24.35,isr,1972
24.82,isr,1973
25.18,isr,1974
24.95,isr,1975
24.49,isr,1976
24.54,isr,1977
24.63,isr,1978
24.63,isr,1979
24.63,isr,1980
24.86,isr,1981
24.95,isr,1982
25.55,isr,1983
26.06,isr,1984
26.57,isr,1985
26.76,isr,1986
26.66,isr,1987
26.62,isr,1988
26.57,isr,1989
26.76,isr,1990
26.71,isr,1991
26.66,isr,1992
26.66,isr,1993
26.76,isr,1994
