blood_pressure_sbp_women_mmhg,geo,time
125.3,tcd,1992
125.5,tcd,1993
125.6,tcd,1994
125.7,tcd,1995
125.9,tcd,1996
126.0,tcd,1997
126.2,tcd,1998
126.4,tcd,1999
126.5,tcd,2000
126.7,tcd,2001
126.9,tcd,2002
127.1,tcd,2003
127.3,tcd,2004
127.5,tcd,2005
127.7,tcd,2006
127.8,tcd,2007
127.9,tcd,2008
130.1,chl,1980
129.9,chl,1981
129.7,chl,1982
129.5,chl,1983
129.3,chl,1984
129.1,chl,1985
128.9,chl,1986
128.7,chl,1987
128.5,chl,1988
128.3,chl,1989
128.2,chl,1990
128.0,chl,1991
127.9,chl,1992
127.8,chl,1993
127.7,chl,1994
127.6,chl,1995
127.4,chl,1996
127.3,chl,1997
127.1,chl,1998
126.9,chl,1999
126.8,chl,2000
126.6,chl,2001
126.5,chl,2002
126.3,chl,2003
126.2,chl,2004
126.1,chl,2005
125.9,chl,2006
125.7,chl,2007
125.5,chl,2008
125.7,chn,1980
125.3,chn,1981
125.0,chn,1982
124.6,chn,1983
124.3,chn,1984
124.0,chn,1985
123.8,chn,1986
123.6,chn,1987
123.4,chn,1988
123.3,chn,1989
123.2,chn,1990
123.1,chn,1991
123.0,chn,1992
122.9,chn,1993
122.8,chn,1994
122.8,chn,1995
122.8,chn,1996
122.8,chn,1997
122.9,chn,1998
122.9,chn,1999
123.1,chn,2000
123.2,chn,2001
123.4,chn,2002
123.5,chn,2003
123.7,chn,2004
123.9,chn,2005
124.0,chn,2006
124.2,chn,2007
124.3,chn,2008
127.6,col,1980
127.4,col,1981
127.2,col,1982
127.0,col,1983
126.7,col,1984
126.4,col,1985
126.1,col,1986
125.9,col,1987
125.7,col,1988
125.4,col,1989
125.2,col,1990
124.9,col,1991
124.7,col,1992
124.5,col,1993
124.3,col,1994
124.1,col,1995
123.9,col,1996
123.7,col,1997
123.6,col,1998
123.5,col,1999
123.4,col,2000
123.4,col,2001
123.4,col,2002
123.4,col,2003
123.5,col,2004
123.6,col,2005
123.7,col,2006
123.9,col,2007
124.0,col,2008
126.6,com,1980
126.8,com,1981
126.9,com,1982
127.1,com,1983
127.3,com,1984
127.4,com,1985
127.6,com,1986
127.9,com,1987
128.1,com,1988
128.3,com,1989
128.6,com,1990
128.8,com,1991
128.9,com,1992
129.1,com,1993
129.2,com,1994
129.3,com,1995
129.4,com,1996
129.5,com,1997
129.6,com,1998
129.7,com,1999
