cell_phones_per_100_people,geo,time
0.0,khm,1965
0.0,khm,1970
0.0,khm,1975
0.0,khm,1976
0.0,khm,1977
0.0,khm,1978
0.0,khm,1979
0.0,khm,1980
0.0,khm,1981
0.0,khm,1982
0.0,khm,1983
0.0,khm,1984
0.0,khm,1985
0.0,khm,1986
0.0,khm,1987
0.0,khm,1988
0.0,khm,1989
0.0,khm,1990
0.0,khm,1991
0.0,khm,1992
0.04564,khm,1993
0.09426,khm,1994
0.1262,khm,1995
0.2016,khm,1996
0.286,khm,1997
0.5118,khm,1998
0.729,khm,1999
1.049,khm,2000
1.766,khm,2001
2.958,khm,2002
3.827,khm,2003
6.53,khm,2004
7.951,khm,2005
12.74,khm,2006
18.9,khm,2007
30.65,khm,2008
44.84,khm,2009
57.65,khm,2010
69.9,khm,2011
0.0,cmr,1965
0.0,cmr,1970
0.0,cmr,1975
0.0,cmr,1976
0.0,cmr,1977
0.0,cmr,1978
0.0,cmr,1979
0.0,cmr,1980
0.0,cmr,1981
0.0,cmr,1982
0.0,cmr,1983
0.0,cmr,1984
0.0,cmr,1985
0.0,cmr,1986
0.0,cmr,1987
0.0,cmr,1988
0.0,cmr,1989
0.0,cmr,1990
0.0,cmr,1991
0.0,cmr,1992
0.0,cmr,1993
0.01177,cmr,1994
0.02009,cmr,1995
0.0245,cmr,1996
0.0287,cmr,1997
0.03339,cmr,1998
0.03915,cmr,1999
0.6587,cmr,2000
2.602,cmr,2001
4.275,cmr,2002
6.417,cmr,2003
8.918,cmr,2004
12.83,cmr,2005
17.47,cmr,2006
24.72,cmr,2007
32.84,cmr,2008
41.74,cmr,2009
44.07,cmr,2010
52.35,cmr,2011
0.0,can,1965
0.0,can,1970
0.0,can,1975
0.0,can,1976
0.0,can,1977
0.0,can,1978
0.0,can,1979
0.0,can,1980
0.0,can,1981
0.0,can,1982
0.0,can,1983
0.0,can,1984
0.04643,can,1985
0.2292,can,1986
0.3704,can,1987
0.7521,can,1988
1.263,can,1989
2.107,can,1990
2.766,can,1991
3.617,can,1992
4.644,can,1993
6.432,can,1994
8.838,can,1995
11.82,can,1996
14.05,can,1997
17.75,can,1998
22.75,can,1999
28.46,can,2000
34.39,can,2001
37.95,can,2002
42.05,can,2003
47.02,can,2004
52.71,can,2005
57.46,can,2006
61.49,can,2007
66.29,can,2008
70.71,can,2009
70.66,can,2010
75.28,can,2011
0.0,cpv,1965
0.0,cpv,1970
0.0,cpv,1975
0.0,cpv,1976
0.0,cpv,1977
0.0,cpv,1978
0.0,cpv,1979
0.0,cpv,1980
0.0,cpv,1981
0.0,cpv,1982
0.0,cpv,1983
0.0,cpv,1984
0.0,cpv,1985
0.0,cpv,1986
0.0,cpv,1987
0.0,cpv,1988
0.0,cpv,1989
0.0,cpv,1990
0.0,cpv,1991
0.0,cpv,1992
0.0,cpv,1993
0.0,cpv,1994
0.0,cpv,1995
0.0,cpv,1996
0.004844,cpv,1997
0.2422,cpv,1998
1.879,cpv,1999
4.512,cpv,2000
7.079,cpv,2001
9.486,cpv,2002
11.6,cpv,2003
14.09,cpv,2004
17.28,cpv,2005
22.76,cpv,2006
31.51,cpv,2007
56.97,cpv,2008
59.11,cpv,2009
74.97,cpv,2010
79.19,cpv,2011
0.0,cym,1965
0.0,cym,1970
0.0,cym,1975
