geo,all_forms_of_tb_detection_rate_percent,time
grc,29,2000
grc,23,2001
grc,25,2002
grc,27,2003
grc,32,2004
grc,31,2005
grc,29,2006
grc,29,2007
grd,45,1995
grd,68,1997
grd,46,1998
grd,137,1999
grd,0,2000
grd,45,2003
grd,45,2004
grd,22,2006
grd,68,2007
gum,90,2000
gum,76,2001
gum,86,2002
gum,34,2003
gum,88,2004
gum,89,2005
gum,90,2006
gum,88,2007
gtm,44,1995
gtm,44,1996
gtm,40,1997
gtm,37,1998
gtm,38,1999
gtm,36,2000
gtm,30,2001
gtm,35,2002
gtm,31,2003
gtm,39,2004
gtm,40,2005
gtm,42,2006
gtm,35,2007
gin,30,1995
gin,34,1996
gin,32,1997
gin,32,1998
gin,32,1999
gin,32,2000
gin,32,2001
gin,32,2002
gin,31,2003
gin,33,2004
gin,28,2005
gin,34,2006
gin,34,2007
gnb,82,1995
gnb,77,1996
gnb,45,2000
gnb,51,2002
gnb,48,2003
gnb,54,2004
gnb,50,2005
gnb,56,2006
guy,72,1995
guy,65,1996
guy,83,1997
guy,60,1998
guy,66,2000
guy,62,2001
guy,77,2002
guy,70,2003
guy,65,2004
guy,69,2005
guy,76,2006
guy,64,2007
hti,26,1996
hti,40,1997
hti,38,1998
hti,35,1999
hti,39,2000
hti,38,2001
hti,43,2002
hti,50,2003
hti,51,2004
hti,50,2005
hti,47,2006
hti,47,2007
hnd,101,1995
hnd,87,1996
hnd,91,1997
hnd,103,1998
hnd,97,1999
hnd,137,2000
hnd,110,2001
hnd,95,2002
hnd,81,2003
hnd,78,2004
hnd,73,2005
hnd,71,2006
hnd,66,2007
hun,87,1995
hun,83,1996
hun,83,1997
hun,74,1998
hun,79,1999
hun,81,2000
hun,82,2001
hun,81,2002
hun,80,2003
hun,82,2004
hun,76,2005
hun,81,2006
hun,85,2007
isl,98,1995
isl,111,1996
isl,79,1997
isl,135,1998
isl,67,1999
isl,115,2000
isl,121,2001
isl,107,2002
isl,70,2003
isl,141,2004
isl,98,2005
isl,124,2006
isl,111,2007
ind,76,1995
ind,80,1996
ind,68,1997
ind,67,1998
ind,70,1999
ind,63,2000
ind,59,2001
ind,56,2002
ind,56,2003
ind,57,2004
ind,57,2005
ind,59,2006
ind,61,2007
idn,5,1995
idn,2,1996
idn,4,1997
idn,7,1998
idn,12,1999
idn,12,2000
idn,16,2001
idn,27,2002
idn,31,2003
idn,38,2004
idn,46,2005
idn,51,2006
idn,51,2007
irn,79,1995
irn,56,1996
irn,55,1997
irn,55,1998
irn,57,1999
irn,56,2000
irn,57,2001
irn,57,2002
irn,57,2003
irn,57,2004
irn,54,2005
irn,57,2006
irn,59,2007
irq,142,1990
irq,127,1991
irq,135,1992
irq,153,1995
irq,234,1996
irq,206,1997
irq,225,1998
irq,233,1999
irq,65,2000
irq,69,2001
irq,75,2002
irq,71,2003
irq,63,2004
irq,55,2005
irq,47,2006
irq,45,2007
irl,75,1996
irl,75,1997
irl,63,1998
irl,80,1999
irl,70,2000
irl,75,2001
irl,74,2002
irl,71,2003
irl,76,2004
irl,73,2005
irl,75,2006
irl,74,2007
isr,63,1996
isr,70,1997
isr,108,1998
isr,88,1999
isr,16,2000
isr,101,2001
isr,87,2002
isr,96,2003
isr,94,2004
isr,77,2005
isr,73,2006
isr,74,2007
ita,92,1995
ita,70,1996
ita,85,1997
ita,104,1998
ita,60,1999
ita,42,2000
ita,85,2001
ita,82,2002
ita,92,2003
ita,88,2004
ita,86,2005
ita,94,2006
ita,62,2007
jam,66,1995
jam,76,1996
jam,72,1997
jam,71,1998
jam,63,1999
jam,67,2000
jam,69,2001
jam,59,2002
jam,69,2003
jam,64,2004
jam,51,2005
jam,53,2006
jam,57,2007
jpn,87,1995
jpn,87,1996
jpn,86,1997
jpn,90,1998
jpn,85,1999
jpn,88,2000
jpn,85,2001
jpn,85,2002
jpn,87,2003
jpn,87,2004
jpn,86,2005
jpn,85,2006
jpn,88,2007
jor,86,1995
jor,84,1996
jor,78,1997
jor,81,1998
jor,86,1999
jor,73,2000
jor,85,2001
jor,77,2002
jor,80,2003
jor,79,2004
jor,84,2005
jor,82,2006
jor,76,2007
kaz,102,1995
kaz,117,1996
kaz,112,1997
kaz,109,1998
kaz,107,1999
kaz,108,2000
kaz,106,2001
kaz,111,2002
kaz,108,2003
kaz,107,2004
kaz,107,2005
kaz,102,2006
kaz,108,2007
ken,44,1995
ken,46,1996
ken,44,1997
ken,47,1998
ken,48,1999
ken,49,2000
ken,54,2001
ken,56,2002
ken,60,2003
ken,64,2004
ken,69,2005
ken,77,2006
ken,80,2007
kir,123,1996
kir,9,1997
kir,78,1998
kir,69,1999
kir,59,2000
kir,52,2001
kir,55,2002
kir,80,2003
kir,88,2004
kir,94,2005
kir,107,2006
kir,95,2007
kwt,56,1995
kwt,69,1996
kwt,89,1997
kwt,93,1998
kwt,85,1999
kwt,83,2000
kwt,80,2001
kwt,91,2002
kwt,88,2003
kwt,86,2004
kwt,78,2005
kwt,97,2006
kwt,96,2007
kgz,92,1995
kgz,91,1996
kgz,100,1997
kgz,53,1998
kgz,101,1999
kgz,89,2000
kgz,93,2002
kgz,25,2003
kgz,88,2004
kgz,92,2005
