child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
36.01,atg,1981
34.55,atg,1982
33.16,atg,1983
31.83,atg,1984
30.54,atg,1985
29.32,atg,1986
28.14,atg,1987
27.01,atg,1988
25.93,atg,1989
25.5,atg,1990
24.2,atg,1991
23.1,atg,1992
21.9,atg,1993
20.8,atg,1994
19.7,atg,1995
18.8,atg,1996
17.9,atg,1997
17.0,atg,1998
16.2,atg,1999
15.5,atg,2000
14.8,atg,2001
14.1,atg,2002
13.5,atg,2003
12.9,atg,2004
12.4,atg,2005
11.8,atg,2006
11.3,atg,2007
10.9,atg,2008
10.4,atg,2009
9.9,atg,2010
9.5,atg,2011
9.1,atg,2012
8.7,atg,2013
8.4,atg,2014
8.1,atg,2015
402.2,arg,1800
402.2,arg,1801
402.2,arg,1802
402.2,arg,1803
402.2,arg,1804
402.2,arg,1805
402.2,arg,1806
402.2,arg,1807
402.2,arg,1808
402.2,arg,1809
402.2,arg,1810
402.2,arg,1811
402.2,arg,1812
402.2,arg,1813
402.2,arg,1814
402.2,arg,1815
402.2,arg,1816
402.2,arg,1817
402.2,arg,1818
402.2,arg,1819
402.2,arg,1820
402.2,arg,1821
402.2,arg,1822
402.2,arg,1823
402.2,arg,1824
402.2,arg,1825
402.2,arg,1826
402.2,arg,1827
402.2,arg,1828
402.2,arg,1829
402.2,arg,1830
402.2,arg,1831
402.2,arg,1832
402.2,arg,1833
402.2,arg,1834
402.2,arg,1835
402.2,arg,1836
402.2,arg,1837
402.2,arg,1838
402.2,arg,1839
402.2,arg,1840
402.2,arg,1841
402.2,arg,1842
402.2,arg,1843
402.2,arg,1844
402.2,arg,1845
402.2,arg,1846
402.2,arg,1847
402.2,arg,1848
402.2,arg,1849
402.2,arg,1850
402.2,arg,1851
402.2,arg,1852
402.2,arg,1853
402.2,arg,1854
402.2,arg,1855
402.2,arg,1856
402.2,arg,1857
402.2,arg,1858
402.2,arg,1859
402.2,arg,1860
402.2,arg,1861
402.2,arg,1862
402.2,arg,1863
402.2,arg,1864
402.2,arg,1865
402.2,arg,1866
402.2,arg,1867
402.2,arg,1868
402.2,arg,1869
402.2,arg,1870
402.2,arg,1871
402.2,arg,1872
402.2,arg,1873
402.2,arg,1874
402.2,arg,1875
402.2,arg,1876
402.2,arg,1877
403.4,arg,1878
403.4,arg,1879
403.4,arg,1880
404.7,arg,1881
406.0,arg,1882
407.2,arg,1883
408.5,arg,1884
409.8,arg,1885
406.0,arg,1886
402.2,arg,1887
399.7,arg,1888
395.9,arg,1889
392.2,arg,1890
393.5,arg,1891
395.9,arg,1892
397.2,arg,1893
399.7,arg,1894
400.9,arg,1895
392.1,arg,1896
383.5,arg,1897
374.9,arg,1898
366.3,arg,1899
357.9,arg,1900
350.6,arg,1901
337.4,arg,1902
324.7,arg,1903
312.5,arg,1904
300.7,arg,1905
289.4,arg,1906
278.5,arg,1907
268.0,arg,1908
257.9,arg,1909
248.2,arg,1910
238.8,arg,1911
229.6,arg,1912
205.3,arg,1913
196.0,arg,1914
194.1,arg,1915
194.1,arg,1916
201.6,arg,1917
220.3,arg,1918
212.8,arg,1919
199.7,arg,1920
179.1,arg,1921
171.6,arg,1922
171.6,arg,1923
179.1,arg,1924
188.4,arg,1925
184.7,arg,1926
197.8,arg,1927
173.4,arg,1928
162.2,arg,1929
149.3,arg,1930
149.3,arg,1931
140.2,arg,1932
125.9,arg,1933
143.8,arg,1934
160.3,arg,1935
143.8,arg,1936
140.1,arg,1937
154.8,arg,1938
131.2,arg,1939
131.1,arg,1940
122.3,arg,1941
124.1,arg,1942
113.7,arg,1943
115.4,arg,1944
117.1,arg,1945
103.5,arg,1946
110.2,arg,1947
95.18,arg,1948
91.93,arg,1949
93.53,arg,1950
91.92,arg,1951
88.72,arg,1952
85.66,arg,1953
81.15,arg,1954
84.17,arg,1955
76.5,arg,1956
93.51,arg,1957
82.65,arg,1958
