geo,population_aged_15_19_years_male_percent,time
mac,9.052,2005
mac,6.897,2010
mac,4.833,2015
mac,3.929,2020
mac,4.24,2025
mac,4.561,2030
mac,4.577,2035
mac,4.24,2040
mac,3.957,2045
mac,3.704,2050
mkd,10.39,1950
mkd,9.517,1955
mkd,8.807,1960
mkd,10.39,1965
mkd,10.58,1970
mkd,10.0,1975
mkd,9.461,1980
mkd,8.913,1985
mkd,8.473,1990
mkd,8.563,1995
mkd,8.532,2000
mkd,8.079,2005
mkd,7.745,2010
mkd,6.758,2015
mkd,5.888,2020
mkd,5.517,2025
mkd,5.572,2030
mkd,5.668,2035
mkd,5.584,2040
mkd,5.38,2045
mkd,5.195,2050
mdg,10.05,1950
mdg,9.173,1955
mdg,8.445,1960
mdg,8.663,1965
mdg,10.21,1970
mdg,10.32,1975
mdg,10.37,1980
mdg,10.63,1985
mdg,10.93,1990
mdg,10.86,1995
mdg,9.823,2000
mdg,10.61,2005
mdg,11.07,2010
mdg,11.21,2015
mdg,10.88,2020
mdg,10.6,2025
mdg,10.34,2030
mdg,10.01,2035
mdg,9.628,2040
mdg,9.238,2045
mdg,8.847,2050
mwi,10.3,1950
mwi,10.44,1955
mwi,10.61,1960
mwi,10.72,1965
mwi,9.931,1970
mwi,10.11,1975
mwi,10.17,1980
mwi,10.46,1985
mwi,9.817,1990
mwi,11.31,1995
mwi,10.55,2000
mwi,10.36,2005
mwi,11.34,2010
mwi,11.82,2015
mwi,11.58,2020
mwi,11.23,2025
mwi,11.12,2030
mwi,11.01,2035
mwi,10.69,2040
mwi,10.18,2045
mwi,9.645,2050
mys,9.123,1950
mys,10.15,1955
mys,8.867,1960
mys,9.689,1965
mys,10.63,1970
mys,10.77,1975
mys,11.29,1980
mys,10.82,1985
mys,9.866,1990
mys,9.701,1995
mys,10.1,2000
mys,9.835,2005
mys,9.585,2010
mys,8.958,2015
mys,8.667,2020
mys,8.206,2025
mys,7.854,2030
mys,7.435,2035
mys,6.936,2040
mys,6.47,2045
mys,6.348,2050
mdv,9.302,1950
mdv,8.511,1955
mdv,7.692,1960
mdv,8.621,1965
mdv,10.94,1970
mdv,10.81,1975
mdv,9.877,1980
mdv,9.574,1985
mdv,10.0,1990
mdv,11.02,1995
mdv,12.95,2000
mdv,13.42,2005
mdv,12.66,2010
mdv,9.412,2015
mdv,7.222,2020
mdv,7.368,2025
mdv,7.426,2030
mdv,7.729,2035
mdv,6.944,2040
mdv,6.335,2045
mdv,5.804,2050
mli,10.25,1950
mli,10.31,1955
mli,10.33,1960
mli,9.854,1965
mli,9.544,1970
mli,10.33,1975
mli,10.54,1980
mli,10.87,1985
mli,10.94,1990
mli,10.86,1995
mli,11.49,2000
mli,11.64,2005
mli,11.43,2010
mli,11.06,2015
mli,11.15,2020
mli,11.5,2025
mli,11.45,2030
mli,11.06,2035
mli,10.57,2040
mli,10.03,2045
mli,9.674,2050
mlt,9.091,1950
mlt,9.211,1955
mlt,9.272,1960
mlt,11.76,1965
mlt,11.03,1970
mlt,8.844,1975
mlt,8.805,1980
mlt,7.101,1985
mlt,7.91,1990
mlt,8.065,1995
mlt,7.812,2000
mlt,7.5,2005
mlt,6.931,2010
mlt,5.714,2015
mlt,5.164,2020
mlt,4.695,2025
mlt,4.673,2030
mlt,4.673,2035
mlt,4.739,2040
mlt,4.808,2045
mlt,4.369,2050
mtq,9.524,1950
mtq,10.08,1955
mtq,10.07,1960
mtq,10.07,1965
mtq,10.62,1970
mtq,12.5,1975
mtq,13.38,1980
mtq,12.2,1985
mtq,10.92,1990
mtq,7.865,1995
mtq,7.778,2000
mtq,8.152,2005
mtq,7.895,2010
mtq,7.216,2015
mtq,7.179,2020
mtq,6.154,2025
mtq,6.122,2030
mtq,6.091,2035
mtq,6.186,2040
mtq,5.759,2045
mtq,5.376,2050
mrt,10.66,1950
mrt,10.35,1955
mrt,10.05,1960
mrt,9.839,1965
mrt,10.1,1970
mrt,10.86,1975
mrt,10.99,1980
mrt,11.04,1985
mrt,11.12,1990
mrt,11.31,1995
