geo,imports_unit_value_index_2000100,time
civ,116.0,2003
civ,154.1,2004
civ,210.9,2005
civ,208.8,2006
civ,239.6,2007
civ,282.8,2008
cub,134.3,1980
cub,135.1,1981
cub,137.0,1982
cub,148.9,1983
cub,168.6,1984
cub,164.8,1985
cub,187.9,1986
cub,156.6,1987
cub,156.5,1988
cub,167.7,1989
cub,139.3,1990
cub,76.19,1991
cub,45.12,1992
cub,40.97,1993
cub,48.59,1994
cub,58.33,1995
cub,66.17,1996
cub,82.32,1997
cub,86.66,1998
cub,90.67,1999
cub,100.0,2000
cub,108.4,2001
cub,86.23,2002
cub,96.26,2003
cub,115.8,2004
cub,166.9,2005
cub,210.1,2006
cub,208.2,2007
cub,299.4,2008
dnk,45.35,1980
dnk,39.67,1981
dnk,38.48,1982
dnk,37.97,1983
dnk,38.76,1984
dnk,41.69,1985
dnk,49.19,1986
dnk,58.51,1987
dnk,59.65,1988
dnk,60.32,1989
dnk,69.77,1990
dnk,72.1,1991
dnk,77.04,1992
dnk,64.86,1993
dnk,75.85,1994
dnk,103.9,1995
dnk,102.5,1996
dnk,101.0,1997
dnk,104.6,1998
dnk,100.9,1999
dnk,100.0,2000
dnk,99.82,2001
dnk,109.7,2002
dnk,126.2,2003
dnk,149.3,2004
dnk,168.3,2005
dnk,192.3,2006
dnk,225.8,2007
dnk,242.3,2008
dji,85.34,1995
dji,83.18,1996
dji,85.02,1997
dji,94.46,1998
dji,93.72,1999
dji,100.0,2000
dji,94.69,2001
dji,95.17,2002
dji,115.1,2003
dji,126.3,2004
dji,134.0,2005
dji,162.2,2006
dji,198.1,2007
dji,280.4,2008
dom,20.72,1980
dom,20.58,1981
dom,17.86,1982
dom,17.92,1983
dom,17.35,1984
dom,18.85,1985
dom,21.19,1986
dom,19.31,1987
dom,27.75,1988
dom,33.93,1989
dom,31.71,1990
dom,32.22,1991
dom,40.71,1992
dom,49.1,1993
dom,51.72,1994
dom,54.54,1995
dom,60.42,1996
dom,69.72,1997
dom,80.15,1998
