geo,infectious_tb_number_of_new_cases_estimated,time
tjk,2870,1999
tjk,3257,2000
tjk,3806,2001
tjk,4350,2002
tjk,4722,2003
tjk,5230,2004
tjk,5630,2005
tjk,6271,2006
tjk,6933,2007
tha,33860,1990
tha,33930,1991
tha,34100,1992
tha,34330,1993
tha,34630,1994
tha,34990,1995
tha,35390,1996
tha,35820,1997
tha,36260,1998
tha,36690,1999
tha,37110,2000
tha,37510,2001
tha,37870,2002
tha,38200,2003
tha,38500,2004
tha,38780,2005
tha,39080,2006
tha,39350,2007
mkd,460,1990
mkd,457,1991
mkd,462,1992
mkd,459,1993
mkd,448,1994
mkd,427,1995
mkd,420,1996
mkd,416,1997
mkd,405,1998
mkd,366,1999
mkd,325,2000
mkd,302,2001
mkd,294,2002
mkd,285,2003
mkd,279,2004
mkd,274,2005
mkd,271,2006
mkd,269,2007
tls,1073,1990
tls,1108,1991
tls,1149,1992
tls,1188,1993
tls,1218,1994
tls,1232,1995
tls,1227,1996
tls,1206,1997
tls,1183,1998
tls,1172,1999
tls,1186,2000
tls,1230,2001
tls,1298,2002
tls,1382,2003
tls,1468,2004
tls,1546,2005
tls,1614,2006
tls,1673,2007
tgo,5404,1990
tgo,5620,1991
tgo,5821,1992
tgo,6025,1993
tgo,6256,1994
tgo,6531,1995
tgo,6857,1996
tgo,7231,1997
tgo,7642,1998
tgo,8074,1999
tgo,8515,2000
tgo,8960,2001
tgo,9412,2002
tgo,9874,2003
tgo,10350,2004
tgo,10850,2005
tgo,11380,2006
tgo,11920,2007
tkl,1,1990
tkl,1,1991
tkl,1,1992
tkl,0,1993
tkl,0,1994
tkl,1,1995
tkl,0,1996
tkl,0,1997
tkl,0,1998
tkl,0,1999
tkl,0,2000
tkl,0,2001
tkl,0,2002
tkl,0,2003
tkl,0,2004
tkl,0,2005
tkl,0,2006
tkl,0,2007
ton,14,1990
ton,14,1991
ton,14,1992
ton,14,1993
ton,14,1994
ton,13,1995
ton,13,1996
ton,13,1997
ton,13,1998
ton,12,1999
ton,12,2000
ton,12,2001
ton,12,2002
ton,12,2003
ton,11,2004
ton,11,2005
ton,11,2006
ton,11,2007
tto,62,1990
tto,62,1991
tto,62,1992
tto,62,1993
tto,63,1994
tto,63,1995
tto,63,1996
tto,63,1997
tto,63,1998
tto,63,1999
tto,63,2000
tto,64,2001
tto,64,2002
tto,64,2003
tto,64,2004
tto,64,2005
tto,65,2006
tto,65,2007
tun,1162,1990
tun,1117,1991
tun,1207,1992
tun,1263,1993
tun,1303,1994
tun,1271,1995
tun,1258,1996
tun,1227,1997
tun,1186,1998
tun,1139,1999
tun,1092,2000
tun,1043,2001
tun,1029,2002
tun,1037,2003
tun,1072,2004
tun,1101,2005
tun,1152,2006
tun,1204,2007
tur,12750,1990
tur,12540,1991
tur,12580,1992
tur,12360,1993
tur,11950,1994
tur,11210,1995
tur,11500,1996
tur,11910,1997
tur,12250,1998
tur,10980,1999
tur,9597,2000
tur,8909,2001
tur,8888,2002
tur,8937,2003
tur,9215,2004
tur,9499,2005
tur,9729,2006
tur,9961,2007
tkm,1060,1990
tkm,1048,1991
tkm,1111,1992
tkm,1113,1993
tkm,1096,1994
tkm,989,1995
tkm,1151,1996
tkm,1445,1997
tkm,1760,1998
tkm,1853,1999
tkm,1870,2000
tkm,1806,2001
tkm,1764,2002
tkm,1677,2003
tkm,1604,2004
tkm,1518,2005
tkm,1524,2006
tkm,1530,2007
tca,2,1990
tca,2,1991
tca,2,1992
tca,2,1993
tca,2,1994
tca,2,1995
tca,2,1996
tca,2,1997
tca,2,1998
tca,2,1999
tca,2,2000
tca,2,2001
tca,2,2002
tca,2,2003
tca,2,2004
tca,2,2005
tca,2,2006
tca,2,2007
tuv,13,1990
tuv,12,1991
tuv,12,1992
tuv,12,1993
tuv,11,1994
tuv,11,1995
tuv,11,1996
tuv,10,1997
tuv,10,1998
tuv,10,1999
tuv,10,2000
tuv,9,2001
tuv,9,2002
tuv,9,2003
tuv,9,2004
tuv,8,2005
tuv,8,2006
tuv,8,2007
uga,11370,1990
uga,18030,1991
uga,20360,1992
uga,23010,1993
uga,24650,1994
uga,26640,1995
uga,27150,1996
uga,28570,1997
uga,30150,1998
uga,30980,1999
uga,33650,2000
uga,36860,2001
uga,40990,2002
uga,43560,2003
uga,43890,2004
uga,43730,2005
uga,42870,2006
uga,41860,2007
ukr,9594,1990
ukr,9224,1991
ukr,9854,1992
ukr,10560,1993
ukr,11160,1994
ukr,11770,1995
ukr,13120,1996
ukr,14160,1997
ukr,15770,1998
ukr,16540,1999
ukr,18080,2000
ukr,19300,2001
ukr,19930,2002
ukr,20130,2003
ukr,19940,2004
ukr,20570,2005
ukr,20370,2006
ukr,20160,2007
are,250,1990
are,248,1991
are,248,1992
are,245,1993
are,248,1994
are,250,1995
are,256,1996
are,263,1997
are,267,1998
are,267,1999
are,269,2000
are,274,2001
are,285,2002
are,287,2003
are,294,2004
are,301,2005
are,307,2006
are,311,2007
gbr,3022,1990
gbr,3080,1991
gbr,3175,1992
gbr,3192,1993
gbr,3152,1994
gbr,3111,1995
gbr,3136,1996
gbr,3135,1997
gbr,3124,1998
gbr,3100,1999
gbr,3074,2000
gbr,3190,2001
gbr,3219,2002
gbr,3386,2003
gbr,3597,2004
gbr,3889,2005
gbr,4023,2006
gbr,4158,2007
tza,18730,1990
tza,21110,1991
tza,23510,1992
tza,26020,1993
tza,29030,1994
tza,32480,1995
tza,35630,1996
tza,38690,1997
tza,40870,1998
tza,43080,1999
tza,45900,2000
tza,48120,2001
tza,50180,2002
tza,50500,2003
tza,50790,2004
tza,50240,2005
tza,49430,2006
tza,48510,2007
vir,9,1990
vir,8,1991
vir,8,1992
vir,8,1993
vir,7,1994
vir,7,1995
vir,7,1996
vir,7,1997
vir,6,1998
vir,6,1999
vir,6,2000
vir,6,2001
vir,6,2002
vir,5,2003
vir,5,2004
vir,5,2005
vir,5,2006
vir,5,2007
usa,10600,1990
usa,11040,1991
usa,10950,1992
usa,10650,1993
usa,10100,1994
usa,9549,1995
usa,8923,1996
usa,8300,1997
usa,7778,1998
usa,7294,1999
usa,6963,2000
usa,6619,2001
usa,6411,2002
usa,6207,2003
usa,6069,2004
usa,5919,2005
usa,5750,2006
usa,5575,2007
ury,472,1990
ury,469,1991
ury,466,1992
ury,463,1993
ury,460,1994
ury,457,1995
ury,454,1996
ury,450,1997
ury,447,1998
ury,443,1999
ury,438,2000
ury,433,2001
ury,427,2002
ury,420,2003
ury,414,2004
ury,409,2005
ury,403,2006
ury,399,2007
uzb,6312,1990
uzb,6036,1991
uzb,6112,1992
uzb,7266,1993
uzb,7398,1994
uzb,7871,1995
uzb,7516,1996
uzb,8523,1997
uzb,9201,1998
uzb,9714,1999
uzb,10320,2000
uzb,11480,2001
uzb,12540,2002
uzb,13170,2003
uzb,13350,2004
uzb,14020,2005
uzb,13910,2006
uzb,13800,2007
vut,93,1990
vut,93,1991
vut,92,1992
vut,92,1993
vut,91,1994
vut,90,1995
vut,89,1996
vut,88,1997
vut,86,1998
vut,85,1999
vut,84,2000
vut,83,2001
vut,82,2002
vut,81,2003
vut,81,2004
vut,80,2005
vut,79,2006
vut,78,2007
ven,3822,1990
ven,3900,1991
ven,3977,1992
ven,4052,1993
ven,4125,1994
ven,4197,1995
ven,4268,1996
ven,4337,1997
ven,4406,1998
ven,4473,1999
ven,4539,2000
ven,4605,2001
ven,4670,2002
ven,4735,2003
ven,4800,2004
ven,4864,2005
ven,4929,2006
ven,4994,2007
vnm,60240,1990
vnm,60980,1991
vnm,61690,1992
vnm,62370,1993
vnm,62970,1994
vnm,63470,1995
vnm,63870,1996
vnm,64160,1997
vnm,64370,1998
vnm,64540,1999
vnm,64700,2000
vnm,64870,2001
vnm,65050,2002
vnm,65260,2003
vnm,65470,2004
vnm,65690,2005
vnm,65900,2006
vnm,66110,2007
wlf,4,1990
wlf,11,1991
wlf,2,1992
wlf,6,1993
wlf,6,1994
wlf,3,1995
wlf,3,1996
wlf,1,1997
wlf,4,1998
wlf,4,1999
wlf,3,2000
wlf,1,2001
wlf,1,2002
wlf,8,2003
wlf,3,2004
wlf,1,2005
wlf,3,2006
wlf,1,2007
pse,228,1990
pse,233,1991
pse,244,1992
pse,244,1993
pse,251,1994
pse,254,1995
pse,256,1996
pse,249,1997
pse,247,1998
pse,247,1999
pse,249,2000
pse,250,2001
pse,250,2002
pse,248,2003
pse,246,2004
pse,244,2005
pse,244,2006
pse,244,2007
yem,7373,1990
yem,7598,1991
yem,8035,1992
yem,8125,1993
yem,8394,1994
yem,8542,1995
yem,8586,1996
yem,8317,1997
yem,8175,1998
yem,8127,1999
yem,8142,2000
yem,8106,2001
yem,8056,2002
yem,7964,2003
yem,7830,2004
yem,7751,2005
yem,7731,2006
yem,7704,2007
zmb,9590,1990
zmb,11360,1991
zmb,13570,1992
zmb,15480,1993
zmb,17230,1994
zmb,18880,1995
zmb,20020,1996
zmb,21330,1997
zmb,22150,1998
zmb,23470,1999
zmb,23940,2000
zmb,25450,2001
zmb,26140,2002
zmb,27490,2003
zmb,26720,2004
zmb,25680,2005
zmb,24350,2006
zmb,22960,2007
zwe,13430,1990
zwe,15100,1991
zwe,16350,1992
zwe,17780,1993
zwe,19230,1994
zwe,20850,1995
zwe,22330,1996
zwe,24320,1997
zwe,26580,1998
zwe,29170,1999
zwe,32160,2000
zwe,35140,2001
zwe,37910,2002
zwe,39910,2003
zwe,40740,2004
zwe,40740,2005
zwe,40240,2006
zwe,39780,2007
