population_growth_annual_percent,geo,time
0.4379,cub,1983
0.5268,cub,1984
0.6736,cub,1985
0.8497,cub,1986
0.9953,cub,1987
1.065,cub,1988
1.029,cub,1989
0.9183,cub,1990
0.7896,cub,1991
0.6825,cub,1992
0.5911,cub,1993
0.5283,cub,1994
0.487,cub,1995
0.4431,cub,1996
0.3927,cub,1997
0.3554,cub,1998
0.3344,cub,1999
0.3241,cub,2000
0.3224,cub,2001
0.3161,cub,2002
0.2912,cub,2003
0.2401,cub,2004
0.1714,cub,2005
0.09665,cub,2006
0.03162,cub,2007
-0.01581,cub,2008
-0.03797,cub,2009
-0.04129,cub,2010
-0.03833,cub,2011
1.045,cyp,1960
0.6041,cyp,1961
0.2251,cyp,1962
0.03876,cyp,1963
0.1241,cyp,1964
0.4046,cyp,1965
0.7448,cyp,1966
1.019,cyp,1967
1.209,cyp,1968
1.267,cyp,1969
1.231,cyp,1970
1.175,cyp,1971
1.145,cyp,1972
1.127,cyp,1973
1.132,cyp,1974
1.149,cyp,1975
1.188,cyp,1976
1.208,cyp,1977
1.152,cyp,1978
0.9965,cyp,1979
0.7879,cyp,1980
0.5463,cyp,1981
0.366,cyp,1982
0.3397,cyp,1983
0.5224,cyp,1984
0.8519,cyp,1985
1.221,cyp,1986
1.538,cyp,1987
1.794,cyp,1988
1.959,cyp,1989
2.051,cyp,1990
2.133,cyp,1991
2.212,cyp,1992
2.242,cyp,1993
2.216,cyp,1994
2.153,cyp,1995
2.066,cyp,1996
1.982,cyp,1997
1.924,cyp,1998
1.903,cyp,1999
1.904,cyp,2000
1.91,cyp,2001
1.895,cyp,2002
1.846,cyp,2003
1.755,cyp,2004
1.636,cyp,2005
1.51,cyp,2006
1.398,cyp,2007
1.306,cyp,2008
1.243,cyp,2009
1.201,cyp,2010
1.164,cyp,2011
1.307,cze,1960
-0.16,cze,1961
0.3957,cze,1962
0.4771,cze,1963
0.5889,cze,1964
0.5286,cze,1965
0.4253,cze,1966
0.3239,cze,1967
0.2377,cze,1968
0.2047,cze,1969
-0.3899,cze,1970
-0.3176,cze,1971
0.4145,cze,1972
0.5521,cze,1973
0.6649,cze,1974
0.7,cze,1975
0.667,cze,1976
0.5988,cze,1977
0.5418,cze,1978
0.4894,cze,1979
0.1151,cze,1980
-0.03496,cze,1981
0.1381,cze,1982
