geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
nld,8,1995
nld,8,1996
nld,8,1997
nld,8,1998
nld,7,1999
nld,7,2000
nld,7,2001
nld,6,2002
nld,6,2003
nld,6,2004
nld,6,2005
nld,6,2006
nld,6,2007
ant,28,1990
ant,27,1991
ant,25,1992
ant,24,1993
ant,23,1994
ant,22,1995
ant,21,1996
ant,20,1997
ant,19,1998
ant,18,1999
ant,17,2000
ant,17,2001
ant,17,2002
ant,16,2003
ant,16,2004
ant,15,2005
ant,15,2006
ant,15,2007
ncl,112,1990
ncl,107,1991
ncl,104,1992
ncl,76,1993
ncl,69,1994
ncl,60,1995
ncl,58,1996
ncl,97,1997
ncl,97,1998
ncl,51,1999
ncl,51,2000
ncl,43,2001
ncl,34,2002
ncl,28,2003
ncl,29,2004
ncl,29,2005
ncl,25,2006
ncl,25,2007
nzl,10,1990
nzl,10,1991
nzl,9,1992
nzl,9,1993
nzl,10,1994
nzl,11,1995
nzl,10,1996
nzl,10,1997
nzl,11,1998
nzl,11,1999
nzl,11,2000
nzl,10,2001
nzl,10,2002
nzl,10,2003
nzl,10,2004
nzl,9,2005
nzl,8,2006
nzl,7,2007
nic,145,1990
nic,137,1991
nic,129,1992
nic,122,1993
nic,114,1994
nic,108,1995
nic,100,1996
nic,97,1997
nic,93,1998
nic,89,1999
nic,85,2000
nic,80,2001
nic,79,2002
nic,73,2003
nic,69,2004
nic,68,2005
nic,64,2006
nic,56,2007
ner,317,1990
ner,318,1991
ner,319,1992
ner,319,1993
ner,319,1994
ner,318,1995
ner,322,1996
ner,292,1997
ner,281,1998
ner,281,1999
ner,278,2000
ner,280,2001
ner,288,2002
ner,275,2003
ner,287,2004
ner,285,2005
ner,289,2006
ner,292,2007
nga,282,1990
nga,307,1991
nga,321,1992
nga,336,1993
nga,350,1994
nga,366,1995
nga,379,1996
nga,399,1997
nga,423,1998
nga,452,1999
nga,489,2000
nga,526,2001
nga,563,2002
nga,575,2003
nga,573,2004
nga,563,2005
nga,543,2006
nga,521,2007
niu,118,1990
niu,115,1991
niu,113,1992
niu,111,1993
niu,109,1994
niu,106,1995
niu,202,1996
niu,0,1997
niu,0,1998
niu,114,1999
niu,0,2000
niu,0,2001
niu,506,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,142,1990
mnp,201,1991
mnp,301,1992
mnp,194,1993
mnp,186,1994
mnp,185,1995
mnp,188,1996
mnp,331,1997
mnp,334,1998
mnp,220,1999
mnp,135,2000
mnp,120,2001
mnp,95,2002
mnp,83,2003
mnp,80,2004
mnp,83,2005
mnp,83,2006
mnp,72,2007
nor,8,1990
nor,8,1991
nor,8,1992
nor,7,1993
nor,7,1994
nor,6,1995
nor,6,1996
nor,6,1997
nor,6,1998
nor,5,1999
nor,5,2000
nor,5,2001
nor,5,2002
nor,5,2003
nor,4,2004
nor,4,2005
nor,4,2006
nor,4,2007
omn,40,1990
omn,36,1991
omn,29,1992
omn,25,1993
omn,22,1994
omn,22,1995
omn,15,1996
omn,15,1997
omn,14,1998
omn,14,1999
omn,13,2000
omn,14,2001
omn,13,2002
omn,13,2003
omn,12,2004
omn,13,2005
omn,13,2006
omn,14,2007
pak,430,1990
pak,428,1991
pak,427,1992
pak,426,1993
pak,424,1994
pak,422,1995
pak,421,1996
pak,421,1997
pak,415,1998
pak,420,1999
pak,413,2000
pak,406,2001
pak,376,2002
pak,355,2003
pak,333,2004
pak,289,2005
pak,260,2006
pak,223,2007
plw,96,1990
plw,66,1991
plw,43,1992
plw,260,1993
plw,414,1994
plw,187,1995
plw,53,1996
plw,92,1997
plw,54,1998
plw,376,1999
plw,104,2000
plw,102,2001
plw,69,2002
plw,64,2003
plw,31,2004
plw,102,2005
plw,74,2006
plw,71,2007
pan,74,1990
pan,73,1991
pan,71,1992
pan,70,1993
pan,69,1994
pan,68,1995
pan,67,1996
pan,67,1997
pan,65,1998
pan,64,1999
pan,60,2000
pan,51,2001
pan,48,2002
pan,49,2003
pan,44,2004
pan,44,2005
pan,44,2006
pan,45,2007
png,498,1990
png,498,1991
png,497,1992
png,497,1993
png,496,1994
png,496,1995
png,494,1996
png,493,1997
png,491,1998
png,489,1999
png,486,2000
png,482,2001
png,477,2002
png,471,2003
png,463,2004
png,453,2005
png,441,2006
png,430,2007
pry,95,1990
pry,93,1991
pry,92,1992
pry,91,1993
pry,89,1994
pry,88,1995
pry,71,1996
pry,92,1997
pry,92,1998
pry,91,1999
pry,90,2000
pry,89,2001
pry,88,2002
pry,85,2003
pry,85,2004
pry,81,2005
pry,74,2006
pry,73,2007
per,394,1990
per,368,1991
per,343,1992
per,320,1993
per,298,1994
per,278,1995
per,270,1996
per,251,1997
per,230,1998
per,222,1999
per,210,2000
per,198,2001
per,187,2002
per,182,2003
per,167,2004
per,155,2005
per,143,2006
per,136,2007
phl,799,1990
phl,783,1991
phl,766,1992
phl,750,1993
phl,735,1994
phl,719,1995
phl,705,1996
phl,689,1997
phl,669,1998
phl,649,1999
phl,600,2000
phl,578,2001
phl,561,2002
phl,542,2003
phl,534,2004
phl,520,2005
phl,505,2006
phl,500,2007
pol,88,1990
pol,87,1991
pol,86,1992
pol,85,1993
pol,83,1994
pol,79,1995
pol,74,1996
pol,68,1997
pol,63,1998
pol,58,1999
pol,53,2000
pol,50,2001
pol,35,2002
pol,34,2003
pol,33,2004
pol,31,2005
pol,29,2006
pol,28,2007
prt,51,1990
prt,49,1991
prt,47,1992
prt,45,1993
prt,44,1994
prt,43,1995
prt,42,1996
prt,41,1997
prt,39,1998
prt,38,1999
prt,36,2000
prt,34,2001
prt,33,2002
prt,32,2003
prt,29,2004
prt,27,2005
prt,24,2006
prt,23,2007
pri,17,1990
pri,15,1991
pri,17,1992
pri,18,1993
pri,18,1994
pri,18,1995
pri,15,1996
pri,13,1997
pri,12,1998
pri,10,1999
pri,9,2000
pri,8,2001
pri,7,2002
pri,6,2003
pri,6,2004
pri,6,2005
pri,6,2006
pri,5,2007
qat,71,1990
qat,69,1991
qat,69,1992
qat,74,1993
qat,84,1994
qat,89,1995
qat,87,1996
qat,84,1997
qat,75,1998
qat,78,1999
qat,78,2000
qat,78,2001
qat,75,2002
qat,71,2003
qat,71,2004
qat,69,2005
qat,77,2006
qat,81,2007
kor,223,1990
kor,196,1991
kor,174,1992
kor,150,1993
kor,142,1994
kor,132,1995
kor,105,1996
kor,98,1997
kor,89,1998
kor,107,1999
kor,113,2000
kor,112,2001
kor,126,2002
kor,108,2003
kor,112,2004
kor,118,2005
kor,122,2006
kor,126,2007
mda,105,1990
mda,99,1991
mda,103,1992
mda,111,1993
mda,122,1994
mda,138,1995
mda,157,1996
mda,171,1997
mda,191,1998
mda,203,1999
mda,215,2000
mda,174,2001
mda,211,2002
mda,176,2003
mda,152,2004
mda,151,2005
mda,151,2006
mda,151,2007
rou,118,1990
rou,125,1991
rou,134,1992
rou,147,1993
rou,159,1994
rou,167,1995
rou,174,1996
rou,184,1997
rou,129,1998
rou,194,1999
rou,197,2000
rou,206,2001
rou,180,2002
rou,185,2003
rou,178,2004
rou,148,2005
rou,138,2006
rou,128,2007
rus,69,1990
rus,64,1991
rus,70,1992
rus,78,1993
rus,91,1994
rus,111,1995
rus,132,1996
rus,142,1997
rus,155,1998
rus,160,1999
rus,164,2000
rus,158,2001
rus,148,2002
rus,140,2003
rus,135,2004
rus,121,2005
rus,117,2006
rus,115,2007
rwa,190,1990
rwa,211,1991
rwa,226,1992
rwa,243,1993
rwa,259,1994
rwa,278,1995
rwa,297,1996
rwa,316,1997
rwa,339,1998
rwa,383,1999
rwa,442,2000
rwa,503,2001
rwa,549,2002
rwa,581,2003
rwa,607,2004
rwa,607,2005
rwa,595,2006
rwa,590,2007
kna,17,1990
kna,17,1991
kna,16,1992
kna,16,1993
kna,16,1994
kna,15,1995
kna,16,1996
kna,15,1997
kna,11,1998
kna,12,1999
kna,15,2000
kna,13,2001
kna,12,2002
kna,14,2003
kna,13,2004
kna,15,2005
kna,14,2006
kna,12,2007
lca,26,1990
lca,26,1991
lca,25,1992
lca,25,1993
lca,25,1994
lca,24,1995
lca,23,1996
lca,17,1997
lca,16,1998
lca,18,1999
lca,20,2000
lca,18,2001
lca,17,2002
lca,19,2003
lca,18,2004
lca,18,2005
lca,18,2006
lca,18,2007
vct,45,1990
vct,45,1991
vct,44,1992
vct,43,1993
vct,42,1994
vct,42,1995
vct,42,1996
vct,41,1997
vct,38,1998
vct,41,1999
vct,35,2000
vct,36,2001
vct,36,2002
vct,34,2003
vct,36,2004
vct,36,2005
vct,34,2006
vct,39,2007
wsm,36,1990
wsm,35,1991
wsm,34,1992
wsm,33,1993
wsm,32,1994
wsm,31,1995
wsm,35,1996
wsm,33,1997
wsm,50,1998
wsm,31,1999
wsm,27,2000
wsm,33,2001
wsm,28,2002
wsm,28,2003
wsm,24,2004
wsm,27,2005
wsm,26,2006
wsm,25,2007
smr,9,1990
smr,9,1991
smr,8,1992
smr,8,1993
smr,7,1994
smr,7,1995
smr,7,1996
smr,7,1997
smr,7,1998
smr,6,1999
smr,6,2000
smr,6,2001
smr,6,2002
smr,5,2003
smr,5,2004
smr,5,2005
smr,5,2006
smr,5,2007
stp,346,1990
stp,335,1991
stp,325,1992
stp,315,1993
stp,304,1994
stp,295,1995
stp,290,1996
stp,285,1997
stp,290,1998
stp,276,1999
stp,272,2000
stp,266,2001
stp,261,2002
stp,266,2003
stp,255,2004
stp,256,2005
stp,252,2006
stp,240,2007
sau,68,1990
sau,60,1991
sau,59,1992
sau,60,1993
sau,64,1994
sau,67,1995
sau,71,1996
sau,73,1997
sau,76,1998
sau,72,1999
sau,67,2000
sau,65,2001
sau,62,2002
sau,60,2003
sau,60,2004
sau,60,2005
sau,62,2006
sau,65,2007
sen,380,1990
sen,379,1991
sen,379,1992
sen,378,1993
sen,377,1994
sen,376,1995
sen,372,1996
sen,388,1997
sen,397,1998
sen,424,1999
sen,420,2000
sen,430,2001
sen,443,2002
sen,441,2003
sen,454,2004
sen,456,2005
sen,461,2006
sen,468,2007
syc,113,1990
syc,110,1991
syc,106,1992
syc,103,1993
syc,100,1994
syc,96,1995
syc,66,1996
syc,59,1997
syc,71,1998
syc,90,1999
syc,52,2000
syc,53,2001
syc,42,2002
syc,66,2003
syc,52,2004
syc,57,2005
syc,56,2006
syc,55,2007
sle,465,1990
sle,479,1991
sle,492,1992
sle,504,1993
sle,517,1994
sle,534,1995
sle,525,1996
sle,565,1997
sle,602,1998
sle,636,1999
sle,675,2000
sle,696,2001
sle,743,2002
sle,784,2003
sle,830,2004
sle,866,2005
sle,902,2006
sle,941,2007
sgp,52,1990
sgp,52,1991
sgp,53,1992
sgp,50,1993
sgp,49,1994
sgp,49,1995
sgp,50,1996
sgp,50,1997
sgp,48,1998
sgp,44,1999
sgp,39,2000
sgp,36,2001
sgp,34,2002
sgp,32,2003
sgp,31,2004
sgp,28,2005
sgp,27,2006
sgp,27,2007
svk,55,1990
svk,56,1991
svk,59,1992
svk,59,1993
svk,56,1994
svk,51,1995
svk,46,1996
svk,42,1997
svk,38,1998
svk,35,1999
svk,32,2000
svk,30,2001
svk,29,2002
svk,26,2003
svk,25,2004
svk,21,2005
svk,20,2006
svk,20,2007
svn,66,1990
svn,62,1991
svn,59,1992
svn,57,1993
svn,53,1994
svn,50,1995
svn,35,1996
svn,35,1997
svn,32,1998
svn,29,1999
svn,27,2000
svn,25,2001
svn,22,2002
svn,21,2003
svn,19,2004
svn,16,2005
svn,16,2006
svn,15,2007
