geo,tb_with_hivplus_existing_cases_per_100000_estimated,time
plw,0.0,2005
plw,0.0,2006
pan,1.3,1990
pan,1.7,1991
pan,2.0,1992
pan,2.2,1993
pan,2.5,1994
pan,2.6,1995
pan,2.8,1996
pan,2.9,1997
pan,2.9,1998
pan,3.0,1999
pan,3.1,2000
pan,3.1,2001
pan,3.1,2002
pan,3.1,2003
pan,3.2,2004
pan,3.2,2005
pan,3.2,2006
pan,3.3,2007
png,0.3,1990
png,0.4,1991
png,0.5,1992
png,0.7,1993
png,0.9,1994
png,1.2,1995
png,1.5,1996
png,2.0,1997
png,2.6,1998
png,3.4,1999
png,4.4,2000
png,5.7,2001
png,7.3,2002
png,9.4,2003
png,12.1,2004
png,15.4,2005
png,19.4,2006
png,23.1,2007
pry,0.1,1990
pry,0.2,1991
pry,0.2,1992
pry,0.3,1993
pry,0.4,1994
pry,0.5,1995
pry,0.6,1996
pry,0.8,1997
pry,1.0,1998
pry,1.1,1999
pry,1.3,2000
pry,1.5,2001
pry,1.7,2002
pry,1.9,2003
pry,2.0,2004
pry,2.2,2005
pry,2.3,2006
pry,2.4,2007
per,2.2,1990
per,2.5,1991
per,2.9,1992
per,3.3,1993
per,3.6,1994
per,3.9,1995
per,4.2,1996
per,4.5,1997
per,4.6,1998
per,4.7,1999
per,4.8,2000
per,4.8,2001
per,4.8,2002
per,4.7,2003
per,4.6,2004
per,4.5,2005
per,4.3,2006
per,4.2,2007
phl,0.0,1990
phl,0.0,1991
phl,0.0,1992
phl,0.0,1993
phl,0.0,1994
phl,0.0,1995
phl,0.0,1996
phl,0.0,1997
phl,0.0,1998
phl,0.0,1999
phl,0.0,2000
phl,0.1,2001
phl,0.1,2002
phl,0.3,2003
phl,0.4,2004
phl,0.4,2005
phl,0.5,2006
phl,0.5,2007
pol,0.0,1990
pol,0.0,1991
pol,0.0,1992
pol,0.1,1993
pol,0.1,1994
pol,0.1,1995
pol,0.1,1996
pol,0.2,1997
pol,0.2,1998
pol,0.2,1999
pol,0.2,2000
pol,0.2,2001
pol,0.2,2002
pol,0.2,2003
pol,0.2,2004
pol,0.2,2005
pol,0.2,2006
pol,0.2,2007
prt,2.3,1990
prt,2.7,1991
prt,3.1,1992
prt,3.5,1993
prt,3.8,1994
prt,4.1,1995
prt,4.3,1996
prt,4.4,1997
prt,4.4,1998
prt,4.3,1999
prt,4.1,2000
prt,4.1,2001
prt,4.0,2002
prt,3.8,2003
prt,3.5,2004
prt,3.3,2005
prt,3.1,2006
prt,2.9,2007
pri,0.0,1995
pri,0.0,1996
pri,0.0,1997
pri,0.0,1998
pri,0.0,1999
pri,0.0,2000
pri,0.0,2001
pri,0.0,2002
pri,0.0,2003
pri,0.0,2004
pri,0.0,2005
pri,0.0,2006
qat,0.0,1995
qat,0.0,1996
qat,0.0,1997
qat,0.0,1998
qat,0.0,1999
qat,0.0,2000
qat,0.0,2001
qat,0.0,2002
qat,0.0,2003
qat,0.0,2004
qat,0.0,2005
qat,0.0,2006
kor,0.0,1990
kor,0.0,1991
kor,0.0,1992
kor,0.0,1993
kor,0.1,1994
kor,0.1,1995
kor,0.1,1996
kor,0.1,1997
kor,0.1,1998
kor,0.1,1999
kor,0.2,2000
kor,0.2,2001
kor,0.3,2002
kor,0.3,2003
kor,0.3,2004
kor,0.4,2005
kor,0.4,2006
kor,0.4,2007
mda,0.0,1990
mda,0.0,1991
mda,0.0,1992
mda,0.0,1993
mda,0.0,1994
mda,0.0,1995
mda,0.0,1996
mda,0.0,1997
mda,0.0,1998
mda,0.1,1999
mda,0.1,2000
mda,0.2,2001
mda,0.4,2002
mda,0.7,2003
mda,1.1,2004
mda,1.7,2005
mda,2.2,2006
mda,2.6,2007
rou,0.1,1990
rou,0.2,1991
rou,0.3,1992
rou,0.5,1993
rou,0.7,1994
rou,0.9,1995
rou,1.0,1996
rou,1.2,1997
rou,1.3,1998
rou,1.5,1999
rou,1.6,2000
rou,1.7,2001
rou,1.8,2002
rou,1.8,2003
