geo,medical_doctors_per_1000_people,time
cyp,2.342,2002
cyp,2.3,2006
cze,1.8,1970
cze,1.9,1971
cze,1.9,1972
cze,1.9,1973
cze,2.0,1974
cze,2.0,1975
cze,2.1,1976
cze,2.1,1977
cze,2.1,1978
cze,2.2,1979
cze,2.3,1980
cze,2.3,1981
cze,2.4,1982
cze,2.5,1983
cze,2.5,1984
cze,2.6,1985
cze,2.6,1986
cze,2.6,1987
cze,2.7,1988
cze,2.7,1989
cze,2.7,1990
cze,2.7,1991
cze,2.7,1992
cze,2.9,1993
cze,2.9,1994
cze,3.0,1995
cze,3.0,1996
cze,3.1,1997
cze,3.0,1998
cze,3.1,1999
cze,3.4,2000
cze,3.4,2001
cze,3.5,2002
cze,3.5,2003
cze,3.58,2006
cze,3.61,2007
cze,3.625,2008
dnk,1.8,1980
dnk,1.8,1981
dnk,2.0,1982
dnk,2.1,1983
dnk,2.3,1984
dnk,2.3,1985
dnk,2.3,1986
dnk,2.3,1987
dnk,2.4,1988
dnk,2.5,1989
dnk,2.5,1990
dnk,2.4,1991
dnk,2.6,1992
dnk,2.6,1993
dnk,2.6,1994
dnk,2.6,1995
dnk,2.6,1996
dnk,2.7,1997
dnk,2.8,1998
dnk,2.8,1999
dnk,2.8,2000
dnk,2.8,2001
dnk,2.9,2002
dnk,3.59,2004
dnk,3.163,2006
dnk,3.419,2007
dji,0.1566,1960
dji,0.2839,1970
dji,0.2237,1981
dji,0.2385,1984
dji,0.1625,1990
dji,0.191,1995
dji,0.14,1996
dji,0.133,1999
dji,0.181,2004
dji,0.18,2005
dji,0.229,2006
dma,0.1327,1960
dma,0.1608,1970
dma,0.3386,1984
dma,0.46,1990
dma,0.5278,1991
dma,0.47,1995
dma,0.493,1996
dma,0.5,1997
dom,0.1213,1960
dom,0.5883,1965
dom,0.435,1975
dom,0.5644,1984
dom,1.074,1988
dom,1.49,1990
dom,1.054,1993
dom,1.5,1995
dom,2.156,1997
dom,1.88,2000
ecu,0.3956,1960
ecu,0.3346,1965
ecu,0.3484,1970
ecu,0.3512,1975
ecu,0.637,1977
ecu,1.244,1984
ecu,1.533,1990
ecu,1.33,1995
