geo,earthquake_affected_annual_number,time
fji,0,1990
fji,0,1991
fji,0,1992
fji,0,1993
fji,0,1994
fji,0,1995
fji,0,1996
fji,0,1997
fji,0,1998
fji,0,1999
fji,0,2000
fji,0,2001
fji,0,2002
fji,0,2003
fji,0,2004
fji,0,2005
fji,0,2006
fji,0,2007
fji,0,2008
geo,0,1970
geo,0,1971
geo,0,1972
geo,0,1973
geo,0,1974
geo,0,1975
geo,0,1976
geo,0,1977
geo,0,1978
geo,0,1979
geo,0,1980
geo,0,1981
geo,0,1982
geo,0,1983
geo,0,1984
geo,0,1985
geo,0,1986
geo,0,1987
geo,0,1988
geo,0,1989
geo,0,1990
geo,3748,1991
geo,11,1992
geo,0,1993
geo,0,1994
geo,0,1995
geo,0,1996
geo,0,1997
geo,0,1998
geo,0,1999
geo,0,2000
geo,0,2001
geo,19160,2002
geo,0,2003
geo,0,2004
geo,0,2005
geo,0,2006
geo,0,2007
geo,0,2008
deu,0,1970
deu,0,1971
deu,0,1972
deu,0,1973
deu,0,1974
deu,0,1975
deu,0,1976
deu,0,1977
deu,0,1978
deu,0,1979
deu,0,1980
deu,0,1981
deu,0,1982
deu,0,1983
deu,0,1984
deu,0,1985
deu,0,1986
deu,0,1987
deu,0,1988
deu,0,1989
deu,0,1990
deu,0,1991
deu,1526,1992
deu,0,1993
deu,0,1994
deu,0,1995
deu,0,1996
deu,0,1997
deu,0,1998
deu,0,1999
deu,0,2000
deu,0,2001
deu,0,2002
deu,0,2003
deu,150,2004
deu,0,2005
deu,0,2006
deu,0,2007
deu,0,2008
grc,0,1970
grc,0,1971
grc,0,1972
grc,0,1973
grc,0,1974
grc,0,1975
grc,0,1976
grc,0,1977
grc,600200,1978
grc,48,1979
grc,18,1980
grc,80870,1981
grc,0,1982
grc,487,1983
grc,0,1984
grc,186,1985
grc,45320,1986
grc,0,1987
grc,25,1988
grc,0,1989
grc,62,1990
grc,0,1991
grc,0,1992
grc,2122,1993
grc,0,1994
grc,29010,1995
grc,1500,1996
grc,0,1997
grc,0,1998
grc,115300,1999
grc,600,2000
grc,300,2001
grc,167,2002
grc,50,2003
grc,0,2004
grc,0,2005
grc,0,2006
grc,0,2007
grc,3710,2008
glp,0,1970
glp,0,1971
glp,0,1972
glp,0,1973
glp,0,1974
glp,0,1975
glp,0,1976
glp,0,1977
glp,0,1978
glp,0,1979
glp,0,1980
glp,0,1981
glp,0,1982
glp,0,1983
glp,0,1984
glp,0,1985
glp,0,1986
glp,0,1987
glp,0,1988
glp,0,1989
glp,0,1990
glp,0,1991
glp,0,1992
glp,0,1993
glp,0,1994
glp,0,1995
glp,0,1996
glp,0,1997
glp,0,1998
glp,0,1999
glp,0,2000
glp,0,2001
glp,0,2002
glp,0,2003
glp,154,2004
glp,0,2005
glp,0,2006
glp,0,2007
glp,0,2008
gum,0,1970
gum,0,1971
gum,0,1972
gum,0,1973
gum,0,1974
gum,0,1975
gum,0,1976
gum,0,1977
gum,0,1978
gum,0,1979
gum,0,1980
gum,0,1981
gum,0,1982
gum,0,1983
gum,0,1984
gum,0,1985
gum,0,1986
gum,0,1987
gum,0,1988
gum,0,1989
gum,0,1990
gum,0,1991
gum,0,1992
gum,71,1993
gum,0,1994
gum,0,1995
gum,0,1996
gum,0,1997
gum,0,1998
gum,0,1999
gum,0,2000
gum,0,2001
gum,0,2002
gum,0,2003
gum,0,2004
gum,0,2005
gum,0,2006
gum,0,2007
gum,0,2008
gtm,0,1970
gtm,0,1971
gtm,0,1972
gtm,0,1973
gtm,0,1974
gtm,0,1975
gtm,5016000,1976
gtm,0,1977
gtm,0,1978
gtm,2040,1979
gtm,0,1980
gtm,0,1981
gtm,20,1982
gtm,0,1983
gtm,0,1984
gtm,5000,1985
gtm,2500,1986
gtm,0,1987
gtm,2055,1988
gtm,0,1989
gtm,0,1990
gtm,23900,1991
gtm,0,1992
gtm,0,1993
gtm,0,1994
gtm,0,1995
gtm,0,1996
gtm,0,1997
gtm,0,1998
gtm,282,1999
gtm,0,2000
gtm,158,2001
gtm,0,2002
gtm,0,2003
gtm,0,2004
gtm,0,2005
gtm,0,2006
gtm,0,2007
gtm,0,2008
gin,0,1970
gin,0,1971
gin,0,1972
gin,0,1973
gin,0,1974
gin,0,1975
gin,0,1976
gin,0,1977
gin,0,1978
gin,0,1979
gin,0,1980
gin,0,1981
gin,0,1982
gin,21710,1983
gin,0,1984
gin,0,1985
gin,0,1986
gin,0,1987
gin,0,1988
gin,0,1989
gin,0,1990
gin,0,1991
gin,0,1992
gin,0,1993
gin,0,1994
gin,0,1995
gin,0,1996
gin,0,1997
gin,0,1998
gin,0,1999
gin,0,2000
gin,0,2001
gin,0,2002
gin,0,2003
gin,0,2004
gin,0,2005
gin,0,2006
gin,0,2007
gin,0,2008
hnd,0,1970
hnd,0,1971
hnd,0,1972
hnd,0,1973
hnd,0,1974
hnd,0,1975
hnd,0,1976
hnd,0,1977
hnd,0,1978
hnd,0,1979
hnd,2,1980
hnd,0,1981
hnd,500,1982
hnd,0,1983
hnd,0,1984
hnd,0,1985
hnd,0,1986
hnd,0,1987
hnd,0,1988
hnd,0,1989
hnd,0,1990
hnd,0,1991
hnd,0,1992
hnd,0,1993
hnd,0,1994
hnd,0,1995
