geo,improved_sanitation_urban_access_percent,time
cze,99,2003
cze,99,2004
cze,99,2005
cze,99,2006
cze,99,2007
cze,99,2008
cze,99,2009
cze,99,2010
dnk,100,1990
dnk,100,1991
dnk,100,1992
dnk,100,1993
dnk,100,1994
dnk,100,1995
dnk,100,1996
dnk,100,1997
dnk,100,1998
dnk,100,1999
dnk,100,2000
dnk,100,2001
dnk,100,2002
dnk,100,2003
dnk,100,2004
dnk,100,2005
dnk,100,2006
dnk,100,2007
dnk,100,2008
dnk,100,2009
dnk,100,2010
dji,73,1990
dji,73,1991
dji,73,1992
dji,73,1993
dji,73,1994
dji,72,1995
dji,71,1996
dji,71,1997
dji,70,1998
dji,69,1999
dji,69,2000
dji,68,2001
dji,67,2002
dji,66,2003
dji,66,2004
dji,65,2005
dji,64,2006
dji,64,2007
dji,63,2008
dji,63,2009
dji,63,2010
dma,80,1995
dma,80,1996
dma,80,1997
dma,80,1998
dma,80,1999
dma,80,2000
dma,80,2001
dma,80,2002
dma,80,2003
dma,80,2004
dma,80,2005
dma,80,2006
dma,80,2007
dom,83,1990
dom,83,1991
dom,83,1992
dom,83,1993
dom,84,1994
dom,84,1995
dom,84,1996
dom,84,1997
dom,85,1998
dom,85,1999
dom,85,2000
dom,85,2001
dom,85,2002
dom,86,2003
dom,86,2004
dom,86,2005
dom,86,2006
dom,86,2007
dom,87,2008
dom,87,2009
dom,87,2010
ecu,86,1990
ecu,86,1991
ecu,87,1992
ecu,88,1993
ecu,88,1994
ecu,89,1995
ecu,90,1996
ecu,90,1997
ecu,91,1998
ecu,91,1999
ecu,92,2000
ecu,93,2001
ecu,93,2002
ecu,94,2003
ecu,95,2004
ecu,95,2005
ecu,96,2006
ecu,96,2007
ecu,96,2008
ecu,96,2009
ecu,96,2010
egy,91,1990
egy,92,1991
egy,92,1992
egy,92,1993
egy,93,1994
egy,93,1995
egy,94,1996
egy,94,1997
egy,94,1998
egy,95,1999
egy,95,2000
egy,95,2001
egy,96,2002
egy,96,2003
egy,96,2004
egy,97,2005
egy,97,2006
egy,97,2007
egy,97,2008
egy,97,2009
egy,97,2010
slv,88,1990
slv,88,1991
slv,88,1992
slv,88,1993
slv,88,1994
slv,88,1995
slv,88,1996
slv,88,1997
slv,89,1998
slv,89,1999
slv,89,2000
slv,89,2001
slv,89,2002
slv,89,2003
slv,89,2004
slv,89,2005
slv,89,2006
slv,89,2007
slv,89,2008
slv,89,2009
slv,89,2010
gnq,92,1994
gnq,92,1995
gnq,92,1996
gnq,92,1997
gnq,92,1998
gnq,92,1999
gnq,92,2000
gnq,92,2001
gnq,92,2002
gnq,92,2003
gnq,92,2004
gnq,92,2005
gnq,92,2006
eri,58,1990
eri,58,1991
