geo,colonandrectum_cancer_deaths_per_100000_women,time
nzl,20.94,1987
nzl,20.02,1988
nzl,20.33,1989
nzl,19.18,1990
nzl,19.71,1991
nzl,16.61,1992
nzl,17.84,1993
nzl,18.58,1994
nzl,18.02,1995
nzl,17.75,1996
nzl,15.67,1997
nzl,16.38,1998
nzl,16.62,1999
nzl,16.27,2000
nzl,15.84,2001
nzl,14.39,2002
nic,2.31,1988
nic,2.12,1989
nic,2.02,1990
nic,1.99,1991
nic,3.51,1992
nic,2.92,1993
nic,3.09,1994
nic,3.0,1996
nic,2.01,1997
nic,3.15,1998
nic,3.03,1999
nic,3.0,2000
nic,2.45,2001
nic,3.74,2002
ner,3.3,2002
nga,3.7,2002
nor,10.56,1955
nor,10.05,1956
nor,9.97,1957
nor,10.69,1958
nor,9.81,1959
nor,9.75,1960
nor,10.34,1961
nor,10.95,1962
nor,10.03,1963
nor,11.22,1964
nor,11.15,1965
nor,11.29,1966
nor,11.92,1967
nor,12.56,1968
nor,12.68,1969
nor,11.92,1970
nor,12.59,1971
nor,13.0,1972
nor,12.42,1973
nor,11.56,1974
nor,12.35,1975
nor,14.01,1976
nor,13.75,1977
nor,13.73,1978
nor,14.07,1979
nor,14.44,1980
nor,13.57,1981
nor,15.14,1982
nor,13.9,1983
nor,13.69,1984
nor,14.17,1985
nor,14.47,1986
nor,14.81,1987
nor,14.61,1988
nor,13.53,1989
nor,14.47,1990
nor,13.01,1991
nor,12.96,1992
nor,15.41,1993
nor,13.84,1994
nor,15.51,1995
nor,14.43,1996
nor,15.01,1997
nor,12.93,1998
nor,13.89,1999
nor,13.96,2000
nor,14.46,2001
nor,13.53,2002
omn,1.9,2002
pak,3.1,2002
pan,4.58,1979
pan,4.19,1980
pan,5.79,1981
pan,4.86,1982
pan,5.62,1983
pan,4.86,1984
pan,4.07,1985
pan,5.66,1986
pan,4.5,1987
pan,6.15,1988
pan,5.43,1989
pan,6.28,1996
pan,4.72,1997
pan,4.71,1998
pan,5.12,1999
pan,5.03,2000
pan,5.49,2001
pan,6.25,2002
png,1.9,2002
pry,5.3,2002
per,7.4,2002
phl,9.5,2002
pol,3.89,1961
pol,4.29,1962
pol,4.95,1963
pol,5.67,1964
pol,6.09,1965
pol,5.97,1966
pol,6.24,1967
pol,6.29,1968
pol,6.89,1970
pol,6.98,1971
pol,8.81,1980
pol,9.05,1981
pol,8.99,1982
pol,9.62,1983
pol,9.67,1984
pol,9.68,1985
pol,9.98,1986
pol,9.98,1987
pol,10.02,1988
pol,10.15,1989
pol,10.23,1990
pol,10.48,1991
pol,10.31,1992
pol,10.75,1993
pol,10.83,1994
pol,11.0,1995
pol,11.13,1996
pol,10.31,1999
pol,10.98,2000
pol,11.38,2001
pol,10.89,2002
prt,8.75,1980
prt,8.87,1981
prt,9.37,1982
prt,9.04,1983
prt,9.52,1984
prt,9.35,1985
prt,9.55,1986
prt,9.26,1987
prt,9.89,1988
prt,9.58,1989
prt,10.34,1990
prt,10.21,1991
prt,9.61,1992
prt,10.33,1993
prt,9.66,1994
prt,10.36,1995
prt,10.12,1996
prt,10.23,1997
prt,10.0,1998
prt,10.39,1999
prt,10.23,2000
prt,10.92,2001
prt,10.63,2002
pri,7.4,2002
qat,11.8,2002
rou,6.71,1980
rou,6.48,1981
rou,6.44,1982
rou,6.55,1983
rou,6.66,1984
rou,7.03,1985
rou,7.49,1986
rou,6.96,1987
rou,7.23,1988
rou,7.02,1989
rou,6.91,1990
rou,7.49,1991
rou,7.3,1992
rou,7.61,1993
rou,7.55,1994
rou,7.93,1995
rou,8.21,1996
rou,8.28,1997
rou,8.13,1998
rou,8.58,1999
rou,8.38,2000
rou,8.92,2001
rou,8.93,2002
rus,10.77,1980
rus,10.31,1981
rus,10.61,1982
rus,11.13,1983
rus,11.21,1984
rus,11.45,1985
rus,11.6,1986
rus,11.77,1987
rus,11.91,1988
rus,11.88,1989
rus,12.16,1990
rus,12.35,1991
rus,12.41,1992
rus,12.53,1993
rus,12.6,1994
rus,12.51,1995
rus,12.4,1996
rus,12.27,1997
rus,12.46,1998
rus,12.8,1999
rus,12.86,2000
rus,12.73,2001
rus,12.57,2002
rwa,3.7,2002
wsm,7.2,2002
sau,5.5,2002
sen,2.3,2002
scg,11.5,2002
sle,3.3,2002
sgp,8.3,1966
sgp,8.07,1967
sgp,9.4,1968
sgp,6.94,1969
sgp,9.47,1970
sgp,7.49,1971
sgp,12.48,1972
sgp,11.36,1973
sgp,13.55,1974
sgp,11.23,1975
sgp,14.58,1976
sgp,11.21,1977
sgp,13.79,1978
sgp,14.98,1979
sgp,15.1,1980
sgp,16.7,1981
sgp,15.65,1982
sgp,14.19,1983
sgp,13.29,1984
sgp,16.3,1985
sgp,14.86,1986
sgp,13.57,1987
sgp,11.85,1988
sgp,13.52,1989
sgp,14.49,1990
sgp,13.11,1991
sgp,15.44,1992
sgp,13.35,1993
sgp,13.22,1994
sgp,12.8,1995
sgp,13.93,1996
sgp,12.76,1997
sgp,13.04,1998
sgp,11.71,1999
sgp,12.31,2000
sgp,10.96,2001
sgp,11.19,2002
svk,14.14,1992
svk,13.7,1993
svk,13.01,1994
svk,12.39,1995
