geo,fixed_line_and_mobile_phone_subscribers_per_100_people,time
swz,2.433,1996
swz,2.612,1997
swz,3.402,1998
swz,4.445,1999
swz,6.207,2000
swz,8.309,2001
swz,9.471,2002
swz,11.87,2003
swz,16.92,2004
swz,20.78,2005
swz,25.83,2006
swe,51.37,1975
swe,52.98,1976
swe,54.47,1977
swe,55.52,1978
swe,56.4,1979
swe,58.0,1980
swe,59.08,1981
swe,59.98,1982
swe,60.65,1983
swe,62.2,1984
swe,63.66,1985
swe,65.54,1986
swe,67.31,1987
swe,69.27,1988
swe,71.41,1989
swe,73.72,1990
swe,75.72,1991
swe,75.97,1992
swe,76.67,1993
swe,83.68,1994
swe,90.83,1995
swe,96.39,1996
swe,106.5,1997
swe,118.6,1998
swe,124.4,1999
swe,136.7,2000
swe,144.4,2001
swe,151.7,2002
swe,160.1,2003
swe,158.7,2004
swe,161.4,2005
swe,165.2,2006
che,38.56,1975
che,39.76,1976
che,41.08,1977
che,42.24,1978
che,43.38,1979
che,44.93,1980
che,46.03,1981
che,47.1,1982
che,48.22,1983
che,49.43,1984
che,50.65,1985
che,51.99,1986
che,53.55,1987
che,55.77,1988
che,58.03,1989
che,60.6,1990
che,62.58,1991
che,64.0,1992
che,65.2,1993
che,65.62,1994
che,69.98,1995
che,73.99,1996
che,80.87,1997
che,92.58,1998
che,113.8,1999
che,137.4,2000
che,147.4,2001
che,152.7,2002
che,156.9,2003
che,156.0,2004
che,161.1,2005
che,166.3,2006
syr,1.698,1975
syr,1.757,1976
syr,1.872,1977
syr,2.024,1978
syr,2.208,1979
syr,2.673,1980
syr,3.275,1981
syr,3.463,1982
syr,3.642,1983
syr,3.988,1984
syr,4.068,1985
syr,4.063,1986
syr,4.024,1987
syr,3.997,1988
syr,3.963,1989
syr,3.902,1990
syr,3.834,1991
syr,3.808,1992
syr,4.09,1993
syr,4.821,1994
syr,6.56,1995
syr,8.005,1996
syr,8.556,1997
syr,9.4,1998
syr,9.966,1999
syr,10.33,2000
syr,11.9,2001
syr,14.35,2002
syr,20.11,2003
syr,27.22,2004
syr,30.98,2005
syr,40.8,2006
tjk,2.034,1975
tjk,2.259,1976
tjk,2.472,1977
tjk,2.673,1978
tjk,2.861,1979
tjk,3.036,1980
tjk,3.444,1981
