geo,storm_deaths_annual_number,time
lka,0,1998
lka,0,1999
lka,5,2000
lka,0,2001
lka,0,2002
lka,0,2003
lka,0,2004
lka,0,2005
lka,0,2006
lka,0,2007
lka,9,2008
sdn,0,1970
sdn,0,1971
sdn,0,1972
sdn,0,1973
sdn,0,1974
sdn,0,1975
sdn,0,1976
sdn,0,1977
sdn,0,1978
sdn,0,1979
sdn,0,1980
sdn,0,1981
sdn,0,1982
sdn,0,1983
sdn,0,1984
sdn,0,1985
sdn,0,1986
sdn,0,1987
sdn,0,1988
sdn,0,1989
sdn,0,1990
sdn,0,1991
sdn,0,1992
sdn,0,1993
sdn,0,1994
sdn,0,1995
sdn,0,1996
sdn,0,1997
sdn,0,1998
sdn,0,1999
sdn,0,2000
sdn,0,2001
sdn,33,2002
sdn,0,2003
sdn,0,2004
sdn,0,2005
sdn,0,2006
sdn,0,2007
sdn,0,2008
swz,0,1970
swz,0,1971
swz,0,1972
swz,0,1973
swz,0,1974
swz,0,1975
swz,0,1976
swz,0,1977
swz,0,1978
swz,0,1979
swz,0,1980
swz,0,1981
swz,0,1982
swz,0,1983
swz,53,1984
swz,0,1985
swz,0,1986
swz,0,1987
swz,0,1988
swz,0,1989
swz,0,1990
swz,0,1991
swz,0,1992
swz,0,1993
swz,0,1994
swz,0,1995
swz,0,1996
swz,0,1997
swz,0,1998
swz,0,1999
swz,0,2000
swz,0,2001
swz,0,2002
swz,0,2003
swz,0,2004
swz,0,2005
swz,1,2006
swz,0,2007
swz,0,2008
swe,0,1970
swe,0,1971
swe,0,1972
swe,0,1973
swe,0,1974
swe,0,1975
swe,0,1976
swe,0,1977
swe,0,1978
swe,0,1979
swe,0,1980
swe,0,1981
swe,0,1982
swe,0,1983
swe,0,1984
swe,0,1985
swe,0,1986
swe,0,1987
swe,0,1988
swe,0,1989
swe,0,1990
swe,0,1991
swe,0,1992
swe,0,1993
swe,0,1994
swe,0,1995
swe,0,1996
swe,0,1997
swe,0,1998
swe,3,1999
swe,0,2000
swe,0,2001
swe,1,2002
swe,0,2003
swe,0,2004
swe,7,2005
swe,0,2006
swe,0,2007
swe,0,2008
che,0,1970
che,0,1971
che,0,1972
che,0,1973
che,0,1974
che,0,1975
che,0,1976
che,0,1977
che,0,1978
che,0,1979
che,0,1980
che,0,1981
che,0,1982
che,0,1983
che,0,1984
che,0,1985
che,0,1986
che,1,1987
che,0,1988
che,0,1989
che,5,1990
che,0,1991
che,0,1992
che,2,1993
che,0,1994
che,0,1995
che,0,1996
che,0,1997
che,0,1998
che,12,1999
che,0,2000
che,0,2001
che,1,2002
che,0,2003
che,0,2004
che,0,2005
che,1,2006
che,0,2007
che,0,2008
syr,0,1970
syr,0,1971
syr,0,1972
syr,0,1973
syr,0,1974
syr,0,1975
syr,0,1976
syr,0,1977
syr,0,1978
syr,0,1979
syr,0,1980
syr,0,1981
syr,0,1982
syr,0,1983
syr,0,1984
syr,0,1985
syr,0,1986
syr,0,1987
syr,0,1988
syr,0,1989
syr,0,1990
syr,0,1991
syr,0,1992
syr,0,1993
syr,0,1994
syr,0,1995
syr,0,1996
syr,0,1997
syr,0,1998
syr,0,1999
syr,0,2000
syr,27,2001
syr,0,2002
syr,0,2003
syr,5,2004
syr,0,2005
syr,0,2006
syr,0,2007
syr,0,2008
twn,0,1970
twn,0,1971
twn,0,1972
twn,0,1973
twn,0,1974
twn,0,1975
twn,0,1976
twn,61,1977
twn,0,1978
twn,0,1979
twn,0,1980
twn,26,1981
twn,0,1982
twn,82,1983
twn,0,1984
twn,0,1985
twn,65,1986
twn,61,1987
twn,0,1988
twn,13,1989
twn,5,1990
twn,33,1991
twn,8,1992
twn,0,1993
twn,45,1994
twn,0,1995
twn,65,1996
twn,44,1997
twn,13,1998
twn,0,1999
twn,103,2000
twn,195,2001
twn,8,2002
twn,3,2003
twn,79,2004
twn,17,2005
twn,3,2006
twn,18,2007
twn,47,2008
tjk,0,1970
tjk,0,1971
tjk,0,1972
tjk,0,1973
tjk,0,1974
tjk,0,1975
tjk,0,1976
tjk,0,1977
tjk,0,1978
tjk,0,1979
tjk,0,1980
tjk,0,1981
tjk,0,1982
tjk,0,1983
tjk,0,1984
tjk,0,1985
