geo,total_health_spending_per_person_us,time
eri,7.76,1996
eri,9.101,1997
eri,9.335,1998
eri,9.083,1999
eri,9.088,2000
eri,9.166,2001
eri,7.463,2002
eri,7.702,2003
eri,8.181,2004
eri,7.836,2005
eri,8.411,2006
eri,9.041,2007
eri,10.66,2008
eri,10.67,2009
eri,11.9,2010
est,165.7,1995
est,219.3,1996
est,222.7,1997
est,222.9,1998
est,271.4,1999
est,250.0,2000
est,252.2,2001
est,298.4,2002
est,408.9,2003
est,517.2,2004
est,516.6,2005
est,623.3,2006
est,835.7,2007
est,1058.0,2008
est,967.3,2009
est,853.3,2010
eth,3.994,1995
eth,4.222,1996
eth,4.403,1997
eth,4.542,1998
eth,4.511,1999
eth,5.318,2000
eth,5.654,2001
eth,5.303,2002
eth,5.923,2003
eth,5.992,2004
eth,6.802,2005
eth,8.33,2006
eth,11.8,2007
eth,14.04,2008
eth,15.55,2009
eth,15.71,2010
fji,78.28,1995
fji,87.9,1996
fji,92.34,1997
fji,65.57,1998
fji,75.06,1999
fji,79.83,2000
fji,66.36,2001
fji,78.06,2002
fji,94.21,2003
fji,119.1,2004
fji,131.9,2005
fji,143.8,2006
fji,151.9,2007
fji,153.1,2008
fji,145.4,2009
fji,154.3,2010
fin,2010.0,1995
fin,2011.0,1996
fin,1846.0,1997
fin,1851.0,1998
fin,1860.0,1999
fin,1699.0,2000
fin,1784.0,2001
fin,2030.0,2002
fin,2568.0,2003
fin,2969.0,2004
fin,3146.0,2005
fin,3295.0,2006
fin,3744.0,2007
fin,4254.0,2008
fin,4078.0,2009
fin,3984.0,2010
fra,2740.0,1995
fra,2737.0,1996
fra,2435.0,1997
fra,2482.0,1998
fra,2452.0,1999
fra,2203.0,2000
fra,2234.0,2001
fra,2489.0,2002
fra,3159.0,2003
fra,3630.0,2004
fra,3785.0,2005
fra,3947.0,2006
fra,4483.0,2007
fra,4941.0,2008
fra,4840.0,2009
fra,4691.0,2010
gab,136.4,1995
gab,150.2,1996
gab,117.1,1997
gab,133.8,1998
gab,115.5,1999
gab,102.4,2000
gab,106.6,2001
gab,122.3,2002
gab,153.5,2003
gab,160.1,2004
gab,164.2,2005
gab,190.9,2006
gab,233.7,2007
gab,263.3,2008
gab,265.7,2009
gab,302.1,2010
gmb,21.22,1995
gmb,18.85,1996
gmb,17.81,1997
gmb,20.51,1998
gmb,19.75,1999
gmb,18.79,2000
gmb,18.18,2001
gmb,15.76,2002
gmb,15.14,2003
gmb,17.25,2004
gmb,18.9,2005
gmb,19.25,2006
gmb,21.5,2007
gmb,26.37,2008
gmb,26.77,2009
gmb,26.12,2010
geo,29.02,1995
geo,45.96,1996
geo,56.96,1997
geo,48.65,1998
geo,36.68,1999
geo,44.71,2000
geo,53.71,2001
geo,64.03,2002
geo,74.11,2003
geo,96.75,2004
geo,123.1,2005
geo,146.3,2006
geo,188.1,2007
geo,261.9,2008
geo,251.0,2009
geo,271.6,2010
deu,3126.0,1995
deu,3102.0,1996
deu,2700.0,1997
deu,2734.0,1998
deu,2691.0,1999
deu,2387.0,2000
deu,2401.0,2001
deu,2610.0,2002
deu,3209.0,2003
deu,3528.0,2004
deu,3626.0,2005
deu,3748.0,2006
deu,4231.0,2007
deu,4718.0,2008
deu,4723.0,2009
deu,4668.0,2010
gha,19.95,1995
gha,20.39,1996
gha,20.49,1997
gha,21.32,1998
gha,20.46,1999
gha,12.32,2000
gha,15.16,2001
