geo,infectious_tb_number_of_new_cases_reported,time
mar,14170,1995
mar,14280,1996
mar,14130,1997
mar,13430,1998
mar,13420,1999
mar,12870,2000
mar,12800,2001
mar,12910,2002
mar,12840,2003
mar,12280,2004
mar,12760,2005
mar,12280,2006
mar,11940,2007
moz,9526,1993
moz,9677,1994
moz,10570,1995
moz,10480,1996
moz,11120,1997
moz,12120,1998
moz,12820,1999
moz,13260,2000
moz,13970,2001
moz,15240,2002
moz,16140,2003
moz,17060,2004
moz,17880,2005
moz,18280,2006
moz,18210,2007
mmr,946,1994
mmr,8681,1995
mmr,9716,1996
mmr,9695,1997
mmr,10090,1998
mmr,11460,1999
mmr,17250,2000
mmr,21160,2001
mmr,24160,2002
mmr,27450,2003
mmr,31410,2004
mmr,36540,2005
mmr,40240,2006
mmr,42590,2007
nam,697,1995
nam,2849,1996
nam,3220,1997
nam,3598,1998
nam,3760,1999
nam,4012,2000
nam,4535,2001
nam,4689,2002
nam,5487,2003
nam,5155,2004
nam,5222,2005
nam,5356,2006
nam,5091,2007
nru,2,1994
nru,2,1999
nru,4,2000
nru,2,2001
nru,2,2002
nru,1,2003
nru,0,2005
nru,2,2006
nru,3,2007
npl,6679,1993
npl,10440,1994
npl,8591,1995
npl,10360,1996
npl,11320,1997
npl,11310,1998
npl,13410,1999
npl,13680,2000
npl,13680,2001
npl,13710,2002
npl,14350,2003
npl,14610,2004
npl,14620,2005
npl,14030,2006
npl,14360,2007
nld,1063,1993
nld,575,1995
nld,358,1996
nld,312,1997
nld,254,1998
nld,308,1999
nld,289,2000
nld,307,2001
nld,330,2002
nld,282,2003
nld,360,2004
nld,237,2005
nld,203,2006
nld,187,2007
ant,3,1996
ant,5,1997
ant,6,1998
ant,2,1999
ant,2,2000
ant,7,2001
ant,9,2002
ant,4,2003
ant,8,2004
ant,5,2006
ncl,16,1993
ncl,28,1994
ncl,21,1995
ncl,26,1996
ncl,24,1997
ncl,26,1998
ncl,22,1999
ncl,20,2000
ncl,19,2001
ncl,21,2002
ncl,12,2003
ncl,15,2004
ncl,16,2005
ncl,9,2006
ncl,12,2007
nzl,91,1993
nzl,61,1994
nzl,78,1995
nzl,90,1996
nzl,83,1997
nzl,106,1998
nzl,94,1999
nzl,74,2000
nzl,68,2001
nzl,88,2002
nzl,106,2003
nzl,111,2004
nzl,83,2005
nzl,97,2006
nzl,81,2007
nic,1714,1993
nic,1615,1994
nic,1568,1995
nic,1722,1996
nic,1670,1997
nic,1648,1998
nic,1564,1999
nic,1471,2000
nic,1510,2001
nic,1320,2002
nic,1404,2003
nic,1327,2004
nic,1253,2005
nic,1285,2006
nic,1453,2007
ner,463,1993
ner,1865,1994
ner,1492,1995
ner,3452,1997
ner,3195,1998
ner,2631,1999
ner,3045,2000
ner,3476,2001
ner,3495,2002
ner,4505,2003
ner,4311,2004
ner,5050,2005
ner,5279,2006
ner,5773,2007
nga,1723,1993
nga,9476,1995
nga,10660,1996
nga,11240,1997
nga,13160,1998
nga,15900,1999
nga,17420,2000
nga,23410,2001
nga,21940,2002
nga,28170,2003
nga,33760,2004
nga,35050,2005
nga,39900,2006
nga,44020,2007
niu,0,1993
niu,0,1994
niu,0,1995
niu,1,1996
niu,0,1997
niu,0,1998
niu,1,1999
niu,0,2000
niu,0,2001
niu,1,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,14,1995
mnp,26,1996
mnp,21,1997
mnp,26,1998
mnp,15,1999
mnp,27,2000
mnp,19,2001
mnp,21,2002
mnp,16,2003
mnp,14,2004
mnp,15,2005
mnp,15,2006
mnp,14,2007
nor,86,1994
nor,62,1995
nor,103,1996
nor,100,1997
nor,49,1998
nor,21,1999
nor,37,2000
nor,59,2001
nor,31,2002
nor,52,2003
nor,50,2004
nor,48,2005
nor,46,2006
nor,38,2007
omn,123,1993
omn,135,1994
omn,135,1995
omn,164,1996
