geo,time,nuclear_power_generation_total
mkd,2009,0.0
mkd,2010,0.0
mys,1971,0.0
mys,1972,0.0
mys,1973,0.0
mys,1974,0.0
mys,1975,0.0
mys,1976,0.0
mys,1977,0.0
mys,1978,0.0
mys,1979,0.0
mys,1980,0.0
mys,1981,0.0
mys,1982,0.0
mys,1983,0.0
mys,1984,0.0
mys,1985,0.0
mys,1986,0.0
mys,1987,0.0
mys,1988,0.0
mys,1989,0.0
mys,1990,0.0
mys,1991,0.0
mys,1992,0.0
mys,1993,0.0
mys,1994,0.0
mys,1995,0.0
mys,1996,0.0
mys,1997,0.0
mys,1998,0.0
mys,1999,0.0
mys,2000,0.0
mys,2001,0.0
mys,2002,0.0
mys,2003,0.0
mys,2004,0.0
mys,2005,0.0
mys,2006,0.0
mys,2007,0.0
mys,2008,0.0
mys,2009,0.0
mys,2010,0.0
mlt,1971,0.0
mlt,1972,0.0
mlt,1973,0.0
mlt,1974,0.0
mlt,1975,0.0
mlt,1976,0.0
mlt,1977,0.0
mlt,1978,0.0
mlt,1979,0.0
mlt,1980,0.0
mlt,1981,0.0
mlt,1982,0.0
mlt,1983,0.0
mlt,1984,0.0
mlt,1985,0.0
mlt,1986,0.0
mlt,1987,0.0
mlt,1988,0.0
mlt,1989,0.0
mlt,1990,0.0
mlt,1991,0.0
mlt,1992,0.0
mlt,1993,0.0
mlt,1994,0.0
mlt,1995,0.0
mlt,1996,0.0
mlt,1997,0.0
mlt,1998,0.0
mlt,1999,0.0
mlt,2000,0.0
mlt,2001,0.0
mlt,2002,0.0
mlt,2003,0.0
mlt,2004,0.0
mlt,2005,0.0
mlt,2006,0.0
mlt,2007,0.0
mlt,2008,0.0
mlt,2009,0.0
mlt,2010,0.0
mex,1971,0.0
mex,1972,0.0
mex,1973,0.0
mex,1974,0.0
mex,1975,0.0
mex,1976,0.0
mex,1977,0.0
mex,1978,0.0
mex,1979,0.0
mex,1980,0.0
mex,1981,0.0
mex,1982,0.0
mex,1983,0.0
mex,1984,0.0
mex,1985,0.0
mex,1986,0.0
mex,1987,0.0
mex,1988,0.0
mex,1989,31990.0
mex,1990,252500.0
mex,1991,364700.0
mex,1992,337000.0
mex,1993,424000.0
mex,1994,364500.0
mex,1995,726000.0
mex,1996,677400.0
mex,1997,899100.0
mex,1998,796600.0
mex,1999,860000.0
mex,2000,706900.0
mex,2001,750300.0
mex,2002,838100.0
mex,2003,903000.0
mex,2004,790500.0
mex,2005,929100.0
mex,2006,934300.0
mex,2007,896000.0
mex,2008,843000.0
mex,2009,902900.0
mex,2010,505500.0
mex,2011,867500.0
mda,1990,0.0
mda,1991,0.0
mda,1992,0.0
mda,1993,0.0
mda,1994,0.0
mda,1995,0.0
mda,1996,0.0
mda,1997,0.0
mda,1998,0.0
mda,1999,0.0
mda,2000,0.0
mda,2001,0.0
mda,2002,0.0
mda,2003,0.0
mda,2004,0.0
mda,2005,0.0
mda,2006,0.0
mda,2007,0.0
mda,2008,0.0
mda,2009,0.0
mda,2010,0.0
mng,1985,0.0
mng,1986,0.0
mng,1987,0.0
mng,1988,0.0
mng,1989,0.0
mng,1990,0.0
mng,1991,0.0
mng,1992,0.0
mng,1993,0.0
mng,1994,0.0
mng,1995,0.0
mng,1996,0.0
mng,1997,0.0
mng,1998,0.0
mng,1999,0.0
mng,2000,0.0
mng,2001,0.0
mng,2002,0.0
mng,2003,0.0
mng,2004,0.0
mng,2005,0.0
mng,2006,0.0
mng,2007,0.0
mng,2008,0.0
mng,2009,0.0
mng,2010,0.0
mne,2005,0.0
mne,2006,0.0
mne,2007,0.0
mne,2008,0.0
mne,2009,0.0
mne,2010,0.0
mar,1971,0.0
mar,1972,0.0
mar,1973,0.0
mar,1974,0.0
mar,1975,0.0
mar,1976,0.0
mar,1977,0.0
mar,1978,0.0
mar,1979,0.0
mar,1980,0.0
mar,1981,0.0
mar,1982,0.0
mar,1983,0.0
mar,1984,0.0
mar,1985,0.0
mar,1986,0.0
mar,1987,0.0
mar,1988,0.0
mar,1989,0.0
mar,1990,0.0
mar,1991,0.0
mar,1992,0.0
mar,1993,0.0
mar,1994,0.0
mar,1995,0.0
mar,1996,0.0
mar,1997,0.0
mar,1998,0.0
mar,1999,0.0
mar,2000,0.0
mar,2001,0.0
mar,2002,0.0
mar,2003,0.0
mar,2004,0.0
mar,2005,0.0
mar,2006,0.0
mar,2007,0.0
mar,2008,0.0
mar,2009,0.0
mar,2010,0.0
