total_reserves_percent_of_debt_to_foreigners,geo,time
8.124,tza,1977
2.287,tza,1978
1.619,tza,1979
0.3875,tza,1980
0.3271,tza,1981
0.07868,tza,1982
0.2857,tza,1983
0.3753,tza,1984
0.176,tza,1985
1.249,tza,1986
0.5784,tza,1987
1.295,tza,1988
0.9276,tza,1989
2.991,tza,1990
3.112,tza,1991
4.914,tza,1992
3.007,tza,1993
4.599,tza,1994
3.669,tza,1995
5.998,tza,1996
8.763,tza,1997
7.989,tza,1998
9.868,tza,1999
13.64,tza,2000
17.89,tza,2001
21.54,tza,2002
28.03,tza,2003
26.76,tza,2004
24.52,tza,2005
55.8,tza,2006
57.64,tza,2007
48.01,tza,2008
47.38,tza,2009
45.07,tza,2010
91.05,tha,1970
82.48,tha,1971
90.71,tha,1972
118.0,tha,1973
137.1,tha,1974
107.6,tha,1975
90.85,tha,1976
66.02,tha,1977
50.84,tha,1978
46.65,tha,1979
36.47,tha,1980
25.07,tha,1981
21.85,tha,1982
18.4,tha,1983
17.93,tha,1984
17.15,tha,1985
20.42,tha,1986
25.61,tha,1987
32.76,tha,1988
44.74,tha,1989
50.75,tha,1990
48.78,tha,1991
50.7,tha,1992
48.33,tha,1993
46.21,tha,1994
36.92,tha,1995
34.25,tha,1996
24.52,tha,1997
28.15,tha,1998
35.94,tha,1999
40.98,tha,2000
49.17,tha,2001
65.52,tha,2002
82.66,tha,2003
100.8,tha,2004
112.3,tha,2005
146.0,tha,2006
193.1,tha,2007
222.7,tha,2008
239.1,tha,2009
241.4,tha,2010
88.82,tgo,1970
85.69,tgo,1971
77.51,tgo,1972
54.51,tgo,1973
42.95,tgo,1974
24.54,tgo,1975
27.5,tgo,1976
10.86,tgo,1977
8.798,tgo,1978
6.513,tgo,1979
7.568,tgo,1980
15.56,tgo,1981
18.23,tgo,1982
19.37,tgo,1983
25.64,tgo,1984
32.15,tgo,1985
32.56,tgo,1986
29.88,tgo,1987
19.41,tgo,1988
24.68,tgo,1989
27.96,tgo,1990
27.33,tgo,1991
20.45,tgo,1992
12.46,tgo,1993
6.815,tgo,1994
8.836,tgo,1995
5.947,tgo,1996
8.814,tgo,1997
8.0,tgo,1998
8.013,tgo,1999
9.853,tgo,2000
8.967,tgo,2001
10.88,tgo,2002
11.96,tgo,2003
19.6,tgo,2004
11.45,tgo,2005
21.08,tgo,2006
22.39,tgo,2007
35.75,tgo,2008
43.06,tgo,2009
41.38,tgo,2010
115.4,ton,1985
79.06,ton,1986
81.23,ton,1987
82.53,ton,1988
65.26,ton,1989
70.5,ton,1990
72.98,ton,1991
74.52,ton,1992
84.86,ton,1993
61.66,ton,1994
45.72,ton,1995
49.0,ton,1996
47.67,ton,1997
44.6,ton,1998
35.58,ton,1999
37.77,ton,2000
37.75,ton,2001
34.75,ton,2002
46.77,ton,2003
65.06,ton,2004
58.86,ton,2005
58.71,ton,2006
75.45,ton,2007
78.53,ton,2008
91.52,ton,2009
72.84,ton,2010
10.01,tun,1970
22.09,tun,1971
30.18,tun,1972
36.12,tun,1973
43.68,tun,1974
35.9,tun,1975
29.98,tun,1976
16.84,tun,1977
16.29,tun,1978
19.61,tun,1979
19.87,tun,1980
16.93,tun,1981
18.34,tun,1982
15.74,tun,1983
11.33,tun,1984
6.016,tun,1985
6.366,tun,1986
9.036,tun,1987
14.35,tun,1988
14.87,tun,1989
11.27,tun,1990
10.5,tun,1991
10.81,tun,1992
10.79,tun,1993
16.07,tun,1994
15.61,tun,1995
17.38,tun,1996
18.18,tun,1997
17.64,tun,1998
19.6,tun,1999
16.55,tun,2000
15.93,tun,2001
15.32,tun,2002
16.55,tun,2003
20.67,tun,2004
25.45,tun,2005
37.09,tun,2006
39.3,tun,2007
43.51,tun,2008
52.02,tun,2009
45.24,tun,2010
16.01,tur,1970
23.76,tur,1971
42.03,tur,1972
56.77,tur,1973
48.08,tur,1974
28.55,tur,1975
24.52,tur,1976
10.81,tur,1977
10.97,tur,1978
16.24,tur,1979
17.24,tur,1980
12.61,tur,1981
14.21,tur,1982
