geo,all_forms_of_tb_number_of_new_cases_estimated,time
smr,2,2002
smr,2,2003
smr,2,2004
smr,2,2005
smr,2,2006
smr,2,2007
stp,157,1990
stp,158,1991
stp,158,1992
stp,158,1993
stp,159,1994
stp,159,1995
stp,159,1996
stp,159,1997
stp,159,1998
stp,160,1999
stp,160,2000
stp,160,2001
stp,160,2002
stp,160,2003
stp,160,2004
stp,160,2005
stp,159,2006
stp,159,2007
sau,6957,1990
sau,6407,1991
sau,6360,1992
sau,6632,1993
sau,7297,1994
sau,7804,1995
sau,8399,1996
sau,8906,1997
sau,9473,1998
sau,9780,1999
sau,9879,2000
sau,9748,2001
sau,9617,2002
sau,9604,2003
sau,9756,2004
sau,10190,2005
sau,10810,2006
sau,11440,2007
sen,15370,1990
sen,16120,1991
sen,16900,1992
sen,17710,1993
sen,18560,1994
sen,19440,1995
sen,20360,1996
sen,21320,1997
sen,22320,1998
sen,23370,1999
sen,24460,2000
sen,25610,2001
sen,26820,2002
sen,28070,2003
sen,29380,2004
sen,30730,2005
sen,32150,2006
sen,33610,2007
syc,31,1990
syc,31,1991
syc,31,1992
syc,31,1993
syc,30,1994
syc,30,1995
syc,30,1996
syc,30,1997
syc,30,1998
syc,30,1999
syc,30,2000
syc,29,2001
syc,29,2002
syc,29,2003
syc,29,2004
syc,29,2005
syc,28,2006
syc,28,2007
sle,8454,1990
sle,9060,1991
sle,9645,1992
sle,10230,1993
sle,10860,1994
sle,11570,1995
sle,12370,1996
sle,13280,1997
sle,14320,1998
sle,15560,1999
sle,17040,2000
sle,18830,2001
sle,20930,2002
sle,23300,2003
sle,25840,2004
sle,28430,2005
sle,31040,2006
sle,33660,2007
sgp,1493,1990
sgp,1541,1991
sgp,1614,1992
sgp,1566,1993
sgp,1598,1994
sgp,1632,1995
sgp,1723,1996
sgp,1791,1997
sgp,1752,1998
sgp,1680,1999
sgp,1505,2000
sgp,1419,2001
sgp,1373,2002
sgp,1337,2003
sgp,1290,2004
sgp,1210,2005
sgp,1193,2006
sgp,1176,2007
svk,2085,1990
svk,2191,1991
svk,2352,1992
svk,2416,1993
svk,2329,1994
svk,2194,1995
svk,1982,1996
svk,1864,1997
svk,1680,1998
svk,1549,1999
svk,1413,2000
svk,1356,2001
svk,1308,2002
svk,1161,2003
svk,1040,2004
svk,934,2005
svk,915,2006
svk,896,2007
svn,824,1990
svn,773,1991
svn,743,1992
svn,720,1993
svn,675,1994
svn,641,1995
svn,624,1996
svn,593,1997
svn,538,1998
svn,493,1999
svn,457,2000
svn,423,2001
svn,386,2002
svn,343,2003
svn,315,2004
svn,288,2005
svn,273,2006
svn,259,2007
slb,980,1990
slb,956,1991
slb,934,1992
slb,912,1993
slb,890,1994
slb,869,1995
slb,848,1996
slb,828,1997
slb,807,1998
slb,787,1999
slb,767,2000
slb,748,2001
slb,728,2002
slb,709,2003
slb,690,2004
slb,671,2005
slb,652,2006
slb,634,2007
som,16700,1990
som,16520,1991
som,16210,1992
som,15860,1993
som,15600,1994
som,15530,1995
som,15670,1996
som,16000,1997
som,16470,1998
som,17000,1999
som,17550,2000
som,18090,2001
som,18640,2002
som,19200,2003
som,19780,2004
som,20380,2005
som,21000,2006
som,21630,2007
zaf,110000,1990
zaf,112900,1991
zaf,116400,1992
zaf,120400,1993
zaf,125200,1994
zaf,131600,1995
zaf,140900,1996
zaf,155500,1997
zaf,178900,1998
zaf,214200,1999
zaf,261400,2000
zaf,314400,2001
zaf,363300,2002
zaf,401100,2003
zaf,426900,2004
zaf,443500,2005
zaf,453900,2006
zaf,460600,2007
esp,21640,1990
esp,20470,1991
esp,19520,1992
esp,18350,1993
esp,17630,1994
esp,16830,1995
esp,16300,1996
esp,15820,1997
esp,15220,1998
esp,14400,1999
esp,13900,2000
esp,13560,2001
esp,13640,2002
esp,13320,2003
esp,13260,2004
esp,13240,2005
esp,13190,2006
esp,13100,2007
lka,10350,1990
lka,10480,1991
lka,10600,1992
lka,10720,1993
lka,10840,1994
lka,10940,1995
lka,11030,1996
lka,11120,1997
lka,11190,1998
lka,11260,1999
lka,11320,2000
lka,11380,2001
lka,11430,2002
lka,11470,2003
lka,11520,2004
lka,11570,2005
lka,11620,2006
lka,11680,2007
sdn,45220,1990
sdn,47270,1991
sdn,49460,1992
sdn,51770,1993
sdn,54190,1994
sdn,56720,1995
sdn,59350,1996
sdn,62090,1997
sdn,64920,1998
sdn,67810,1999
sdn,70730,2000
sdn,73680,2001
sdn,76660,2002
sdn,79710,2003
sdn,82910,2004
sdn,86320,2005
sdn,89950,2006
sdn,93810,2007
sur,265,1990
sur,249,1991
sur,199,1992
sur,207,1993
sur,200,1994
sur,211,1995
sur,241,1996
sur,284,1997
sur,340,1998
sur,357,1999
sur,344,2000
sur,347,2001
sur,355,2002
sur,384,2003
sur,410,2004
sur,453,2005
sur,493,2006
sur,533,2007
swz,2310,1990
swz,2365,1991
swz,2361,1992
swz,2470,1993
swz,2755,1994
swz,3230,1995
swz,3896,1996
swz,4736,1997
swz,5688,1998
swz,7181,1999
swz,8481,2000
swz,9848,2001
swz,10830,2002
swz,11860,2003
swz,12550,2004
swz,12830,2005
swz,13260,2006
swz,13670,2007
swe,594,1990
swe,599,1991
swe,620,1992
swe,626,1993
swe,610,1994
swe,567,1995
swe,539,1996
swe,497,1997
swe,490,1998
