geo,patent_applications_total,time
nld,58820,1993
nld,66090,1994
nld,63740,1995
nld,66840,1996
nld,90630,1997
nld,115100,1998
nld,123500,1999
nld,144300,2000
nld,158900,2001
nld,166000,2002
nzl,4012,1984
nzl,3975,1985
nzl,4085,1986
nzl,4280,1987
nzl,4425,1988
nzl,4467,1989
nzl,4671,1990
nzl,4533,1991
nzl,4546,1992
nzl,12590,1993
nzl,17270,1994
nzl,20650,1995
nzl,28370,1996
nzl,35140,1997
nzl,39730,1998
nzl,47640,1999
nzl,67940,2000
nzl,83280,2001
nzl,93380,2002
nic,49,1984
nic,35,1985
nic,39,1986
nic,42,1992
nic,36,1993
nic,35,1995
nic,105,1997
nic,154,1998
nic,145,1999
nic,143,2000
nic,50,2002
nga,441,1985
nga,1522,1988
nga,258,1990
nor,5293,1984
nor,6734,1985
nor,6872,1986
nor,8310,1987
nor,9459,1988
nor,10060,1989
nor,11880,1990
nor,12570,1991
nor,14100,1992
nor,14680,1993
nor,18550,1994
nor,21680,1995
nor,27180,1996
nor,32010,1997
nor,44260,1998
nor,50660,1999
nor,68060,2000
nor,84370,2001
nor,91220,2002
omn,2174,2001
omn,75820,2002
pak,547,1990
pak,524,1991
pak,622,1992
pak,636,1993
pak,605,1994
pak,699,1995
pak,798,1996
pak,1195,2000
pak,1226,2001
pan,113,1984
pan,92,1985
pan,94,1986
pan,76,1987
pan,88,1988
pan,50,1989
pan,68,1990
pan,87,1991
pan,84,1992
pan,100,1993
pan,97,1994
pan,78,1995
pan,173,1996
pan,160,2000
png,33,2002
pry,42,1984
pry,42,1985
pry,44,1988
pry,40,1989
pry,52,1990
pry,64,1992
pry,101,1993
per,272,1984
per,261,1985
per,256,1986
per,237,1987
per,247,1988
per,268,1990
per,247,1991
per,283,1992
per,288,1993
per,398,1994
per,617,1996
per,804,1997
per,992,1999
per,1078,2000
phl,1636,1984
phl,1580,1985
phl,1843,1989
phl,1969,1990
phl,1921,1991
phl,2797,1996
phl,3565,1997
phl,3443,1998
phl,3361,1999
phl,3636,2000
phl,13600,2001
phl,81700,2002
pol,5888,1984
pol,5894,1985
pol,6199,1986
pol,6451,1987
pol,7043,1988
pol,6137,1989
pol,5421,1990
pol,8817,1991
pol,11370,1992
pol,13760,1993
pol,18660,1994
pol,22090,1995
pol,27320,1996
pol,32540,1997
pol,41350,1998
pol,47480,1999
pol,64870,2000
pol,81070,2001
pol,94500,2002
prt,1852,1984
prt,1991,1985
prt,2268,1986
prt,2319,1987
prt,2464,1988
prt,3397,1989
prt,3642,1990
prt,3555,1991
prt,13400,1992
prt,42930,1993
prt,51760,1994
prt,58700,1995
prt,71650,1996
prt,106700,1997
prt,145100,1998
prt,159700,1999
prt,198700,2000
prt,230900,2001
prt,251900,2002
rou,3903,1984
rou,5160,1985
rou,5489,1986
rou,6276,1987
rou,7392,1988
rou,8206,1989
rou,6742,1990
rou,7184,1991
