geo,private_share_of_total_health_spending_percent,time
dji,41.72,1996
dji,38.49,1997
dji,33.94,1998
dji,29.22,1999
dji,32.23,2000
dji,35.13,2001
dji,35.46,2002
dji,32.98,2003
dji,38.29,2004
dji,31.57,2005
dji,33.26,2006
dji,30.81,2007
dji,32.0,2008
dji,30.68,2009
dji,34.71,2010
dma,29.64,1995
dma,29.56,1996
dma,28.75,1997
dma,29.44,1998
dma,30.07,1999
dma,31.03,2000
dma,32.28,2001
dma,32.74,2002
dma,33.92,2003
dma,34.86,2004
dma,37.87,2005
dma,35.76,2006
dma,37.52,2007
dma,37.76,2008
dma,34.76,2009
dma,30.36,2010
dom,79.1,1995
dom,76.8,1996
dom,73.67,1997
dom,69.17,1998
dom,66.23,1999
dom,65.46,2000
dom,68.92,2001
dom,67.73,2002
dom,66.94,2003
dom,71.32,2004
dom,68.42,2005
dom,63.03,2006
dom,64.05,2007
dom,62.95,2008
dom,58.6,2009
dom,56.65,2010
ecu,44.64,1995
ecu,41.38,1996
ecu,46.75,1997
ecu,61.04,1998
ecu,60.61,1999
ecu,68.75,2000
ecu,65.51,2001
ecu,66.28,2002
ecu,77.85,2003
ecu,77.01,2004
ecu,77.68,2005
ecu,76.19,2006
ecu,75.73,2007
ecu,73.47,2008
ecu,65.12,2009
ecu,62.79,2010
egy,53.5,1995
egy,58.44,1996
egy,61.3,1997
egy,60.05,1998
egy,59.63,1999
egy,59.53,2000
egy,59.53,2001
egy,59.74,2002
egy,59.63,2003
egy,59.54,2004
egy,59.36,2005
egy,55.82,2006
egy,58.79,2007
egy,57.81,2008
egy,60.51,2009
egy,62.59,2010
slv,61.48,1995
slv,59.0,1996
slv,61.44,1997
slv,57.49,1998
slv,56.62,1999
slv,54.78,2000
slv,54.55,2001
slv,53.36,2002
slv,52.74,2003
slv,50.68,2004
slv,47.36,2005
slv,37.98,2006
slv,40.92,2007
slv,40.59,2008
slv,39.72,2009
slv,38.3,2010
gnq,42.97,1995
gnq,47.59,1996
gnq,52.01,1997
gnq,52.61,1998
gnq,54.29,1999
gnq,53.68,2000
gnq,40.08,2001
gnq,21.64,2002
gnq,33.79,2003
gnq,42.75,2004
gnq,41.2,2005
gnq,33.66,2006
gnq,30.09,2007
gnq,44.28,2008
gnq,23.97,2009
gnq,24.07,2010
eri,52.1,1995
eri,62.73,1996
eri,57.82,1997
eri,56.87,1998
eri,57.22,1999
eri,52.37,2000
eri,47.32,2001
eri,50.73,2002
eri,52.81,2003
eri,53.79,2004
eri,54.05,2005
eri,54.43,2006
eri,54.72,2007
eri,49.45,2008
eri,52.3,2009
eri,51.76,2010
est,10.23,1995
est,11.63,1996
est,10.83,1997
est,13.65,1998
est,27.61,1999
est,32.23,2000
est,30.89,2001
est,32.67,2002
est,31.76,2003
est,33.23,2004
est,23.04,2005
est,26.34,2006
est,23.55,2007
est,20.97,2008
est,21.64,2009
est,21.32,2010
eth,59.97,1995
eth,61.85,1996
eth,59.13,1997
eth,56.24,1998
eth,53.42,1999
eth,46.44,2000
eth,42.88,2001
eth,45.98,2002
eth,42.09,2003
eth,42.81,2004
eth,39.09,2005
eth,44.71,2006
eth,43.26,2007
eth,48.11,2008
eth,46.45,2009
eth,46.46,2010
fji,20.12,1995
fji,18.38,1996
fji,17.32,1997
fji,17.72,1998
fji,19.61,1999
fji,15.93,2000
fji,19.3,2001
fji,17.46,2002
fji,18.8,2003
fji,19.27,2004
fji,18.62,2005
fji,21.48,2006
fji,25.45,2007
fji,24.51,2008
fji,30.2,2009
fji,29.87,2010
fin,28.32,1995
fin,28.38,1996
fin,27.89,1997
fin,27.53,1998
fin,28.54,1999
fin,28.74,2000
fin,28.03,2001
fin,27.54,2002
fin,25.44,2003
fin,25.03,2004
fin,24.61,2005
fin,25.16,2006
fin,25.64,2007
fin,25.55,2008
fin,25.29,2009
fin,24.95,2010
fra,20.31,1995
fra,20.44,1996
fra,20.36,1997
fra,20.48,1998
fra,20.55,1999
fra,20.62,2000
fra,20.62,2001
fra,20.34,2002
fra,21.08,2003
fra,21.18,2004
fra,21.16,2005
fra,21.26,2006
fra,21.66,2007
fra,22.3,2008
fra,22.07,2009
fra,22.15,2010
gab,62.15,1995
gab,59.73,1996
gab,60.0,1997
gab,59.65,1998
gab,64.38,1999
gab,58.03,2000
gab,57.97,2001
gab,63.69,2002
gab,56.23,2003
gab,54.28,2004
gab,57.72,2005
gab,57.33,2006
gab,56.12,2007
gab,56.3,2008
gab,52.08,2009
gab,47.07,2010
gmb,70.86,1995
gmb,70.34,1996
gmb,70.3,1997
gmb,66.0,1998
gmb,65.11,1999
gmb,66.23,2000
gmb,62.56,2001
gmb,62.48,2002
gmb,49.66,2003
gmb,42.21,2004
gmb,44.95,2005
gmb,43.16,2006
gmb,51.8,2007
gmb,52.01,2008
gmb,46.55,2009
gmb,49.15,2010
geo,94.78,1995
geo,88.33,1996
geo,81.34,1997
geo,81.74,1998
geo,81.88,1999
geo,82.99,2000
geo,82.24,2001
geo,83.95,2002
geo,85.18,2003
geo,84.68,2004
geo,80.83,2005
geo,78.89,2006
geo,82.25,2007
geo,80.21,2008
geo,77.73,2009
geo,76.36,2010
deu,18.64,1995
deu,18.07,1996
deu,19.37,1997
deu,20.13,1998
deu,20.21,1999
deu,20.5,2000
deu,20.72,2001
deu,20.99,2002
deu,21.56,2003
deu,23.28,2004
deu,23.39,2005
deu,23.57,2006
deu,23.58,2007
deu,23.45,2008
deu,23.14,2009
deu,22.92,2010
gha,42.55,1995
gha,42.68,1996
gha,45.37,1997
gha,44.4,1998
gha,49.68,1999
gha,51.3,2000
gha,42.98,2001
gha,50.33,2002
gha,48.7,2003
gha,38.1,2004
gha,33.65,2005
gha,43.49,2006
gha,37.64,2007
gha,41.96,2008
gha,43.29,2009
gha,40.51,2010
grc,47.96,1995
grc,47.05,1996
grc,47.16,1997
grc,47.94,1998
grc,46.58,1999
grc,39.99,2000
grc,39.24,2001
grc,42.01,2002
grc,40.21,2003
grc,40.88,2004
grc,39.89,2005
grc,37.97,2006
grc,39.65,2007
grc,40.06,2008
grc,38.34,2009
grc,40.6,2010
grd,56.47,1995
grd,56.61,1996
grd,56.47,1997
grd,57.09,1998
grd,52.37,1999
grd,47.97,2000
grd,41.15,2001
grd,47.19,2002
grd,50.88,2003
grd,53.07,2004
grd,52.25,2005
grd,50.22,2006
grd,52.67,2007
grd,54.88,2008
grd,50.82,2009
grd,55.03,2010
gtm,64.04,1995
gtm,65.91,1996
gtm,62.94,1997
gtm,52.47,1998
gtm,51.13,1999
gtm,60.31,2000
gtm,62.56,2001
gtm,64.58,2002
gtm,63.15,2003
gtm,65.75,2004
gtm,66.22,2005
gtm,66.86,2006
gtm,66.62,2007
gtm,65.47,2008
gtm,63.74,2009
gtm,65.13,2010
gin,79.54,1995
gin,81.14,1996
gin,79.74,1997
gin,83.2,1998
gin,81.61,1999
gin,81.34,2000
gin,78.52,2001
gin,78.71,2002
gin,75.83,2003
gin,83.11,2004
gin,88.7,2005
gin,87.21,2006
gin,91.98,2007
gin,86.13,2008
gin,91.81,2009
gin,88.71,2010
gnb,75.25,1995
gnb,69.68,1996
gnb,66.53,1997
gnb,68.75,1998
gnb,74.66,1999
gnb,83.81,2000
gnb,83.85,2001
gnb,63.9,2002
gnb,76.94,2003
gnb,84.34,2004
gnb,84.07,2005
gnb,84.62,2006
gnb,83.84,2007
gnb,84.7,2008
gnb,89.41,2009
gnb,89.97,2010
guy,20.76,1995
guy,20.4,1996
guy,19.86,1997
guy,20.24,1998
guy,20.78,1999
guy,17.56,2000
guy,18.73,2001
guy,18.14,2002
guy,20.61,2003
guy,26.67,2004
guy,34.56,2005
guy,34.26,2006
guy,43.02,2007
guy,9.195,2008
guy,13.37,2009
guy,14.6,2010
hti,59.11,1995
hti,61.89,1996
hti,60.59,1997
hti,66.09,1998
hti,69.98,1999
hti,72.28,2000
hti,73.85,2001
hti,77.26,2002
hti,79.38,2003
hti,77.38,2004
hti,78.71,2005
hti,76.22,2006
hti,76.13,2007
hti,74.74,2008
hti,78.22,2009
hti,78.55,2010
hnd,46.3,1995
hnd,50.41,1996
hnd,51.42,1997
hnd,48.08,1998
hnd,49.03,1999
hnd,33.19,2000
hnd,33.65,2001
hnd,35.67,2002
hnd,26.01,2003
hnd,34.96,2004
hnd,35.18,2005
hnd,39.03,2006
hnd,38.52,2007
hnd,38.79,2008
hnd,33.68,2009
hun,16.04,1995
hun,18.4,1996
hun,18.72,1997
hun,25.22,1998
hun,27.63,1999
hun,29.26,2000
hun,31.02,2001
hun,29.79,2002
hun,27.17,2003
hun,27.61,2004
hun,27.7,2005
hun,27.46,2006
hun,29.68,2007
hun,29.02,2008
hun,30.29,2009
hun,30.62,2010
isl,15.64,1995
isl,16.44,1996
isl,15.07,1997
isl,19.11,1998
isl,16.91,1999
isl,18.5,2000
isl,18.62,2001
isl,17.67,2002
isl,18.01,2003
isl,18.54,2004
isl,18.32,2005
isl,17.75,2006
isl,17.07,2007
isl,16.47,2008
isl,17.82,2009
isl,19.31,2010
ind,73.96,1995
ind,74.3,1996
ind,74.88,1997
ind,74.41,1998
ind,72.03,1999
ind,74.03,2000
ind,76.13,2001
ind,76.82,2002
ind,77.21,2003
ind,77.28,2004
ind,76.1,2005
ind,75.18,2006
ind,74.2,2007
ind,72.36,2008
ind,69.73,2009
ind,70.83,2010
idn,64.28,1995
idn,63.62,1996
idn,64.98,1997
idn,65.89,1998
idn,65.38,1999
idn,63.85,2000
idn,56.83,2001
idn,61.9,2002
idn,59.93,2003
idn,60.52,2004
idn,61.94,2005
idn,58.58,2006
idn,54.23,2007
idn,53.52,2008
idn,53.9,2009
idn,50.92,2010
irn,55.24,1995
irn,52.59,1996
irn,51.46,1997
irn,51.46,1998
irn,57.6,1999
irn,58.36,2000
irn,56.31,2001
irn,55.97,2002
irn,54.18,2003
irn,56.53,2004
irn,55.79,2005
irn,53.63,2006
irn,55.39,2007
irn,53.69,2008
irn,58.88,2009
irn,59.87,2010
irq,99.59,1996
irq,99.61,1997
