geo,gdpperemployee_us_inflation_adjusted,time
idn,9546,2005
irn,14170,1980
irn,13230,1981
irn,14740,1982
irn,16040,1983
irn,15670,1984
irn,15400,1985
irn,13480,1986
irn,12820,1987
irn,11760,1988
irn,11880,1989
irn,12800,1990
irn,14170,1991
irn,14500,1992
irn,14010,1993
irn,13650,1994
irn,13640,1995
irn,14150,1996
irn,13910,1997
irn,13600,1998
irn,13170,1999
irn,13170,2000
irn,13000,2001
irn,13300,2002
irn,13630,2003
irn,13700,2004
irn,13690,2005
irq,24930,1980
irq,19750,1981
irq,19000,1982
irq,16690,1983
irq,16150,1984
irq,15400,1985
irq,14820,1986
irq,14770,1987
irq,11290,1988
irq,9968,1989
irq,9430,1990
irq,3361,1991
irq,4156,1992
irq,3976,1993
irq,3631,1994
irq,3179,1995
irq,3447,1996
irq,3195,1997
irq,3550,1998
irq,3714,1999
irq,3975,2000
irq,4177,2001
irq,4309,2002
irq,3249,2003
irq,4771,2004
irq,4462,2005
irl,25190,1980
irl,26100,1981
irl,26810,1982
irl,26980,1983
irl,28680,1984
irl,29700,1985
irl,29750,1986
irl,30950,1987
irl,32560,1988
irl,34490,1989
irl,35840,1990
irl,36660,1991
irl,37580,1992
irl,38020,1993
irl,38940,1994
irl,40690,1995
irl,42480,1996
irl,45670,1997
irl,45640,1998
irl,47470,1999
irl,49450,2000
irl,50930,2001
irl,52990,2002
irl,54380,2003
irl,54940,2004
irl,55180,2005
irl,55990,2006
isr,31380,1980
isr,32200,1981
isr,32250,1982
isr,32650,1983
isr,32180,1984
isr,32680,1985
isr,33760,1986
isr,35580,1987
isr,34950,1988
isr,34120,1989
isr,35480,1990
isr,34680,1991
isr,35460,1992
isr,35060,1993
isr,35870,1994
isr,37690,1995
isr,38620,1996
isr,38690,1997
isr,39150,1998
isr,38840,1999
isr,40740,2000
isr,39480,2001
isr,38410,2002
isr,38020,2003
isr,39130,2004
isr,40340,2005
ita,34730,1980
ita,34920,1981
ita,35010,1982
ita,35320,1983
ita,36230,1984
ita,36900,1985
ita,37690,1986
ita,38770,1987
ita,39840,1988
ita,40710,1989
ita,40940,1990
ita,40800,1991
ita,41420,1992
ita,42190,1993
ita,43820,1994
ita,45140,1995
ita,45210,1996
ita,45920,1997
ita,46120,1998
ita,46510,1999
ita,47260,2000
ita,47150,2001
ita,46520,2002
ita,45850,2003
ita,46200,2004
ita,46090,2005
ita,46150,2006
jam,9960,1980
jam,9780,1981
jam,9895,1982
jam,9975,1983
jam,9427,1984
jam,8959,1985
jam,8675,1986
jam,9070,1987
jam,9049,1988
jam,9565,1989
jam,9919,1990
jam,9874,1991
jam,10060,1992
jam,10250,1993
jam,10160,1994
jam,9986,1995
jam,10040,1996
jam,9976,1997
jam,9876,1998
jam,10160,1999
jam,10240,2000
jam,10320,2001
jam,9588,2002
jam,9520,2003
jam,9590,2004
jam,9690,2005
jpn,28330,1980
jpn,29000,1981
jpn,29580,1982
jpn,29760,1983
jpn,30750,1984
jpn,31880,1985
jpn,32550,1986
jpn,33570,1987
jpn,35050,1988
jpn,36040,1989
jpn,37140,1990
jpn,37670,1991
jpn,37640,1992
jpn,37650,1993
jpn,38040,1994
jpn,38760,1995
jpn,39650,1996
jpn,39840,1997
jpn,39280,1998
jpn,39540,1999
jpn,40770,2000
jpn,41060,2001
jpn,41700,2002
jpn,42390,2003
jpn,43460,2004
jpn,44100,2005
jpn,44880,2006
jor,20230,1980
jor,20260,1981
jor,20580,1982
jor,19810,1983
jor,20370,1984
jor,20140,1985
jor,21230,1986
jor,21120,1987
jor,20250,1988
jor,17390,1989
jor,16420,1990
jor,14370,1991
jor,14660,1992
jor,13790,1993
jor,13370,1994
jor,13320,1995
jor,12990,1996
jor,12860,1997
jor,12680,1998
jor,12690,1999
jor,12790,2000
jor,12980,2001
jor,13260,2002
jor,13290,2003
jor,13860,2004
jor,14340,2005
kaz,19000,1989
kaz,18870,1990
kaz,14110,1991
kaz,13600,1992
kaz,13440,1993
kaz,12430,1994
kaz,11330,1995
kaz,11370,1996
kaz,11620,1997
kaz,11960,1998
kaz,12440,1999
kaz,13440,2000
kaz,14170,2001
kaz,15490,2002
kaz,16220,2003
kaz,17260,2004
kaz,18730,2005
ken,2533,1980
ken,2496,1981
ken,2546,1982
ken,2461,1983
ken,2408,1984
ken,2420,1985
ken,2504,1986
ken,2559,1987
ken,2620,1988
ken,2640,1989
ken,2654,1990
ken,2591,1991
ken,2459,1992
ken,2373,1993
ken,2342,1994
ken,2364,1995
ken,2383,1996
ken,2318,1997
ken,2329,1998
ken,2322,1999
ken,2275,2000
ken,2322,2001
ken,2270,2002
ken,2276,2003
ken,2314,2004
ken,2388,2005
kor,11460,1980
kor,11880,1981
kor,12460,1982
kor,13780,1983
kor,15050,1984
kor,15460,1985
kor,16650,1986
kor,17600,1987
kor,18990,1988
kor,19400,1989
kor,20630,1990
kor,21890,1991
kor,22740,1992
kor,23850,1993
kor,25080,1994
kor,26620,1995
kor,27890,1996
kor,28690,1997
kor,28430,1998
kor,30590,1999
kor,31830,2000
kor,32410,2001
kor,33740,2002
kor,34830,2003
kor,35800,2004
kor,36820,2005
kor,38160,2006
kwt,39160,1980
kwt,28670,1981
