geo,population_growth_annual_percent_with_projections,time
com,1.571,2023
com,1.456,2028
com,1.373,2033
com,1.248,2038
com,1.071,2043
com,0.886,2048
cog,2.111,1953
cog,2.386,1958
cog,2.649,1963
cog,2.871,1968
cog,3.031,1973
cog,3.143,1978
cog,3.077,1983
cog,2.896,1988
cog,2.573,1993
cog,1.741,1998
cog,2.366,2003
cog,1.908,2008
cog,2.339,2013
cog,2.127,2018
cog,1.614,2023
cog,1.456,2028
cog,1.32,2033
cog,1.193,2038
cog,1.065,2043
cog,0.929,2048
cok,1.647,1953
cok,2.179,1958
cok,0.764,1963
cok,2.417,1968
cok,-0.923,1973
cok,-2.805,1978
cok,0.139,1983
cok,-0.13,1988
cok,0.811,1993
cok,-1.048,1998
cok,1.659,2003
cok,0.871,2008
cok,0.536,2013
cok,0.512,2018
cok,0.413,2023
cok,0.501,2028
cok,0.584,2033
cok,0.46,2038
cok,0.393,2043
cok,0.334,2048
cri,3.122,1953
cri,3.333,1958
cri,3.423,1963
cri,2.812,1968
cri,2.377,1973
cri,2.7,1978
cri,2.778,1983
cri,2.633,1988
cri,2.445,1993
cri,2.444,1998
cri,1.927,2003
cri,1.39,2008
cri,1.321,2013
cri,1.149,2018
cri,1.008,2023
cri,0.853,2028
cri,0.705,2033
cri,0.566,2038
cri,0.434,2043
cri,0.312,2048
civ,2.978,1953
civ,3.394,1958
civ,4.081,1963
civ,4.28,1968
civ,4.705,1973
civ,4.807,1978
civ,4.37,1983
civ,3.709,1988
civ,3.445,1993
civ,2.857,1998
civ,2.152,2003
civ,2.282,2008
civ,2.309,2013
civ,2.147,2018
civ,1.966,2023
civ,1.807,2028
civ,1.656,2033
civ,1.508,2038
civ,1.361,2043
civ,1.215,2048
hrv,0.595,1953
hrv,0.393,1958
hrv,0.374,1963
hrv,0.23,1968
hrv,0.446,1973
hrv,0.525,1978
hrv,0.429,1983
hrv,0.204,1988
hrv,0.661,1993
hrv,-0.713,1998
hrv,-0.279,2003
hrv,-0.15,2008
hrv,-0.183,2013
hrv,-0.239,2018
hrv,-0.296,2023
hrv,-0.355,2028
hrv,-0.411,2033
hrv,-0.444,2038
hrv,-0.456,2043
hrv,-0.461,2048
cub,1.99,1953
cub,1.76,1958
cub,2.151,1963
cub,1.833,1968
cub,1.595,1973
cub,0.824,1978
cub,0.5,1983
cub,0.974,1988
cub,0.601,1993
cub,0.321,1998
cub,0.191,2003
cub,0.02,2008
cub,0.016,2013
cub,-0.036,2018
cub,-0.081,2023
cub,-0.232,2028
cub,-0.388,2033
cub,-0.539,2038
cub,-0.7,2043
cub,-0.872,2048
cyp,1.406,1953
cyp,1.56,1958
cyp,0.322,1963
cyp,1.092,1968
cyp,-0.188,1973
cyp,0.057,1978
cyp,1.155,1983
cyp,1.003,1988
cyp,1.442,1993
cyp,1.453,1998
cyp,1.218,2003
cyp,1.02,2008
cyp,0.995,2013
cyp,0.961,2018
cyp,0.878,2023
cyp,0.756,2028
cyp,0.629,2033
cyp,0.553,2038
cyp,0.524,2043
cyp,0.497,2048
cze,0.806,1953
cze,0.539,1958
cze,0.338,1963
cze,0.189,1968
cze,0.471,1973
cze,0.491,1978
cze,0.052,1983
cze,-0.014,1988
cze,0.031,1993
cze,-0.185,1998
cze,-0.058,2003
cze,0.419,2008
cze,0.191,2013
cze,0.11,2018
cze,0.008,2023
cze,-0.1,2028
cze,-0.149,2033
cze,-0.125,2038
cze,-0.08,2043
cze,-0.08,2048
prk,-0.217,1953
prk,2.559,1958
prk,2.37,1963
prk,2.901,1968
prk,2.411,1973
prk,1.402,1978
prk,1.649,1983
prk,1.465,1988
prk,1.505,1993
prk,1.024,1998
prk,0.578,2003
prk,0.389,2008
prk,0.338,2013
prk,0.328,2018
prk,0.261,2023
prk,0.138,2028
prk,-0.001,2033
prk,-0.116,2038
prk,-0.203,2043
prk,-0.273,2048
cod,2.184,1953
cod,2.482,1958
cod,2.581,1963
cod,2.949,1968
cod,2.885,1973
cod,2.959,1978
cod,2.895,1983
cod,3.289,1988
cod,3.871,1993
cod,2.471,1998
cod,3.007,2003
cod,2.763,2008
cod,2.645,2013
cod,2.48,2018
cod,2.26,2023
cod,2.028,2028
cod,1.81,2033
cod,1.619,2038
cod,1.439,2043
cod,1.257,2048
dnk,0.772,1953
dnk,0.63,1958
dnk,0.758,1963
dnk,0.705,1968
dnk,0.525,1973
dnk,0.248,1978
dnk,-0.037,1983
dnk,0.102,1988
dnk,0.339,1993
dnk,0.407,1998
dnk,0.304,2003
dnk,0.235,2008
dnk,0.151,2013
dnk,0.122,2018
dnk,0.121,2023
dnk,0.09,2028
dnk,0.02,2033
dnk,-0.051,2038
dnk,-0.095,2043
dnk,-0.104,2048
dji,2.478,1953
dji,3.801,1958
dji,6.367,1963
dji,6.511,1968
dji,6.523,1973
dji,8.356,1978
dji,3.361,1983
dji,6.628,1988
dji,2.148,1993
dji,3.132,1998
dji,1.966,2003
dji,1.762,2008
dji,1.614,2013
dji,1.505,2018
dji,1.566,2023
dji,1.41,2028
dji,1.241,2033
dji,1.092,2038
dji,0.972,2043
dji,0.873,2048
dma,2.368,1953
dma,0.57,1958
dma,0.65,1963
dma,1.128,1968
dma,0.979,1973
dma,1.451,1978
dma,-0.388,1983
dma,-0.804,1988
dma,-0.035,1993
dma,-0.185,1998
dma,-0.18,2003
dma,-0.281,2008
dma,0.065,2013
dma,0.113,2018
dma,0.321,2023
dma,0.132,2028
dma,-0.046,2033
dma,-0.152,2038
dma,-0.206,2043
dma,-0.274,2048
dom,3.099,1953
dom,3.342,1958
dom,3.302,1963
dom,3.03,1968
dom,2.698,1973
dom,2.385,1978
dom,2.262,1983
dom,2.107,1988
dom,1.937,1993
dom,1.667,1998
dom,1.533,2003
dom,1.402,2008
dom,1.217,2013
dom,1.046,2018
dom,0.893,2023
dom,0.749,2028
dom,0.607,2033
dom,0.461,2038
dom,0.317,2043
dom,0.178,2048
ecu,2.625,1953
ecu,2.786,1958
ecu,2.953,1963
ecu,2.978,1968
ecu,2.916,1973
ecu,2.841,1978
ecu,2.672,1983
ecu,2.429,1988
ecu,2.083,1993
ecu,1.525,1998
ecu,1.186,2003
ecu,1.062,2008
ecu,1.158,2013
ecu,1.04,2018
ecu,0.888,2023
ecu,0.739,2028
ecu,0.587,2033
ecu,0.439,2038
ecu,0.299,2043
ecu,0.188,2048
egy,2.499,1953
egy,2.626,1958
egy,2.546,1963
egy,2.387,1968
egy,2.143,1973
egy,2.303,1978
egy,2.621,1983
egy,2.634,1988
egy,1.999,1993
egy,1.886,1998
egy,1.897,2003
egy,1.813,2008
egy,1.659,2013
egy,1.442,2018
egy,1.244,2023
egy,1.1,2028
egy,0.984,2033
egy,0.859,2038
egy,0.709,2043
egy,0.552,2048
slv,2.014,1953
slv,2.622,1958
slv,3.133,1963
slv,2.854,1968
slv,2.478,1973
slv,1.922,1978
slv,1.393,1983
slv,1.282,1988
slv,1.443,1993
slv,0.744,1998
slv,0.377,2003
slv,0.443,2008
slv,0.6,2013
slv,0.723,2018
slv,0.822,2023
slv,0.8,2028
slv,0.641,2033
slv,0.509,2038
slv,0.405,2043
slv,0.32,2048
gnq,1.048,1953
gnq,1.178,1958
gnq,1.325,1963
gnq,1.531,1968
gnq,-4.0,1973
gnq,-1.547,1978
gnq,7.096,1983
gnq,3.764,1988
gnq,3.509,1993
gnq,3.142,1998
gnq,2.815,2003
gnq,2.602,2008
gnq,2.367,2013
gnq,2.291,2018
gnq,2.082,2023
gnq,1.877,2028
gnq,1.704,2033
gnq,1.565,2038
gnq,1.456,2043
gnq,1.342,2048
eri,2.041,1953
eri,2.38,1958
eri,2.576,1963
eri,2.631,1968
eri,2.714,1973
eri,3.091,1978
eri,2.564,1983
eri,2.358,1988
eri,0.303,1993
eri,2.633,1998
eri,4.027,2003
eri,3.104,2008
eri,2.799,2013
eri,2.235,2018
eri,1.941,2023
eri,1.762,2028
eri,1.654,2033
eri,1.545,2038
eri,1.384,2043
eri,1.182,2048
est,1.044,1953
est,0.943,1958
est,1.197,1963
est,1.115,1968
est,0.958,1973
est,0.563,1978
est,0.697,1983
est,0.547,1988
est,-1.705,1993
est,-0.983,1998
est,-0.346,2003
est,-0.11,2008
est,-0.034,2013
est,-0.071,2018
est,-0.176,2023
est,-0.301,2028
est,-0.35,2033
est,-0.301,2038
est,-0.22,2043
est,-0.202,2048
eth,1.926,1953
eth,2.105,1958
eth,2.437,1963
