geo,infectious_tb_new_cases_per_100000_reported,time
lso,202,2006
lso,39,2007
lbr,75,1993
lbr,54,1995
lbr,29,1996
lbr,44,1998
lbr,33,2000
lbr,29,2001
lbr,61,2002
lbr,40,2003
lbr,74,2004
lbr,63,2005
lbr,81,2006
lby,10,1996
lby,15,1999
lby,11,2000
lby,13,2002
lby,13,2003
lby,15,2004
lby,15,2005
lby,12,2006
lby,13,2007
ltu,19,1993
ltu,27,1995
ltu,31,1996
ltu,34,1997
ltu,22,1998
ltu,22,1999
ltu,22,2000
ltu,27,2001
ltu,24,2002
ltu,26,2003
ltu,25,2004
ltu,28,2005
ltu,30,2006
ltu,27,2007
lux,7,1996
lux,7,1997
lux,6,1998
lux,5,2000
lux,2,2001
lux,4,2002
lux,7,2003
lux,4,2004
lux,3,2005
lux,5,2006
lux,0,2007
mdg,52,1993
mdg,54,1994
mdg,58,1995
mdg,59,1996
mdg,63,1998
mdg,67,2001
mdg,66,2002
mdg,73,2003
mdg,75,2004
mdg,70,2005
mdg,81,2006
mdg,78,2007
mwi,46,1990
mwi,42,1991
mwi,47,1992
mwi,58,1993
mwi,60,1994
mwi,62,1995
mwi,65,1996
mwi,72,1997
mwi,80,1998
mwi,72,1999
mwi,71,2000
mwi,70,2001
mwi,63,2002
mwi,61,2003
mwi,66,2004
mwi,64,2005
mwi,60,2006
mwi,55,2007
mys,36,1993
mys,34,1994
mys,32,1995
mys,34,1996
mys,35,1997
mys,35,1998
mys,36,1999
mys,35,2000
mys,35,2001
mys,33,2002
mys,32,2003
mys,31,2004
mys,33,2005
mys,36,2006
mys,36,2007
mdv,53,1993
mdv,52,1994
mdv,46,1995
mdv,42,1996
mdv,37,1997
mdv,33,1998
mdv,33,1999
mdv,24,2000
mdv,21,2001
mdv,21,2002
mdv,24,2003
mdv,23,2004
mdv,22,2005
mdv,18,2006
mdv,19,2007
mli,20,1994
mli,21,1995
mli,24,1996
mli,35,1997
mli,27,1998
mli,28,1999
mli,25,2000
mli,26,2002
mli,28,2003
mli,27,2004
mli,30,2005
mli,32,2006
mli,32,2007
mlt,4,1993
mlt,2,1994
mlt,1,1995
mlt,1,1996
mlt,1,1997
mlt,2,1998
mlt,2,1999
mlt,1,2000
mlt,1,2001
mlt,1,2002
mlt,1,2003
mlt,0,2004
mlt,1,2005
mlt,1,2006
mlt,2,2007
mrt,93,1995
mrt,107,1997
mrt,48,1998
mrt,82,1999
mrt,62,2000
mrt,58,2004
mrt,39,2005
mrt,49,2006
mrt,55,2007
mus,10,1995
mus,9,1996
mus,10,1997
mus,9,1998
mus,10,1999
mus,10,2000
mus,7,2001
mus,7,2002
mus,8,2003
mus,10,2004
mus,9,2005
mus,7,2006
mus,7,2007
mex,9,1993
mex,11,1994
mex,10,1995
mex,9,1996
mex,16,1997
mex,12,1998
mex,12,1999
mex,12,2000
mex,15,2001
mex,11,2002
mex,13,2003
mex,11,2004
mex,12,2005
mex,11,2006
mex,11,2007
fsm,8,1995
fsm,13,1996
fsm,8,1997
fsm,13,1998
fsm,14,2000
fsm,7,2001
fsm,20,2002
fsm,24,2003
fsm,32,2004
fsm,29,2005
fsm,37,2006
fsm,42,2007
mco,0,1996
mco,0,1997
mco,0,1998
mco,6,1999
mco,0,2000
mco,0,2001
mco,0,2002
mng,0,1990
mng,0,1992
mng,0,1993
mng,6,1994
mng,19,1995
mng,32,1996
mng,48,1997
mng,56,1998
mng,62,1999
mng,56,2000
mng,66,2001
mng,67,2002
mng,61,2003
mng,71,2004
mng,72,2005
mng,82,2006
mng,71,2007
msr,0,1994
msr,15,1998
msr,35,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,20,2003
msr,0,2004
msr,18,2005
msr,0,2006
msr,17,2007
mar,53,1995
mar,52,1996
mar,51,1997
mar,48,1998
mar,47,1999
mar,45,2000
mar,44,2001
mar,44,2002
mar,43,2003
mar,41,2004
mar,42,2005
mar,40,2006
mar,38,2007
moz,64,1993
moz,63,1994
moz,66,1995
moz,64,1996
moz,66,1997
moz,70,1998
moz,72,1999
moz,73,2000
moz,75,2001
moz,80,2002
moz,82,2003
moz,85,2004
moz,87,2005
moz,87,2006
moz,85,2007
mmr,2,1994
mmr,20,1995
mmr,22,1996
mmr,22,1997
mmr,22,1998
mmr,25,1999
mmr,38,2000
mmr,46,2001
mmr,52,2002
mmr,58,2003
mmr,66,2004
mmr,76,2005
mmr,83,2006
mmr,87,2007
nam,42,1995
nam,167,1996
nam,184,1997
nam,200,1998
nam,204,1999
nam,213,2000
nam,237,2001
nam,241,2002
nam,279,2003
nam,259,2004
nam,259,2005
nam,262,2006
nam,245,2007
nru,20,1994
nru,20,1999
nru,40,2000
nru,20,2001
nru,20,2002
nru,10,2003
nru,0,2005
nru,20,2006
nru,30,2007
npl,32,1993
npl,49,1994
npl,40,1995
npl,47,1996
npl,50,1997
npl,48,1998
npl,56,1999
npl,56,2000
npl,55,2001
npl,54,2002
npl,55,2003
npl,55,2004
npl,54,2005
npl,51,2006
npl,51,2007
nld,7,1993
nld,4,1995
nld,2,1996
nld,2,1997
nld,2,1998
nld,2,1999
nld,2,2000
nld,2,2001
nld,2,2002
nld,2,2003
nld,2,2004
nld,1,2005
nld,1,2006
nld,1,2007
ant,2,1996
ant,3,1997
ant,3,1998
ant,1,1999
ant,1,2000
ant,4,2001
ant,5,2002
ant,2,2003
ant,4,2004
ant,3,2006
ncl,9,1993
ncl,15,1994
ncl,11,1995
ncl,13,1996
ncl,12,1997
ncl,13,1998
ncl,10,1999
ncl,9,2000
ncl,9,2001
ncl,9,2002
ncl,5,2003
ncl,7,2004
ncl,7,2005
ncl,4,2006
ncl,5,2007
nzl,3,1993
nzl,2,1994
nzl,2,1995
nzl,2,1996
nzl,2,1997
nzl,3,1998
nzl,2,1999
nzl,2,2000
nzl,2,2001
nzl,2,2002
nzl,3,2003
nzl,3,2004
nzl,2,2005
nzl,2,2006
nzl,2,2007
nic,38,1993
nic,35,1994
nic,34,1995
nic,36,1996
nic,34,1997
nic,33,1998
nic,31,1999
nic,29,2000
nic,29,2001
nic,25,2002
nic,26,2003
nic,25,2004
nic,23,2005
nic,23,2006
nic,26,2007
ner,5,1993
ner,21,1994
ner,16,1995
ner,35,1997
ner,31,1998
ner,25,1999
ner,27,2000
ner,30,2001
ner,29,2002
ner,36,2003
ner,34,2004
ner,38,2005
ner,38,2006
ner,41,2007
nga,2,1993
nga,9,1995
nga,10,1996
nga,10,1997
nga,11,1998
nga,13,1999
nga,14,2000
nga,18,2001
nga,17,2002
nga,21,2003
nga,24,2004
nga,25,2005
nga,28,2006
nga,30,2007
niu,0,1993
niu,0,1994
niu,0,1995
niu,45,1996
niu,0,1997
niu,0,1998
niu,51,1999
niu,0,2000
niu,0,2001
niu,57,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,24,1995
mnp,43,1996
mnp,34,1997
mnp,40,1998
mnp,22,1999
mnp,39,2000
mnp,27,2001
mnp,29,2002
mnp,21,2003
mnp,18,2004
mnp,19,2005
mnp,18,2006
mnp,17,2007
nor,2,1994
nor,1,1995
nor,2,1996
nor,2,1997
nor,1,1998
nor,0,1999
nor,1,2000
nor,1,2001
nor,1,2002
nor,1,2003
nor,1,2004
nor,1,2005
nor,1,2006
nor,1,2007
omn,6,1993
omn,6,1994
omn,6,1995
omn,7,1996
omn,7,1997
omn,7,1998
omn,5,1999
omn,7,2000
omn,6,2001
omn,6,2002
omn,4,2003
omn,6,2004
omn,5,2005
omn,7,2006
omn,7,2007
pak,9,1993
pak,2,1995
pak,1,1996
pak,11,1998
pak,4,1999
pak,2,2000
pak,7,2001
pak,11,2002
pak,14,2003
pak,20,2004
pak,31,2005
pak,41,2006
pak,54,2007
plw,50,1993
plw,66,1994
plw,53,1995
plw,23,1996
plw,39,1997
plw,106,1999
plw,46,2002
plw,25,2003
plw,25,2004
plw,15,2005
plw,30,2006
plw,25,2007
pan,41,1993
pan,29,1994
pan,40,1995
pan,33,1996
pan,21,1997
pan,49,1998
pan,15,1999
pan,16,2000
pan,22,2001
pan,25,2002
pan,25,2003
pan,28,2004
pan,27,2005
pan,26,2006
pan,25,2007
png,35,1995
png,9,1996
png,24,1997
png,41,1998
png,41,1999
png,36,2000
png,24,2001
png,24,2002
png,40,2003
png,32,2004
png,30,2005
png,31,2006
png,33,2007
pry,23,1990
pry,22,1991
pry,19,1992
pry,22,1993
pry,19,1994
pry,16,1995
pry,18,1996
pry,17,1997
pry,17,1998
pry,20,1999
pry,17,2000
pry,17,2001
pry,18,2002
pry,21,2003
pry,21,2004
pry,21,2005
pry,24,2006
pry,21,2007
per,155,1993
per,145,1994
per,135,1995
per,111,1996
per,112,1997
per,111,1998
per,97,1999
per,88,2000
per,83,2001
per,78,2002
per,69,2003
per,68,2004
per,68,2005
per,70,2006
per,64,2007
phl,141,1993
phl,130,1994
phl,138,1995
phl,124,1996
phl,112,1997
phl,95,1998
phl,98,1999
phl,88,2000
phl,76,2001
phl,82,2002
phl,90,2003
phl,94,2004
phl,97,2005
phl,99,2006
phl,98,2007
pol,20,1993
pol,10,1994
pol,18,1995
pol,18,1996
pol,9,1997
pol,9,1998
pol,8,1999
pol,8,2000
pol,8,2001
pol,8,2002
pol,8,2003
pol,7,2004
pol,7,2005
pol,7,2006
pol,7,2007
prt,21,1994
prt,20,1995
prt,19,1996
prt,16,1997
prt,20,1998
prt,18,1999
prt,18,2000
prt,20,2001
prt,19,2002
prt,17,2003
prt,14,2004
prt,12,2005
prt,12,2006
prt,11,2007
pri,3,1993
pri,4,1994
pri,3,1995
pri,3,1996
pri,3,1997
pri,3,1998
pri,3,1999
pri,2,2000
pri,2,2001
pri,2,2002
pri,2,2003
pri,2,2004
pri,2,2005
pri,2,2006
pri,1,2007
qat,11,1995
qat,9,1996
qat,7,1997
qat,12,1998
qat,10,1999
qat,9,2000
qat,12,2001
qat,9,2002
qat,13,2003
qat,10,2004
qat,12,2005
qat,14,2006
qat,14,2007
kor,38,1993
kor,30,1994
kor,26,1995
kor,25,1996
kor,22,1997
kor,22,1998
kor,21,1999
kor,18,2000
kor,25,2001
kor,24,2002
kor,23,2003
kor,24,2004
kor,24,2005
kor,24,2006
kor,23,2007
mda,14,1993
mda,16,1994
mda,15,1995
mda,5,1996
mda,9,1997
