children_out_of_school_primary_female,geo,time
30110,hnd,1983
26180,hnd,1984
24370,hnd,1986
44880,hnd,1991
42260,hnd,1993
54540,hnd,2000
17050,hnd,2004
37080,hnd,2005
15510,hnd,2006
32660,hnd,2007
15810,hnd,2008
13600,hnd,2009
16310,hnd,2010
10580,hnd,2011
42710,hkg,1971
39290,hkg,1972
39880,hkg,1973
37260,hkg,1974
34610,hkg,1975
32950,hkg,1976
29780,hkg,1977
29090,hkg,1978
25460,hkg,1979
13950,hkg,1980
13540,hkg,1981
13620,hkg,1982
11500,hkg,1983
9289,hkg,1984
7904,hkg,1985
17180,hkg,1995
17580,hkg,1996
18050,hkg,2001
16680,hkg,2002
13490,hkg,2003
9965,hkg,2004
9945,hkg,2005
9501,hkg,2006
8284,hkg,2007
7122,hkg,2008
4384,hkg,2009
252,hkg,2011
57240,hun,1996
33820,hun,1997
8226,hun,1998
7235,hun,1999
5595,hun,2000
4614,hun,2001
4232,hun,2002
7238,hun,2003
8312,hun,2004
7575,hun,2005
6737,hun,2006
7657,hun,2007
5349,hun,2008
3479,hun,2009
3101,hun,2010
388,isl,1994
225,isl,1996
199,isl,1997
193,isl,1998
253,isl,2000
135,isl,2001
239,isl,2003
488,isl,2004
500,isl,2005
398,isl,2006
261,isl,2007
148,isl,2008
63,isl,2009
115,isl,2010
17960000,ind,1971
13950000,ind,2000
13700000,ind,2001
13600000,ind,2002
8111000,ind,2003
3848000,ind,2004
4523000,ind,2005
4342000,ind,2006
3448000,ind,2007
1407000,ind,2008
3412000,idn,1971
3392000,idn,1972
3818000,idn,1974
3422000,idn,1975
3172000,idn,1976
2345000,idn,1978
1939000,idn,1981
1097000,idn,1982
683900,idn,1984
683800,idn,1987
693400,idn,1988
758000,idn,1989
962700,idn,1990
1076000,idn,1991
1201000,idn,1992
1329000,idn,1993
1263000,idn,1994
1283000,idn,1995
1319000,idn,1996
1307000,idn,1997
1004000,idn,2000
713100,idn,2001
664400,idn,2002
646600,idn,2003
590600,idn,2004
834800,idn,2005
686900,irn,1984
680600,irn,1985
656400,irn,1986
665900,irn,1987
627100,irn,1988
601500,irn,1989
