debt_to_foreigners_by_public_and_private_percent_of_gni,geo,time
79.33,ner,1996
87.44,ner,1997
82.14,ner,1998
85.24,ner,1999
95.88,ner,2000
83.88,ner,2001
85.99,ner,2002
78.2,ner,2003
66.33,ner,2004
59.4,ner,2005
22.74,ner,2006
26.76,ner,2007
18.73,ner,2008
21.19,ner,2009
20.51,ner,2010
6.926,nga,1970
11.28,nga,1971
9.552,nga,1972
12.62,nga,1973
7.842,nga,1974
6.217,nga,1975
3.771,nga,1976
8.822,nga,1977
13.99,nga,1978
13.3,nga,1979
14.61,nga,1980
19.57,nga,1981
24.59,nga,1982
51.24,nga,1983
64.86,nga,1984
68.08,nga,1985
118.2,nga,1986
137.9,nga,1987
132.6,nga,1988
138.4,nga,1989
130.7,nga,1990
134.9,nga,1991
97.51,nga,1992
161.7,nga,1993
155.3,nga,1994
131.7,nga,1995
94.97,nga,1996
83.71,nga,1997
103.3,nga,1998
87.47,nga,1999
77.89,nga,2000
70.38,nga,2001
57.81,nga,2002
57.7,nga,2003
48.35,nga,2004
22.31,nga,2005
5.445,nga,2006
5.537,nga,2007
5.821,nga,2008
4.868,nga,2009
4.459,nga,2010
33.59,pak,1970
35.2,pak,1971
43.31,pak,1972
69.53,pak,1973
55.88,pak,1974
49.68,pak,1975
49.47,pak,1976
47.21,pak,1977
42.74,pak,1978
41.23,pak,1979
38.24,pak,1980
34.37,pak,1981
34.79,pak,1982
37.28,pak,1983
35.47,pak,1984
39.63,pak,1985
45.29,pak,1986
47.06,pak,1987
42.27,pak,1988
43.88,pak,1989
49.33,pak,1990
50.07,pak,1991
50.57,pak,1992
47.16,pak,1993
52.52,pak,1994
49.38,pak,1995
47.17,pak,1996
48.46,pak,1997
52.27,pak,1998
54.21,pak,1999
44.82,pak,2000
44.37,pak,2001
46.18,pak,2002
41.94,pak,2003
35.83,pak,2004
30.01,pak,2005
28.24,pak,2006
28.49,pak,2007
29.33,pak,2008
32.81,pak,2009
31.26,pak,2010
22.14,pan,1970
24.72,pan,1971
31.67,pan,1972
36.76,pan,1973
40.52,pan,1974
48.83,pan,1975
67.57,pan,1976
79.99,pan,1977
91.97,pan,1978
91.63,pan,1979
87.31,pan,1980
88.81,pan,1981
88.67,pan,1982
91.8,pan,1983
91.38,pan,1984
91.08,pan,1985
93.87,pan,1986
97.12,pan,1987
126.8,pan,1988
134.6,pan,1989
128.5,pan,1990
121.3,pan,1991
100.1,pan,1992
96.34,pan,1993
91.91,pan,1994
80.86,pan,1995
67.28,pan,1996
62.17,pan,1997
61.48,pan,1998
63.44,pan,1999
59.67,pan,2000
69.34,pan,2001
65.85,pan,2002
67.61,pan,2003
63.84,pan,2004
60.34,pan,2005
59.7,pan,2006
50.46,pan,2007
44.67,pan,2008
49.81,pan,2009
45.8,pan,2010
33.36,png,1970
59.65,png,1971
60.71,png,1972
43.19,png,1973
37.17,png,1974
39.4,png,1975
35.65,png,1976
42.05,png,1977
30.37,png,1978
27.17,png,1979
28.92,png,1980
49.13,png,1981
72.36,png,1982
77.18,png,1983
82.11,png,1984
90.47,png,1985
77.09,png,1986
75.86,png,1987
64.0,png,1988
67.87,png,1989
83.77,png,1990
75.72,png,1991
95.22,png,1992
71.98,png,1993
54.78,png,1994
57.34,png,1995
53.41,png,1996
56.14,png,1997
76.97,png,1998
82.85,png,1999
69.41,png,2000
71.94,png,2001
66.97,png,2002
59.64,png,2003
50.14,png,2004
41.5,png,2005
37.03,png,2006
22.85,png,2007
17.87,png,2008
20.02,png,2009
62.86,png,2010
19.21,pry,1970
18.84,pry,1971
18.14,pry,1972
15.34,pry,1973
14.05,pry,1974
14.96,pry,1975
16.5,pry,1976
21.61,pry,1977
24.13,pry,1978
23.63,pry,1979
20.57,pry,1980
19.55,pry,1981
23.62,pry,1982
24.84,pry,1983
33.44,pry,1984
57.87,pry,1985
59.46,pry,1986
69.36,pry,1987
59.56,pry,1988
53.46,pry,1989
39.06,pry,1990
33.55,pry,1991
25.47,pry,1992
23.01,pry,1993
29.8,pry,1994
31.45,pry,1995
28.95,pry,1996
27.61,pry,1997
35.23,pry,1998
46.25,pry,1999
43.53,pry,2000
43.34,pry,2001
58.88,pry,2002
58.16,pry,2003
52.94,pry,2004
43.52,pry,2005
37.25,pry,2006
29.59,pry,2007
24.97,pry,2008
28.55,pry,2009
25.33,pry,2010
45.11,per,1970
41.49,per,1971
39.19,per,1972
36.91,per,1973
39.32,per,1974
37.77,per,1975
49.96,per,1976
70.83,per,1977
83.76,per,1978
63.48,per,1979
47.65,per,1980
35.85,per,1981
45.03,per,1982
63.04,per,1983
65.63,per,1984
72.98,per,1985
86.85,per,1986
76.51,per,1987
165.8,per,1988
105.1,per,1989
78.61,per,1990
64.08,per,1991
58.21,per,1992
71.08,per,1993
61.73,per,1994
60.31,per,1995
53.7,per,1996
51.66,per,1997
54.87,per,1998
57.84,per,1999
55.19,per,2000
52.22,per,2001
51.04,per,2002
50.76,per,2003
47.89,per,2004
39.59,per,2005
34.47,per,2006
32.44,per,2007
28.81,per,2008
29.69,per,2009
24.62,per,2010
33.49,phl,1970
33.11,phl,1971
33.85,phl,1972
27.7,phl,1973
24.08,phl,1974
28.24,phl,1975
35.85,phl,1976
41.95,phl,1977
47.73,phl,1978
48.69,phl,1979
54.41,phl,1980
59.19,phl,1981
67.63,phl,1982
74.83,phl,1983
81.37,phl,1984
90.55,phl,1985
98.8,phl,1986
93.15,phl,1987
78.89,phl,1988
69.73,phl,1989
70.19,phl,1990
71.87,phl,1991
62.02,phl,1992
65.37,phl,1993
61.06,phl,1994
51.51,phl,1995
51.09,phl,1996
58.27,phl,1997
68.36,phl,1998
71.18,phl,1999
71.98,phl,2000
76.44,phl,2001
74.02,phl,2002
74.85,phl,2003
66.78,phl,2004
60.0,phl,2005
49.95,phl,2006
44.48,phl,2007
37.42,phl,2008
37.54,phl,2009
36.19,phl,2010
2.617,rou,1989
2.987,rou,1990
7.482,rou,1991
13.09,rou,1992
16.33,rou,1993
18.71,rou,1994
19.39,rou,1995
24.14,rou,1996
27.56,rou,1997
24.25,rou,1998
25.6,rou,1999
30.35,rou,2000
31.69,rou,2001
36.8,rou,2002
38.48,rou,2003
40.01,rou,2004
39.65,rou,2005
45.01,rou,2006
49.77,rou,2007
51.43,rou,2008
71.92,rou,2009
76.4,rou,2010
17.16,rus,1992
26.0,rus,1993
30.97,rus,1994
30.96,rus,1995
32.71,rus,1996
32.2,rus,1997
68.6,rus,1998
92.86,rus,1999
63.25,rus,2000
50.43,rus,2001
43.53,rus,2002
42.11,rus,2003
34.03,rus,2004
32.2,rus,2005
26.11,rus,2006
28.47,rus,2007
24.99,rus,2008
31.6,rus,2009
26.88,rus,2010
2.218,rwa,1970
0.8965,rwa,1971
1.373,rwa,1972
2.751,rwa,1973
4.022,rwa,1974
4.26,rwa,1975
7.195,rwa,1976
11.4,rwa,1977
14.6,rwa,1978
15.1,rwa,1979
16.3,rwa,1980
14.79,rwa,1981
15.36,rwa,1982
15.75,rwa,1983
18.12,rwa,1984
21.28,rwa,1985
23.21,rwa,1986
27.98,rwa,1987
27.22,rwa,1988
25.79,rwa,1989
27.53,rwa,1990
42.47,rwa,1991
42.19,rwa,1992
46.39,rwa,1993
127.0,rwa,1994
79.22,rwa,1995
76.27,rwa,1996
60.56,rwa,1997
61.85,rwa,1998
67.28,rwa,1999
73.87,rwa,2000
77.53,rwa,2001
88.32,rwa,2002
84.49,rwa,2003
80.52,rwa,2004
59.08,rwa,2005
13.4,rwa,2006
15.7,rwa,2007
14.17,rwa,2008
14.33,rwa,2009
14.23,rwa,2010
15.1,kna,1984
16.72,kna,1985
18.21,kna,1986
19.79,kna,1987
21.68,kna,1988
27.35,kna,1989
28.62,kna,1990
30.89,kna,1991
28.18,kna,1992
27.15,kna,1993
26.95,kna,1994
25.21,kna,1995
27.96,kna,1996
43.89,kna,1997
48.46,kna,1998
49.24,kna,1999
52.67,kna,2000
70.67,kna,2001
85.37,kna,2002
99.02,kna,2003
87.57,kna,2004
72.61,kna,2005
63.59,kna,2006
56.48,kna,2007
43.92,kna,2008
46.08,kna,2009
39.95,kna,2010
10.35,lca,1981
12.02,lca,1982
12.29,lca,1983
10.45,lca,1984
12.42,lca,1985
14.39,lca,1986
19.69,lca,1987
21.88,lca,1988
21.86,lca,1989
21.44,lca,1990
20.65,lca,1991
21.89,lca,1992
22.06,lca,1993
23.47,lca,1994
24.61,lca,1995
26.69,lca,1996
26.91,lca,1997
29.8,lca,1998
28.33,lca,1999
33.38,lca,2000
39.31,lca,2001
42.72,lca,2002
47.88,lca,2003
48.16,lca,2004
52.32,lca,2005
41.5,lca,2006
52.72,lca,2007
91.19,lca,2008
42.31,lca,2009
54.05,lca,2010
7.886,vct,1970
3.685,vct,1971
2.809,vct,1972
9.239,vct,1973
9.692,vct,1974
10.38,vct,1975
11.4,vct,1976
12.98,vct,1977
12.21,vct,1978
13.42,vct,1979
17.89,vct,1980
25.74,vct,1981
25.65,vct,1982
27.9,vct,1983
24.21,vct,1984
24.47,vct,1985
26.34,vct,1986
30.14,vct,1987
30.87,vct,1988
30.91,vct,1989
33.3,vct,1990
34.12,vct,1991
33.7,vct,1992
44.14,vct,1993
49.35,vct,1994
46.42,vct,1995
45.18,vct,1996
41.6,vct,1997
44.76,vct,1998
62.17,vct,1999
61.42,vct,2000
58.44,vct,2001
49.69,vct,2002
54.73,vct,2003
58.17,vct,2004
60.2,vct,2005
51.29,vct,2006
37.76,vct,2007
36.49,vct,2008
37.3,vct,2009
48.41,vct,2010
53.84,wsm,1982
59.72,wsm,1983
70.98,wsm,1984
80.54,wsm,1985
75.05,wsm,1986
70.96,wsm,1987
48.14,wsm,1988
48.0,wsm,1989
55.87,wsm,1990
70.01,wsm,1991
71.43,wsm,1992
83.49,wsm,1993
81.98,wsm,1994
82.64,wsm,1995
68.5,wsm,1996
54.59,wsm,1997
59.68,wsm,1998
63.34,wsm,1999
56.05,wsm,2000
54.77,wsm,2001
57.02,wsm,2002
57.57,wsm,2003
47.51,wsm,2004
43.14,wsm,2005
37.83,wsm,2006
38.73,wsm,2007
36.62,wsm,2008
48.98,wsm,2009
56.64,wsm,2010
299.3,stp,2005
277.1,stp,2006
110.4,stp,2007
74.8,stp,2008
77.5,stp,2009
85.25,stp,2010
14.45,sen,1970
14.74,sen,1971
12.87,sen,1972
13.93,sen,1973
16.48,sen,1974
16.16,sen,1975
18.57,sen,1976
27.71,sen,1977
35.58,sen,1978
35.67,sen,1979
43.29,sen,1980
54.47,sen,1981
62.12,sen,1982
77.6,sen,1983
85.2,sen,1984
90.27,sen,1985
80.27,sen,1986
83.36,sen,1987
81.67,sen,1988
69.63,sen,1989
68.01,sen,1990
66.2,sen,1991
62.74,sen,1992
69.33,sen,1993
99.0,sen,1994
82.89,sen,1995
75.83,sen,1996
82.73,sen,1997
81.9,sen,1998
78.44,sen,1999
78.71,sen,2000
76.47,sen,2001
78.16,sen,2002
64.52,sen,2003
49.14,sen,2004
44.82,sen,2005
20.5,sen,2006
22.72,sen,2007
21.42,sen,2008
27.45,sen,2009
28.5,sen,2010
49.6,srb,1997
67.21,srb,1998
61.79,srb,1999
189.1,srb,2000
109.9,srb,2001
75.91,srb,2002
72.55,srb,2003
61.61,srb,2004
64.54,srb,2005
68.74,srb,2006
67.75,srb,2007
64.01,srb,2008
80.83,srb,2009
84.27,srb,2010
59.24,syc,1980
23.95,syc,1981
33.58,syc,1982
36.94,syc,1983
46.64,syc,1984
57.88,syc,1985
72.7,syc,1986
73.83,syc,1987
60.99,syc,1988
54.77,syc,1989
51.98,syc,1990
54.29,syc,1991
44.62,syc,1992
39.16,syc,1993
41.36,syc,1994
40.53,syc,1995
37.98,syc,1996
34.07,syc,1997
41.14,syc,1998
42.07,syc,1999
52.07,syc,2000
52.92,syc,2001
62.03,syc,2002
65.79,syc,2003
66.73,syc,2004
79.54,syc,2005
118.7,syc,2006
147.7,syc,2007
179.5,syc,2008
245.5,syc,2009
176.7,syc,2010
14.43,sle,1970
27.05,sle,1971
26.1,sle,1972
25.1,sle,1973
30.37,sle,1974
30.76,sle,1975
40.22,sle,1976
43.36,sle,1977
37.42,sle,1978
37.91,sle,1979
43.93,sle,1980
54.52,sle,1981
49.43,sle,1982
66.61,sle,1983
57.98,sle,1984
85.44,sle,1985
192.7,sle,1986
154.0,sle,1987
102.6,sle,1988
121.8,sle,1989
202.9,sle,1990
173.8,sle,1991
226.4,sle,1992
210.8,sle,1993
191.5,sle,1994
149.0,sle,1995
133.3,sle,1996
140.5,sle,1997
200.9,sle,1998
195.4,sle,1999
193.1,sle,2000
154.5,sle,2001
150.0,sle,2002
158.7,sle,2003
157.4,sle,2004
148.9,sle,2005
108.0,sle,2006
32.14,sle,2007
31.69,sle,2008
37.76,sle,2009
40.84,sle,2010
16.83,slb,1978
14.14,slb,1979
17.99,slb,1980
19.52,slb,1981
21.81,slb,1982
28.77,slb,1983
26.22,slb,1984
42.68,slb,1985
56.33,slb,1986
59.92,slb,1987
48.88,slb,1988
43.9,slb,1989
58.12,slb,1990
56.18,slb,1991
36.45,slb,1992
58.97,slb,1993
53.45,slb,1994
49.49,slb,1995
43.56,slb,1996
24.98,slb,1997
33.32,slb,1998
34.63,slb,1999
35.67,slb,2000
40.5,slb,2001
52.93,slb,2002
53.63,slb,2003
46.74,slb,2004
40.06,slb,2005
37.65,slb,2006
32.25,slb,2007
30.08,slb,2008
32.96,slb,2009
38.85,slb,2010
24.36,som,1970
25.53,som,1971
24.23,som,1972
24.41,som,1973
37.22,som,1974
32.2,som,1975
35.62,som,1976
79.22,som,1977
92.0,som,1978
97.34,som,1979
109.5,som,1980
152.0,som,1981
160.3,som,1982
193.8,som,1983
201.3,som,1984
198.1,som,1985
206.1,som,1986
209.8,som,1987
213.4,som,1988
212.8,som,1989
283.9,som,1990
16.25,zaf,1994
17.11,zaf,1995
18.53,zaf,1996
17.36,zaf,1997
18.88,zaf,1998
18.39,zaf,1999
19.17,zaf,2000
20.96,zaf,2001
23.17,zaf,2002
16.76,zaf,2003
12.62,zaf,2004
12.83,zaf,2005
13.88,zaf,2006
15.78,zaf,2007
15.98,zaf,2008
15.36,zaf,2009
12.67,zaf,2010
20.22,lka,1970
23.99,lka,1971
23.47,lka,1972
23.99,lka,1973
24.19,lka,1974
24.2,lka,1975
30.42,lka,1976
32.13,lka,1977
54.88,lka,1978
46.27,lka,1979
45.27,lka,1980
50.88,lka,1981
54.49,lka,1982
56.1,lka,1983
50.98,lka,1984
59.46,lka,1985
64.01,lka,1986
71.41,lka,1987
74.8,lka,1988
74.7,lka,1989
73.53,lka,1990
73.71,lka,1991
66.89,lka,1992
66.75,lka,1993
68.35,lka,1994
65.28,lka,1995
60.56,lka,1996
54.33,lka,1997
58.11,lka,1998
63.75,lka,1999
56.74,lka,2000
56.04,lka,2001
57.48,lka,2002
55.58,lka,2003
53.98,lka,2004
47.17,lka,2005
42.64,lka,2006
44.9,lka,2007
39.29,lka,2008
41.39,lka,2009
41.81,lka,2010
18.46,sdn,1970
17.53,sdn,1971
18.46,sdn,1972
18.59,sdn,1973
29.16,sdn,1974
33.69,sdn,1975
35.19,sdn,1976
35.38,sdn,1977
39.39,sdn,1978
48.99,sdn,1979
68.39,sdn,1980
67.42,sdn,1981
78.84,sdn,1982
90.67,sdn,1983
87.87,sdn,1984
74.29,sdn,1985
62.36,sdn,1986
56.24,sdn,1987
77.28,sdn,1988
92.0,sdn,1989
129.4,sdn,1990
155.7,sdn,1991
249.5,sdn,1992
197.4,sdn,1993
142.2,sdn,1994
136.2,sdn,1995
195.9,sdn,1996
143.9,sdn,1997
154.5,sdn,1998
157.5,sdn,1999
141.4,sdn,2000
123.5,sdn,2001
117.1,sdn,2002
104.6,sdn,2003
91.26,sdn,2004
67.07,sdn,2005
54.02,sdn,2006
45.67,sdn,2007
37.84,sdn,2008
41.48,sdn,2009
39.05,sdn,2010
38.01,swz,1970
27.96,swz,1971
24.75,swz,1972
19.26,swz,1973
21.87,swz,1990
21.21,swz,1991
17.37,swz,1992
16.21,swz,1993
17.14,swz,1994
14.02,swz,1995
13.43,swz,1996
22.02,swz,1997
18.61,swz,1998
20.51,swz,1999
17.38,swz,2000
18.89,swz,2001
26.95,swz,2002
20.95,swz,2003
18.53,swz,2004
16.37,swz,2005
15.42,swz,2006
13.51,swz,2007
13.08,swz,2008
15.43,swz,2009
17.17,swz,2010
188.9,syr,1995
160.2,syr,1996
156.8,syr,1997
158.5,syr,1998
149.9,syr,1999
120.1,syr,2000
103.5,syr,2001
10.09,syr,2008
9.677,syr,2009
8.155,syr,2010
0.5097,tjk,1992
23.62,tjk,1993
44.31,tjk,1994
53.56,tjk,1995
72.28,tjk,1996
118.6,tjk,1997
96.59,tjk,1998
120.6,tjk,1999
125.4,tjk,2000
102.7,tjk,2001
98.05,tjk,2002
78.47,tjk,2003
51.93,tjk,2004
45.03,tjk,2005
34.81,tjk,2006
33.63,tjk,2007
46.52,tjk,2008
51.95,tjk,2009
53.05,tjk,2010
122.0,tza,1988
137.8,tza,1989
158.3,tza,1990
137.3,tza,1991
150.9,tza,1992
165.2,tza,1993
165.7,tza,1994
143.7,tza,1995
114.2,tza,1996
93.87,tza,1997
81.16,tza,1998
81.84,tza,1999
70.95,tza,2000
62.79,tza,2001
66.04,tza,2002
62.69,tza,2003
67.15,tza,2004
59.2,tza,2005
28.25,tza,2006
29.74,tza,2007
28.77,tza,2008
34.25,tza,2009
37.65,tza,2010
14.1,tha,1970
14.64,tha,1971
15.09,tha,1972
11.54,tha,1973
11.69,tha,1974
12.53,tha,1975
13.73,tha,1976
16.96,tha,1977
21.1,tha,1978
24.55,tha,1979
25.86,tha,1980
31.64,tha,1981
33.96,tha,1982
34.94,tha,1983
36.28,tha,1984
45.77,tha,1985
43.78,tha,1986
40.93,tha,1987
35.77,tha,1988
32.93,tha,1989
33.34,tha,1990
38.95,tha,1991
38.34,tha,1992
42.73,tha,1993
46.12,tha,1994
60.53,tha,1995
63.42,tha,1996
74.65,tha,1997
97.15,tha,1998
81.12,tha,1999
65.99,tha,2000
59.71,tha,2001
48.48,tha,2002
37.29,tha,2003
32.08,tha,2004
27.63,tha,2005
23.1,tha,2006
19.04,tha,2007
18.96,tha,2008
22.84,tha,2009
23.36,tha,2010
16.03,tgo,1970
16.88,tgo,1971
14.36,tgo,1972
17.66,tgo,1973
22.59,tgo,1974
27.4,tgo,1975
39.36,tgo,1976
56.83,tgo,1977
102.0,tgo,1978
126.8,tgo,1979
102.4,tgo,1980
109.3,tgo,1981
121.5,tgo,1982
126.9,tgo,1983
118.9,tgo,1984
128.9,tgo,1985
104.6,tgo,1986
102.9,tgo,1987
91.87,tgo,1988
89.56,tgo,1989
80.14,tgo,1990
85.98,tgo,1991
81.22,tgo,1992
107.2,tgo,1993
156.3,tgo,1994
116.7,tgo,1995
103.4,tgo,1996
91.54,tgo,1997
94.11,tgo,1998
99.07,tgo,1999
110.0,tgo,2000
108.4,tgo,2001
108.9,tgo,2002
98.67,tgo,2003
89.74,tgo,2004
91.39,tgo,2005
89.08,tgo,2006
89.01,tgo,2007
58.03,tgo,2008
58.07,tgo,2009
61.15,tgo,2010
38.0,ton,1985
39.53,ton,1986
41.81,ton,1987
32.43,ton,1988
34.41,ton,1989
38.16,ton,1990
32.89,ton,1991
30.77,ton,1992
31.29,ton,1993
28.45,ton,1994
30.45,ton,1995
27.82,ton,1996
26.55,ton,1997
32.69,ton,1998
34.24,ton,1999
34.15,ton,2000
38.03,ton,2001
39.24,ton,2002
40.42,ton,2003
35.15,ton,2004
30.67,ton,2005
27.23,ton,2006
27.69,ton,2007
24.98,ton,2008
31.44,ton,2009
39.67,ton,2010
43.37,tun,1970
41.28,tun,1971
34.66,tun,1972
33.53,tun,1973
29.25,tun,1974
26.44,tun,1975
29.62,tun,1976
45.47,tun,1977
51.13,tun,1978
49.1,tun,1979
41.71,tun,1980
44.37,tun,1981
48.11,tun,1982
50.2,tun,1983
51.17,tun,1984
60.59,tun,1985
69.12,tun,1986
74.0,tun,1987
70.83,tun,1988
72.46,tun,1989
64.7,tun,1990
65.9,tun,1991
57.83,tun,1992
63.52,tun,1993
65.2,tun,1994
62.99,tun,1995
61.34,tun,1996
62.41,tun,1997
57.13,tun,1998
59.48,tun,1999
61.03,tun,2000
67.46,tun,2001
76.84,tun,2002
76.56,tun,2003
72.52,tun,2004
65.46,tun,2005
63.05,tun,2006
60.79,tun,2007
54.0,tun,2008
52.65,tun,2009
51.1,tun,2010
16.15,tur,1970
20.33,tur,1971
17.5,tur,1972
16.43,tur,1973
13.08,tur,1974
11.37,tur,1975
11.75,tur,1976
19.62,tur,1977
22.97,tur,1978
18.02,tur,1979
28.28,tur,1980
27.64,tur,1981
31.25,tur,1982
33.73,tur,1983
36.95,tur,1984
39.6,tur,1985
44.59,tur,1986
48.12,tur,1987
46.4,tur,1988
39.67,tur,1989
33.36,tur,1990
34.29,tur,1991
36.14,tur,1992
38.61,tur,1993
51.99,tur,1994
44.37,tur,1995
44.71,tur,1996
45.35,tur,1997
36.41,tur,1998
41.28,tur,1999
44.43,tur,2000
59.05,tur,2001
56.75,tur,2002
48.39,tur,2003
41.26,tur,2004
35.38,tur,2005
39.06,tur,2006
39.52,tur,2007
39.35,tur,2008
44.73,tur,2009
40.4,tur,2010
8.634,tkm,1993
16.25,tkm,1994
16.09,tkm,1995
31.56,tkm,1996
73.63,tkm,1997
90.87,tkm,1998
107.8,tkm,1999
92.34,tkm,2000
66.2,tkm,2001
45.51,tkm,2002
29.55,tkm,2003
22.62,tkm,2004
14.03,tkm,2005
9.18,tkm,2006
6.238,tkm,2007
4.024,tkm,2008
3.214,tkm,2009
2.132,tkm,2010
12.19,uga,1970
12.36,uga,1971
12.06,uga,1972
10.4,uga,1973
9.701,uga,1974
8.881,uga,1975
9.994,uga,1976
10.28,uga,1977
17.69,uga,1978
27.64,uga,1979
55.81,uga,1980
53.38,uga,1981
40.65,uga,1982
45.98,uga,1983
30.1,uga,1984
35.73,uga,1985
36.68,uga,1986
31.11,uga,1987
30.08,uga,1988
42.15,uga,1989
61.64,uga,1990
85.9,uga,1991
106.5,uga,1992
96.26,uga,1993
86.47,uga,1994
63.34,uga,1995
61.85,uga,1996
62.5,uga,1997
59.94,uga,1998
58.44,uga,1999
57.46,uga,2000
64.95,uga,2001
65.57,uga,2002
72.71,uga,2003
60.42,uga,2004
49.02,uga,2005
12.66,uga,2006
13.54,uga,2007
15.69,uga,2008
15.89,uga,2009
17.9,uga,2010
0.7455,ukr,1992
6.017,ukr,1993
10.8,ukr,1994
17.77,ukr,1995
21.68,ukr,1996
22.49,ukr,1997
31.86,ukr,1998
45.42,ukr,1999
40.19,ukr,2000
54.92,ukr,2001
51.83,ukr,2002
48.19,ukr,2003
45.8,ukr,2004
38.15,ukr,2005
48.31,ukr,2006
55.11,ukr,2007
54.08,ukr,2008
90.11,ukr,2009
85.9,ukr,2010
15.27,ury,1970
14.48,ury,1971
21.46,ury,1972
13.05,ury,1973
20.4,ury,1974
26.18,ury,1975
28.64,ury,1976
27.3,ury,1977
20.66,ury,1978
18.57,ury,1979
16.97,ury,1980
19.81,ury,1981
29.44,ury,1982
68.37,ury,1983
72.93,ury,1984
89.48,ury,1985
69.91,ury,1986
60.84,ury,1987
48.46,ury,1988
55.11,ury,1989
49.27,ury,1990
38.28,ury,1991
36.14,ury,1992
32.85,ury,1993
29.58,ury,1994
28.0,ury,1995
29.07,ury,1996
28.07,ury,1997
30.06,ury,1998
32.96,ury,1999
36.95,ury,2000
44.27,ury,2001
74.09,ury,2002
94.64,ury,2003
89.38,ury,2004
65.83,ury,2005
49.63,ury,2006
42.11,ury,2007
31.67,ury,2008
36.32,ury,2009
28.98,ury,2010
0.4613,uzb,1992
7.887,uzb,1993
9.685,uzb,1994
13.5,uzb,1995
17.13,uzb,1996
20.02,uzb,1997
22.59,uzb,1998
29.21,uzb,1999
34.21,uzb,2000
43.47,uzb,2001
50.28,uzb,2002
49.12,uzb,2003
40.25,uzb,2004
29.98,uzb,2005
24.05,uzb,2006
18.81,uzb,2007
17.05,uzb,2008
20.07,uzb,2009
18.98,uzb,2010
3.661,vut,1981
4.938,vut,1982
10.93,vut,1983
10.75,vut,1984
12.92,vut,1985
15.39,vut,1986
20.72,vut,1987
19.18,vut,1988
20.81,vut,1989
23.5,vut,1990
20.19,vut,1991
20.75,vut,1992
22.2,vut,1993
23.9,vut,1994
22.57,vut,1995
21.67,vut,1996
21.37,vut,1997
24.42,vut,1998
24.15,vut,1999
27.81,vut,2000
27.22,vut,2001
34.78,vut,2002
31.33,vut,2003
33.74,vut,2004
21.58,vut,2005
19.41,vut,2006
19.0,vut,2007
20.52,vut,2008
21.86,vut,2009
20.92,vut,2010
11.43,ven,1970
14.04,ven,1971
16.46,ven,1972
14.99,ven,1973
9.347,ven,1974
7.087,ven,1975
13.56,ven,1976
25.33,ven,1977
35.64,ven,1978
43.17,ven,1979
43.51,ven,1980
42.24,ven,1981
42.8,ven,1982
50.1,ven,1983
68.46,ven,1984
63.44,ven,1985
59.93,ven,1986
79.07,ven,1987
61.32,ven,1988
81.41,ven,1989
71.72,ven,1990
66.73,ven,1991
66.72,ven,1992
66.57,ven,1993
67.63,ven,1994
49.0,ven,1995
52.25,ven,1996
42.86,ven,1997
42.52,ven,1998
42.53,ven,1999
36.57,ven,2000
32.38,ven,2001
40.71,ven,2002
46.94,ven,2003
35.66,ven,2004
31.32,ven,2005
23.98,ven,2006
21.1,ven,2007
16.92,ven,2008
17.08,ven,2009
14.34,ven,2010
327.1,vnm,1989
384.0,vnm,1990
257.1,vnm,1991
255.3,vnm,1992
190.6,vnm,1993
156.2,vnm,1994
124.0,vnm,1995
108.2,vnm,1996
82.64,vnm,1997
84.09,vnm,1998
82.01,vnm,1999
41.73,vnm,2000
39.22,vnm,2001
38.55,vnm,2002
40.88,vnm,2003
40.23,vnm,2004
36.61,vnm,2005
31.22,vnm,2006
32.95,vnm,2007
28.57,vnm,2008
31.27,vnm,2009
36.48,vnm,2010
132.6,yem,1990
129.9,yem,1991
123.1,yem,1992
132.3,yem,1993
188.6,yem,1994
169.9,yem,1995
124.0,yem,1996
61.83,yem,1997
94.06,yem,1998
89.29,yem,1999
58.01,yem,2000
59.35,yem,2001
58.64,yem,2002
55.32,yem,2003
44.48,yem,2004
36.1,yem,2005
31.73,yem,2006
30.07,yem,2007
25.32,yem,2008
25.59,yem,2009
46.7,zmb,1970
53.48,zmb,1971
52.9,zmb,1972
45.88,zmb,1973
43.93,zmb,1974
73.88,zmb,1975
78.03,zmb,1976
96.93,zmb,1977
97.64,zmb,1978
98.97,zmb,1979
90.27,zmb,1980
92.51,zmb,1981
100.6,zmb,1982
122.1,zmb,1983
153.6,zmb,1984
226.0,zmb,1985
414.9,zmb,1986
337.3,zmb,1987
201.7,zmb,1988
182.7,zmb,1989
229.5,zmb,1990
232.5,zmb,1991
233.7,zmb,1992
214.6,zmb,1993
218.9,zmb,1994
215.1,zmb,1995
230.4,zmb,1996
182.0,zmb,1997
227.9,zmb,1998
197.5,zmb,1999
185.7,zmb,2000
175.8,zmb,2001
184.6,zmb,2002
160.5,zmb,2003
146.1,zmb,2004
81.58,zmb,2005
23.84,zmb,2006
27.34,zmb,2007
22.46,zmb,2008
26.56,zmb,2009
25.8,zmb,2010
12.47,zwe,1970
11.1,zwe,1971
8.281,zwe,1972
6.649,zwe,1973
5.533,zwe,1974
4.337,zwe,1975
3.39,zwe,1976
4.65,zwe,1977
10.39,zwe,1978
10.97,zwe,1979
12.03,zwe,1980
15.99,zwe,1981
22.51,zwe,1982
28.97,zwe,1983
34.99,zwe,1984
43.8,zwe,1985
43.45,zwe,1986
44.19,zwe,1987
