geo,suicide_men_per_100000_people,time
irl,2.672,1969
irl,3.14,1970
irl,4.504,1971
irl,4.594,1972
irl,5.229,1973
irl,6.609,1974
irl,7.341,1975
irl,8.451,1976
irl,6.464,1977
irl,7.107,1978
irl,8.901,1979
irl,9.243,1980
irl,10.07,1981
irl,10.92,1982
irl,12.13,1983
irl,9.854,1984
irl,12.77,1985
irl,12.74,1986
irl,10.98,1987
irl,11.46,1988
irl,12.68,1989
irl,15.02,1990
irl,16.63,1991
irl,17.71,1992
irl,14.81,1993
irl,17.25,1994
irl,17.81,1995
irl,19.14,1996
irl,20.39,1997
irl,22.61,1998
irl,17.91,1999
irl,19.56,2000
irl,20.49,2001
irl,17.99,2002
irl,17.12,2003
irl,18.39,2004
isr,9.722,1975
isr,10.24,1976
isr,9.467,1977
isr,7.473,1978
isr,10.14,1979
isr,9.003,1980
isr,7.551,1981
isr,7.173,1982
isr,9.083,1983
isr,8.202,1984
isr,8.362,1985
isr,9.488,1986
isr,9.962,1987
isr,10.93,1988
isr,12.22,1989
isr,10.52,1990
isr,11.65,1991
isr,11.78,1992
isr,11.15,1993
isr,12.15,1994
isr,10.02,1995
isr,8.549,1996
isr,10.83,1997
isr,8.453,1998
isr,10.26,1999
isr,10.15,2000
isr,10.46,2001
isr,9.318,2002
isr,10.95,2003
isr,9.828,2004
ita,10.57,1951
ita,9.419,1952
ita,9.246,1953
ita,8.714,1954
ita,9.726,1955
ita,9.81,1956
ita,9.338,1957
ita,8.8,1958
ita,8.863,1959
ita,8.416,1960
ita,7.636,1961
ita,7.559,1962
ita,7.126,1963
ita,7.526,1964
ita,7.641,1965
ita,7.12,1966
ita,7.635,1967
ita,7.37,1968
ita,7.381,1969
ita,7.639,1970
ita,7.916,1971
ita,7.756,1972
ita,7.658,1973
ita,6.801,1974
ita,7.212,1975
ita,7.248,1976
ita,8.113,1977
ita,8.449,1978
ita,8.912,1979
ita,9.028,1980
ita,8.726,1981
ita,9.486,1982
ita,9.647,1983
ita,9.777,1984
ita,10.41,1985
ita,10.09,1986
ita,9.914,1987
ita,9.32,1988
ita,9.315,1989
ita,9.346,1990
ita,9.38,1991
ita,9.862,1992
ita,10.31,1993
ita,9.95,1994
ita,9.914,1995
ita,10.01,1996
ita,10.07,1997
ita,9.704,1998
ita,8.712,1999
ita,8.631,2000
ita,8.531,2001
ita,8.726,2002
ita,8.376,2003
ita,8.634,2004
jam,6.624,2004
jpn,31.45,1950
jpn,27.7,1951
jpn,27.02,1952
jpn,29.36,1953
jpn,33.77,1954
jpn,35.87,1955
jpn,34.08,1956
jpn,33.22,1957
jpn,34.02,1958
jpn,29.82,1959
jpn,27.69,1960
jpn,24.91,1961
jpn,22.76,1962
jpn,21.06,1963
jpn,19.49,1964
jpn,19.28,1965
jpn,19.15,1966
jpn,17.67,1967
jpn,17.82,1968
jpn,17.68,1969
jpn,18.47,1970
jpn,18.7,1971
jpn,20.3,1972
jpn,20.91,1973
jpn,20.67,1974
jpn,21.87,1975
jpn,21.4,1976
jpn,22.1,1977
jpn,21.96,1978
jpn,22.32,1979
jpn,21.8,1980
jpn,21.25,1981
jpn,21.64,1982
jpn,27.17,1983
jpn,25.7,1984
jpn,23.95,1985
jpn,25.33,1986
jpn,23.02,1987
jpn,21.19,1988
jpn,18.93,1989
jpn,17.75,1990
jpn,17.65,1991
jpn,18.81,1992
jpn,18.57,1993
jpn,19.18,1994
