geo,extreme_temperature_deaths_annual_number,time
cze,0,2002
cze,418,2003
cze,0,2004
cze,15,2005
cze,0,2006
cze,0,2007
cze,0,2008
cheslo,0,1971
cheslo,0,1972
cheslo,0,1973
cheslo,0,1975
cheslo,0,1977
cheslo,0,1978
cheslo,0,1979
cheslo,0,1980
cheslo,0,1981
cheslo,0,1982
cheslo,0,1983
cheslo,0,1984
cheslo,0,1985
cheslo,0,1986
cheslo,0,1987
cheslo,0,1988
cheslo,0,1989
cheslo,0,1990
cheslo,0,1991
cheslo,0,1992
cheslo,0,1993
cheslo,0,1994
cheslo,0,1995
cheslo,0,1996
cheslo,0,1997
cheslo,0,1998
cheslo,0,1999
cheslo,0,2000
cheslo,0,2001
cheslo,0,2002
cheslo,0,2003
cheslo,0,2004
cheslo,0,2005
cheslo,0,2006
cheslo,0,2007
cheslo,0,2008
egy,0,1971
egy,0,1972
egy,0,1973
egy,0,1975
egy,0,1977
egy,0,1978
egy,0,1979
egy,0,1980
egy,0,1981
egy,0,1982
egy,0,1983
egy,0,1984
egy,0,1985
egy,0,1986
egy,0,1987
egy,0,1988
egy,0,1989
egy,0,1990
egy,0,1991
egy,0,1992
egy,0,1993
egy,0,1994
egy,32,1995
egy,22,1996
egy,0,1997
egy,0,1998
egy,0,1999
egy,3,2000
egy,0,2001
egy,0,2002
egy,0,2003
egy,0,2004
egy,0,2005
egy,0,2006
egy,0,2007
egy,0,2008
slv,0,1971
slv,0,1972
slv,0,1973
slv,0,1975
slv,0,1977
slv,0,1978
slv,0,1979
slv,0,1980
slv,0,1981
slv,0,1982
slv,0,1983
slv,0,1984
slv,0,1985
slv,0,1986
slv,0,1987
slv,0,1988
slv,0,1989
slv,0,1990
slv,0,1991
slv,0,1992
slv,0,1993
slv,0,1994
slv,0,1995
slv,0,1996
slv,0,1997
slv,0,1998
slv,0,1999
slv,0,2000
slv,0,2001
slv,0,2002
slv,0,2003
slv,0,2004
slv,0,2005
slv,1,2006
slv,0,2007
slv,0,2008
est,0,1971
est,0,1972
est,0,1973
est,0,1975
est,0,1977
est,0,1978
est,0,1979
est,0,1980
est,0,1981
est,0,1982
est,0,1983
est,0,1984
est,0,1985
est,0,1986
est,0,1987
est,0,1988
est,0,1989
est,0,1990
est,0,1991
est,0,1992
est,0,1993
est,0,1994
est,0,1995
est,0,1996
est,0,1997
est,0,1998
est,0,1999
est,0,2000
est,0,2001
est,0,2002
est,0,2003
est,0,2004
est,3,2005
est,0,2006
est,0,2007
est,0,2008
fra,0,1971
fra,0,1972
fra,0,1973
fra,0,1975
fra,0,1977
fra,0,1978
fra,0,1979
fra,0,1980
fra,0,1981
fra,0,1982
fra,0,1983
fra,0,1984
fra,0,1985
fra,0,1986
fra,0,1987
fra,0,1988
fra,0,1989
fra,5,1990
fra,20,1991
fra,0,1992
fra,0,1993
fra,0,1994
fra,0,1995
fra,0,1996
fra,23,1997
fra,0,1998
fra,0,1999
fra,0,2000
fra,0,2001
fra,0,2002
fra,19490,2003
