geo,infant_mortality_rate_per_1000_births,time
aut,14.6,1979
aut,13.9,1980
aut,13.2,1981
aut,12.6,1982
aut,12.0,1983
aut,11.3,1984
aut,10.7,1985
aut,10.0,1986
aut,9.4,1987
aut,8.9,1988
aut,8.4,1989
aut,8.0,1990
aut,7.6,1991
aut,7.1,1992
aut,6.7,1993
aut,6.2,1994
aut,5.7,1995
aut,5.3,1996
aut,5.0,1997
aut,4.8,1998
aut,4.7,1999
aut,4.6,2000
aut,4.5,2001
aut,4.4,2002
aut,4.3,2003
aut,4.1,2004
aut,4.0,2005
aut,4.0,2006
aut,3.8,2007
aut,3.8,2008
aut,3.7,2009
aut,3.6,2010
aut,3.4,2011
aut,3.3,2012
aut,3.2,2013
aut,3.0,2014
aut,2.9,2015
aze,95.0,1980
aze,84.9,1982
aze,83.1,1983
aze,81.5,1984
aze,79.9,1985
aze,78.5,1986
aze,77.3,1987
aze,76.3,1988
aze,75.7,1989
aze,75.5,1990
aze,75.7,1991
aze,76.0,1992
aze,76.2,1993
aze,76.1,1994
aze,75.2,1995
aze,73.6,1996
aze,71.2,1997
aze,68.1,1998
aze,64.5,1999
aze,60.6,2000
aze,56.8,2001
aze,53.1,2002
aze,49.7,2003
aze,46.7,2004
aze,44.0,2005
aze,41.5,2006
aze,39.3,2007
aze,37.3,2008
aze,35.5,2009
aze,33.9,2010
aze,32.5,2011
aze,31.2,2012
aze,30.0,2013
aze,28.9,2014
aze,27.9,2015
bhs,51.0,1960
bhs,25.0,1968
bhs,25.5,1969
bhs,26.0,1970
bhs,26.4,1971
bhs,26.8,1972
bhs,27.2,1973
bhs,27.2,1974
bhs,27.2,1975
bhs,26.9,1976
bhs,26.6,1977
bhs,26.2,1978
bhs,25.7,1979
bhs,25.2,1980
bhs,24.8,1981
bhs,24.3,1982
bhs,24.0,1983
bhs,23.7,1984
bhs,23.4,1985
bhs,22.9,1986
bhs,22.2,1987
bhs,21.4,1988
bhs,20.6,1989
bhs,19.7,1990
bhs,18.8,1991
bhs,18.0,1992
bhs,17.2,1993
bhs,16.3,1994
bhs,15.6,1995
bhs,14.8,1996
bhs,14.1,1997
bhs,13.6,1998
bhs,13.2,1999
bhs,13.0,2000
bhs,12.9,2001
bhs,12.8,2002
bhs,12.7,2003
bhs,12.7,2004
bhs,12.6,2005
bhs,12.5,2006
bhs,12.2,2007
bhs,11.9,2008
bhs,11.7,2009
bhs,11.4,2010
bhs,11.1,2011
bhs,10.9,2012
bhs,10.5,2013
bhs,10.2,2014
bhs,9.9,2015
bhr,187.9,1956
bhr,172.5,1957
bhr,158.6,1958
bhr,145.9,1959
bhr,134.5,1960
bhr,123.8,1961
bhr,114.1,1962
bhr,105.1,1963
bhr,96.6,1964
bhr,88.6,1965
bhr,81.3,1966
bhr,74.5,1967
bhr,68.2,1968
bhr,62.4,1969
bhr,57.2,1970
bhr,52.5,1971
bhr,48.1,1972
bhr,44.2,1973
bhr,40.7,1974
bhr,37.7,1975
bhr,35.0,1976
bhr,32.6,1977
bhr,30.4,1978
bhr,28.5,1979
bhr,26.8,1980
bhr,25.3,1981
bhr,24.0,1982
bhr,22.8,1983
bhr,21.9,1984
bhr,21.1,1985
bhr,20.5,1986
bhr,20.1,1987
bhr,19.8,1988
bhr,19.7,1989
bhr,19.5,1990
bhr,19.3,1991
bhr,18.7,1992
bhr,17.9,1993
bhr,16.8,1994
bhr,15.5,1995
bhr,14.2,1996
bhr,13.1,1997
bhr,12.1,1998
bhr,11.4,1999
bhr,10.9,2000
bhr,10.5,2001
bhr,10.2,2002
bhr,9.9,2003
bhr,9.6,2004
bhr,9.3,2005
bhr,9.0,2006
bhr,8.5,2007
bhr,8.1,2008
bhr,7.6,2009
bhr,7.1,2010
bhr,6.7,2011
bhr,6.3,2012
bhr,5.9,2013
bhr,5.6,2014
bhr,5.3,2015
bgd,233.3,1951
bgd,225.4,1952
bgd,216.6,1953
bgd,209.8,1954
bgd,203.6,1955
bgd,197.5,1956
bgd,191.8,1957
bgd,186.3,1958
bgd,181.2,1959
bgd,176.3,1960
bgd,171.7,1961
bgd,167.6,1962
bgd,163.7,1963
bgd,160.3,1964
bgd,157.4,1965
bgd,155.0,1966
bgd,153.0,1967
bgd,151.5,1968
bgd,150.4,1969
bgd,149.5,1970
bgd,148.9,1971
bgd,148.2,1972
bgd,147.4,1973
bgd,146.4,1974
bgd,145.2,1975
bgd,143.5,1976
bgd,141.4,1977
bgd,139.1,1978
bgd,136.5,1979
bgd,133.7,1980
bgd,130.8,1981
bgd,127.8,1982
bgd,124.6,1983
bgd,121.3,1984
bgd,117.9,1985
bgd,114.4,1986
bgd,110.8,1987
bgd,107.1,1988
bgd,103.4,1989
bgd,99.7,1990
bgd,95.8,1991
bgd,92.1,1992
bgd,88.3,1993
bgd,84.6,1994
bgd,81.0,1995
bgd,77.4,1996
bgd,74.0,1997
bgd,70.6,1998
bgd,67.4,1999
bgd,64.4,2000
bgd,61.4,2001
bgd,58.6,2002
bgd,55.9,2003
bgd,53.4,2004
bgd,50.8,2005
bgd,48.4,2006
bgd,45.9,2007
bgd,43.6,2008
bgd,41.3,2009
bgd,39.2,2010
bgd,37.2,2011
bgd,35.3,2012
bgd,33.5,2013
bgd,32.1,2014
bgd,30.7,2015
brb,420.0,1906
brb,302.0,1907
brb,319.0,1908
brb,252.0,1909
brb,268.0,1910
brb,263.0,1911
brb,416.0,1912
brb,243.0,1913
brb,403.0,1914
brb,193.0,1915
brb,242.0,1916
brb,289.0,1917
brb,205.0,1918
brb,352.0,1919
brb,270.0,1920
brb,401.0,1921
brb,187.0,1922
brb,368.0,1923
brb,298.0,1924
brb,312.0,1925
brb,314.0,1926
brb,201.0,1927
brb,331.0,1928
brb,239.0,1929
brb,231.0,1930
brb,298.0,1931
brb,198.0,1932
brb,235.0,1933
brb,256.0,1934
brb,220.0,1935
brb,198.0,1936
brb,217.0,1937
brb,221.0,1938
brb,194.0,1939
brb,180.0,1940
brb,224.0,1941
brb,175.0,1942
brb,164.0,1943
brb,171.0,1944
brb,149.0,1945
brb,160.0,1946
brb,166.0,1947
brb,154.0,1948
brb,129.0,1949
brb,125.0,1950
brb,136.0,1951
brb,145.0,1952
brb,139.0,1953
brb,137.7,1954
brb,119.1,1955
brb,103.8,1956
brb,91.6,1957
brb,82.2,1958
brb,75.1,1959
brb,69.5,1960
brb,65.0,1961
brb,61.2,1962
brb,57.6,1963
brb,54.4,1964
brb,51.7,1965
brb,49.2,1966
brb,47.1,1967
brb,45.1,1968
brb,43.1,1969
