geo,epidemic_affected_annual_number,time
mys,0,1982
mys,0,1983
mys,0,1984
mys,0,1985
mys,0,1986
mys,0,1987
mys,0,1988
mys,0,1989
mys,0,1990
mys,4013,1991
mys,0,1992
mys,0,1993
mys,0,1994
mys,0,1995
mys,5420,1996
mys,21780,1997
mys,265,1998
mys,0,1999
mys,992,2000
mys,0,2001
mys,5,2002
mys,0,2003
mys,0,2004
mys,0,2005
mys,0,2006
mys,56,2007
mys,0,2008
mdv,0,1970
mdv,0,1971
mdv,0,1972
mdv,0,1974
mdv,0,1975
mdv,0,1976
mdv,0,1977
mdv,11480,1978
mdv,0,1979
mdv,0,1980
mdv,0,1981
mdv,0,1982
mdv,0,1983
mdv,0,1984
mdv,0,1985
mdv,0,1986
mdv,0,1987
mdv,0,1988
mdv,0,1989
mdv,0,1990
mdv,0,1991
mdv,0,1992
mdv,0,1993
mdv,0,1994
mdv,0,1995
mdv,0,1996
mdv,0,1997
mdv,0,1998
mdv,0,1999
mdv,0,2000
mdv,0,2001
mdv,0,2002
mdv,0,2003
mdv,0,2004
mdv,0,2005
mdv,0,2006
mdv,0,2007
mdv,0,2008
mli,0,1970
mli,0,1971
mli,0,1972
mli,0,1974
mli,0,1975
mli,0,1976
mli,0,1977
mli,0,1978
mli,110,1979
mli,0,1980
mli,4565,1981
mli,0,1982
mli,0,1983
mli,5524,1984
mli,0,1985
mli,0,1986
mli,507,1987
mli,206,1988
mli,0,1989
mli,0,1990
mli,0,1991
mli,0,1992
mli,0,1993
mli,0,1994
mli,0,1995
mli,2553,1996
mli,10760,1997
mli,0,1998
mli,0,1999
mli,0,2000
mli,0,2001
mli,315,2002
mli,1322,2003
mli,0,2004
mli,211,2005
mli,160,2006
mli,0,2007
mli,0,2008
mhl,0,1970
mhl,0,1971
mhl,0,1972
mhl,0,1974
mhl,0,1975
mhl,0,1976
mhl,0,1977
mhl,0,1978
mhl,0,1979
mhl,0,1980
mhl,0,1981
mhl,0,1982
mhl,0,1983
mhl,0,1984
mhl,0,1985
mhl,0,1986
mhl,0,1987
mhl,0,1988
mhl,0,1989
mhl,0,1990
mhl,0,1991
mhl,0,1992
mhl,0,1993
mhl,0,1994
mhl,0,1995
mhl,0,1996
mhl,0,1997
mhl,0,1998
mhl,0,1999
mhl,224,2000
mhl,0,2001
mhl,0,2002
mhl,0,2003
mhl,0,2004
mhl,0,2005
mhl,0,2006
mhl,0,2007
mhl,0,2008
mrt,0,1970
mrt,0,1971
mrt,0,1972
mrt,0,1974
mrt,0,1975
mrt,0,1976
mrt,0,1977
mrt,0,1978
mrt,0,1979
mrt,0,1980
mrt,0,1981
mrt,17,1982
mrt,0,1983
mrt,0,1984
mrt,0,1985
mrt,0,1986
mrt,213,1987
mrt,613,1988
mrt,0,1989
mrt,0,1990
mrt,0,1991
mrt,0,1992
mrt,0,1993
mrt,0,1994
mrt,0,1995
mrt,46,1996
mrt,0,1997
mrt,350,1998
mrt,0,1999
mrt,0,2000
mrt,0,2001
mrt,0,2002
mrt,0,2003
mrt,0,2004
mrt,2640,2005
mrt,0,2006
mrt,0,2007
mrt,0,2008
mus,0,1970
mus,0,1971
mus,0,1972
mus,0,1974
mus,0,1975
mus,0,1976
mus,0,1977
mus,0,1978
mus,0,1979
mus,108,1980
mus,0,1981
mus,0,1982
mus,0,1983
mus,0,1984
mus,0,1985
mus,0,1986
mus,0,1987
mus,0,1988
mus,0,1989
mus,0,1990
mus,0,1991
mus,0,1992
mus,0,1993
mus,0,1994
mus,0,1995
mus,0,1996
mus,0,1997
mus,0,1998
mus,0,1999
mus,0,2000
mus,0,2001
mus,0,2002
mus,0,2003
mus,0,2004
mus,2553,2005
mus,0,2006
mus,0,2007
mus,0,2008
mex,0,1970
mex,0,1971
mex,0,1972
mex,0,1974
mex,0,1975
mex,0,1976
mex,0,1977
mex,0,1978
mex,0,1979
mex,0,1980
mex,0,1981
mex,0,1982
mex,0,1983
mex,0,1984
mex,0,1985
mex,0,1986
mex,0,1987
mex,0,1988
mex,0,1989
mex,0,1990
mex,5052,1991
mex,0,1992
mex,0,1993
mex,0,1994
mex,6541,1995
mex,0,1996
mex,0,1997
mex,0,1998
mex,0,1999
mex,0,2000
mex,0,2001
mex,0,2002
mex,0,2003
mex,0,2004
mex,0,2005
mex,0,2006
mex,0,2007
mex,0,2008
fsm,0,1970
fsm,0,1971
fsm,0,1972
fsm,0,1974
fsm,0,1975
fsm,0,1976
fsm,0,1977
fsm,0,1978
fsm,0,1979
fsm,0,1980
fsm,0,1981
fsm,0,1982
fsm,0,1983
fsm,0,1984
fsm,0,1985
fsm,0,1986
fsm,0,1987
fsm,0,1988
fsm,0,1989
fsm,0,1990
fsm,0,1991
fsm,0,1992
fsm,0,1993
fsm,0,1994
fsm,0,1995
fsm,0,1996
fsm,0,1997
fsm,0,1998
fsm,0,1999
fsm,3450,2000
fsm,0,2001
fsm,0,2002
fsm,0,2003
fsm,0,2004
fsm,0,2005
fsm,0,2006
fsm,0,2007
fsm,0,2008
mda,0,1970
mda,0,1971
mda,0,1972
mda,0,1974
mda,0,1975
mda,0,1976
mda,0,1977
mda,0,1978
mda,0,1979
mda,0,1980
mda,0,1981
mda,0,1982
mda,0,1983
mda,0,1984
mda,0,1985
mda,0,1986
mda,0,1987
mda,0,1988
mda,0,1989
mda,0,1990
mda,0,1991
mda,0,1992
mda,0,1993
mda,0,1994
mda,0,1995
mda,0,1996
mda,0,1997
mda,0,1998
mda,1647,1999
mda,0,2000
mda,0,2001
mda,0,2002
mda,0,2003
mda,0,2004
mda,0,2005
mda,0,2006
mda,0,2007
mda,0,2008
mng,0,1970
mng,0,1971
mng,0,1972
mng,0,1974
mng,0,1975
mng,0,1976
mng,0,1977
mng,0,1978
mng,0,1979
mng,0,1980
mng,0,1981
mng,0,1982
mng,0,1983
mng,0,1984
mng,0,1985
mng,0,1986
mng,0,1987
mng,0,1988
mng,0,1989
mng,0,1990
mng,0,1991
mng,0,1992
mng,0,1993
mng,0,1994
mng,0,1995
mng,116,1996
mng,0,1997
mng,0,1998
mng,0,1999
mng,0,2000
mng,0,2001
mng,9,2002
mng,0,2003
mng,0,2004
mng,0,2005
mng,0,2006
mng,0,2007
mng,3151,2008
moz,0,1970
moz,0,1971
moz,0,1972
moz,0,1974
moz,0,1975
moz,0,1976
moz,0,1977
moz,0,1978
moz,0,1979
moz,210,1980
moz,0,1981
moz,0,1982
moz,5868,1983
moz,0,1984
moz,0,1985
moz,0,1986
moz,0,1987
moz,0,1988
moz,0,1989
moz,4694,1990
moz,0,1991
moz,226300,1992
moz,0,1993
moz,0,1994
moz,0,1995
moz,0,1996
moz,27840,1997
moz,2809,1998
moz,0,1999
moz,18590,2000
moz,618,2001
moz,2045,2002
moz,24290,2003
moz,0,2004
moz,0,2005
moz,5719,2006
moz,7625,2007
moz,373,2008
mmr,0,1970
mmr,0,1971
mmr,0,1972
mmr,0,1974
mmr,0,1975
mmr,0,1976
mmr,0,1977
mmr,0,1978
mmr,0,1979
mmr,0,1980
mmr,0,1981
mmr,0,1982
mmr,810,1983
mmr,0,1984
mmr,0,1985
mmr,0,1986
mmr,0,1987
mmr,0,1988
mmr,0,1989
mmr,0,1990
mmr,0,1991
mmr,0,1992
mmr,0,1993
mmr,0,1994
mmr,0,1995
mmr,0,1996
mmr,0,1997
mmr,0,1998
mmr,0,1999
mmr,0,2000
mmr,0,2001
mmr,0,2002
mmr,0,2003
mmr,0,2004
mmr,0,2005
mmr,0,2006
mmr,30,2007
mmr,0,2008
nam,0,1970
nam,0,1971
nam,0,1972
nam,0,1974
nam,0,1975
nam,0,1976
nam,0,1977
nam,0,1978
nam,0,1979
nam,0,1980
nam,0,1981
nam,0,1982
nam,0,1983
nam,0,1984
nam,0,1985
nam,0,1986
nam,0,1987
nam,100,1988
nam,0,1989
nam,0,1990
nam,0,1991
nam,0,1992
nam,0,1993
nam,0,1994
nam,0,1995
nam,0,1996
nam,0,1997
nam,0,1998
nam,0,1999
nam,72,2000
nam,12230,2001
nam,0,2002
nam,0,2003
nam,0,2004
nam,0,2005
nam,57,2006
nam,257,2007
nam,0,2008
npl,0,1970
npl,0,1971
npl,0,1972
npl,0,1974
npl,0,1975
npl,0,1976
npl,0,1977
npl,0,1978
npl,0,1979
npl,0,1980
npl,0,1981
npl,1475,1982
npl,0,1983
npl,0,1984
npl,0,1985
npl,0,1986
npl,0,1987
npl,0,1988
npl,0,1989
npl,3950,1990
npl,46680,1991
npl,50640,1992
npl,0,1993
npl,0,1994
npl,898,1995
npl,815,1996
npl,1448,1997
npl,485,1998
npl,1094,1999
npl,911,2000
npl,268,2001
npl,32,2002
npl,0,2003
npl,0,2004
npl,0,2005
npl,0,2006
npl,0,2007
npl,0,2008
nld,0,1970
nld,0,1971
nld,0,1972
nld,0,1974
nld,0,1975
nld,0,1976
nld,0,1977
nld,0,1978
nld,0,1979
nld,0,1980
nld,0,1981
nld,0,1982
nld,0,1983
nld,0,1984
nld,0,1985
nld,0,1986
nld,0,1987
nld,0,1988
nld,0,1989
nld,0,1990
nld,0,1991
nld,0,1992
nld,0,1993
nld,0,1994
nld,0,1995
nld,0,1996
nld,0,1997
nld,0,1998
nld,213,1999
nld,0,2000
nld,0,2001
nld,0,2002
nld,0,2003
nld,0,2004
nld,0,2005
nld,0,2006
nld,0,2007
nld,0,2008
ncl,0,1970
ncl,0,1971
ncl,0,1972
ncl,0,1974
ncl,0,1975
ncl,0,1976
ncl,0,1977
ncl,0,1978
ncl,0,1979
ncl,0,1980
ncl,0,1981
ncl,0,1982
ncl,0,1983
ncl,0,1984
ncl,0,1985
ncl,0,1986
ncl,0,1987
ncl,0,1988
ncl,0,1989
ncl,0,1990
ncl,0,1991
ncl,0,1992
ncl,0,1993
ncl,0,1994
ncl,0,1995
ncl,0,1996
ncl,0,1997
ncl,0,1998
ncl,0,1999
ncl,0,2000
ncl,0,2001
ncl,0,2002
ncl,437,2003
ncl,0,2004
ncl,0,2005
ncl,0,2006
ncl,0,2007
ncl,0,2008
nzl,0,1970
nzl,0,1971
nzl,0,1972
nzl,0,1974
nzl,0,1975
nzl,0,1976
nzl,0,1977
nzl,0,1978
nzl,0,1979
nzl,0,1980
nzl,0,1981
nzl,0,1982
nzl,0,1983
nzl,0,1984
nzl,0,1985
nzl,0,1986
nzl,0,1987
nzl,0,1988
nzl,0,1989
nzl,0,1990
nzl,0,1991
nzl,0,1992
nzl,0,1993
nzl,0,1994
nzl,0,1995
nzl,0,1996
nzl,0,1997
nzl,0,1998
nzl,0,1999
nzl,0,2000
nzl,0,2001
nzl,1,2002
nzl,0,2003
nzl,0,2004
nzl,0,2005
nzl,0,2006
nzl,0,2007
nzl,0,2008
nic,0,1970
nic,0,1971
nic,0,1972
nic,0,1974
nic,0,1975
nic,0,1976
nic,0,1977
nic,0,1978
nic,0,1979
nic,0,1980
nic,0,1981
nic,0,1982
nic,0,1983
nic,0,1984
nic,0,1985
nic,0,1986
nic,0,1987
nic,0,1988
nic,0,1989
nic,0,1990
nic,383,1991
nic,0,1992
nic,0,1993
nic,0,1994
nic,13420,1995
nic,0,1996
nic,0,1997
nic,3363,1998
