suicide_age_30_44_per_100000_people,geo,time
2.918,kwt,2002
2.858,kwt,2008
27.12,kgz,1981
28.1,kgz,1982
23.24,kgz,1985
17.62,kgz,1986
18.01,kgz,1987
17.97,kgz,1988
20.09,kgz,1989
21.64,kgz,1990
22.6,kgz,1991
16.62,kgz,1992
22.1,kgz,1993
22.93,kgz,1994
22.12,kgz,1995
16.56,kgz,1996
15.36,kgz,1997
16.99,kgz,1998
18.97,kgz,1999
15.94,kgz,2000
16.48,kgz,2001
17.42,kgz,2002
14.95,kgz,2003
14.94,kgz,2004
14.78,kgz,2005
13.84,kgz,2006
12.44,kgz,2007
50.05,lva,1980
50.3,lva,1981
52.52,lva,1982
46.92,lva,1983
45.18,lva,1984
40.25,lva,1985
31.47,lva,1986
27.84,lva,1987
27.33,lva,1988
34.11,lva,1989
34.55,lva,1990
38.25,lva,1991
40.89,lva,1992
57.07,lva,1993
56.68,lva,1994
53.13,lva,1995
46.83,lva,1996
44.6,lva,1997
45.74,lva,1998
40.46,lva,1999
39.43,lva,2000
37.6,lva,2001
35.37,lva,2002
30.06,lva,2003
28.33,lva,2004
27.26,lva,2005
23.81,lva,2006
24.57,lva,2007
26.54,lva,2008
57.75,ltu,1981
52.63,ltu,1982
57.12,ltu,1985
40.41,ltu,1986
44.29,ltu,1987
40.16,ltu,1988
42.48,ltu,1989
37.69,ltu,1990
43.64,ltu,1991
48.22,ltu,1992
59.52,ltu,1993
68.84,ltu,1994
66.05,ltu,1995
64.77,ltu,1996
66.89,ltu,1997
55.69,ltu,1998
58.63,ltu,1999
60.23,ltu,2000
57.37,ltu,2001
58.67,ltu,2002
54.37,ltu,2003
50.32,ltu,2004
47.47,ltu,2005
33.7,ltu,2006
36.91,ltu,2007
42.25,ltu,2008
6.229,mkd,1991
6.961,mkd,1992
9.365,mkd,1993
7.395,mkd,1994
7.756,mkd,1995
8.961,mkd,1996
10.59,mkd,1997
7.405,mkd,1998
7.57,mkd,1999
11.49,mkd,2000
5.792,mkd,2001
7.345,mkd,2002
6.033,mkd,2003
8.364,mus,1961
2.684,mus,1962
2.661,mus,1963
4.433,mus,1964
