geo,internal_renewable_water_cu_meters_per_person,time
omn,572.8,2002
omn,549.8,2007
pak,1132.0,1962
pak,998.8,1967
pak,875.0,1972
pak,761.4,1977
pak,647.0,1982
pak,537.7,1987
pak,461.9,1992
pak,409.2,1997
pak,366.6,2002
pak,341.7,2007
pan,123500.0,1962
pan,106700.0,1967
pan,92610.0,1972
pan,81310.0,1977
pan,72280.0,1982
pan,65010.0,1987
pan,58690.0,1992
pan,53010.0,1997
pan,48130.0,2002
pan,44840.0,2007
png,371300.0,1962
png,335400.0,1967
png,299400.0,1972
png,267700.0,1977
png,238200.0,1982
png,209300.0,1987
png,184100.0,1992
png,161200.0,1997
png,141500.0,2002
png,129200.0,2007
pry,46760.0,1962
pry,40910.0,1967
pry,36040.0,1972
pry,31870.0,1977
pry,27740.0,1982
pry,23990.0,1987
pry,21040.0,1992
pry,18730.0,1997
pry,16870.0,2002
pry,15630.0,2007
per,153700.0,1962
per,133200.0,1967
per,115800.0,1972
per,100900.0,1977
per,88790.0,1982
per,79130.0,1987
per,71410.0,1992
per,65660.0,1997
per,61400.0,2002
per,58570.0,2007
phl,16640.0,1962
phl,14300.0,1967
phl,12390.0,1972
phl,10790.0,1977
phl,9478.0,1982
phl,8403.0,1987
phl,7469.0,1992
phl,6692.0,1997
phl,6026.0,2002
phl,5553.0,2007
pol,1761.0,1962
pol,1677.0,1967
pol,1616.0,1972
pol,1549.0,1977
pol,1478.0,1982
pol,1424.0,1987
pol,1397.0,1992
pol,1389.0,1997
pol,1398.0,2002
pol,1405.0,2007
prt,4242.0,1962
prt,4286.0,1967
prt,4338.0,1972
prt,4054.0,1977
prt,3831.0,1982
prt,3795.0,1987
prt,3806.0,1992
prt,3766.0,1997
prt,3673.0,2002
prt,3592.0,2007
pri,2902.0,1962
pri,2689.0,1967
pri,2541.0,1972
pri,2332.0,1977
pri,2166.0,1982
pri,2065.0,1987
pri,1975.0,1992
pri,1890.0,1997
pri,1829.0,2002
pri,1789.0,2007
qat,1058.0,1962
qat,664.5,1967
qat,415.8,1972
qat,294.3,1977
qat,202.2,1982
qat,136.7,1987
qat,113.5,1992
qat,101.3,1997
qat,81.51,2002
qat,68.18,2007
kor,2453.0,1962
kor,2169.0,1967
kor,1948.0,1972
kor,1778.0,1977
kor,1653.0,1982
kor,1556.0,1987
kor,1483.0,1992
kor,1416.0,1997
kor,1372.0,2002
kor,1350.0,2007
mda,226.7,1992
mda,232.3,1997
mda,248.0,2002
mda,260.9,2007
reu,14100.0,1962
reu,11910.0,1967
reu,10550.0,1972
reu,10200.0,1977
reu,9546.0,1982
reu,8707.0,1987
reu,7975.0,1992
reu,7269.0,1997
reu,6675.0,2002
reu,6280.0,2007
rou,2269.0,1962
rou,2171.0,1967
rou,2046.0,1972
rou,1954.0,1977
rou,1885.0,1982
rou,1841.0,1987
rou,1833.0,1992
rou,1884.0,1997
rou,1929.0,2002
rou,1965.0,2007
rus,28880.0,1992
rus,29010.0,1997
rus,29510.0,2002
rus,30110.0,2007
rwa,3159.0,1962
rwa,2788.0,1967
rwa,2363.0,1972
rwa,2019.0,1977
