geo,females_aged_15_24_employment_rate_percent,time
pol,28.1,1992
pol,25.9,1993
pol,24.0,1994
pol,22.6,1995
pol,22.6,1996
pol,23.4,1997
pol,23.8,1998
pol,19.4,1999
pol,20.9,2000
pol,19.4,2001
pol,17.4,2002
pol,16.7,2003
pol,16.6,2004
pol,17.5,2005
pol,21.2,2006
pol,22.5,2007
prt,46.1,1991
prt,41.4,1992
prt,37.9,1993
prt,35.6,1994
prt,32.5,1995
prt,31.6,1996
prt,33.7,1997
prt,38.2,1998
prt,37.7,1999
prt,36.1,2000
prt,36.9,2001
prt,36.4,2002
prt,34.5,2003
prt,32.4,2004
prt,31.2,2005
prt,31.4,2006
prt,30.9,2007
pri,13.2,1991
pri,13.8,1992
pri,18.6,1993
pri,19.0,1994
pri,18.8,1995
pri,18.4,1996
pri,20.7,1997
pri,20.2,1998
pri,22.9,1999
pri,23.0,2000
pri,22.0,2001
pri,21.5,2002
pri,23.1,2003
pri,23.0,2004
pri,24.2,2005
pri,21.7,2006
pri,24.2,2007
qat,3.7,1991
qat,3.6,1992
qat,3.3,1993
qat,3.0,1994
qat,2.8,1995
qat,3.1,1996
qat,2.7,1997
qat,3.1,1998
qat,2.8,1999
qat,4.3,2000
qat,3.0,2001
qat,4.0,2002
qat,5.2,2003
qat,10.3,2004
qat,10.3,2005
qat,10.0,2006
qat,12.8,2007
mda,38.6,1991
mda,37.2,1992
mda,35.9,1993
mda,34.3,1994
mda,32.6,1995
mda,31.2,1996
mda,29.7,1997
mda,27.0,1998
mda,24.4,1999
mda,24.1,2000
mda,23.0,2001
mda,22.1,2002
mda,19.5,2003
mda,18.1,2004
mda,16.4,2005
mda,17.4,2006
mda,16.3,2007
reu,13.6,1991
reu,13.6,1992
reu,13.6,1993
reu,14.8,1994
reu,16.0,1995
reu,13.1,1996
reu,13.1,1997
reu,12.2,1998
reu,10.6,1999
reu,12.1,2000
reu,13.2,2001
reu,14.1,2002
reu,13.4,2003
reu,13.2,2004
reu,14.1,2005
reu,15.0,2006
reu,17.1,2007
rou,38.4,1991
rou,41.3,1992
rou,40.6,1993
rou,35.2,1994
rou,35.7,1995
rou,33.0,1996
rou,33.4,1997
rou,31.9,1998
rou,31.7,1999
rou,31.6,2000
rou,30.6,2001
rou,26.4,2002
rou,23.3,2003
rou,25.0,2004
rou,21.5,2005
rou,20.7,2006
rou,21.0,2007
rus,33.2,1991
rus,35.2,1992
rus,35.7,1993
rus,34.5,1994
rus,34.2,1995
rus,31.9,1996
rus,29.3,1997
rus,27.0,1998
rus,25.8,1999
rus,28.7,2000
rus,29.5,2001
rus,30.4,2002
rus,30.3,2003
rus,28.4,2004
rus,29.4,2005
rus,28.7,2006
rus,30.2,2007
rwa,79.2,1991
rwa,79.9,1992
rwa,80.2,1993
rwa,79.4,1994
rwa,79.5,1995
rwa,78.8,1996
rwa,77.8,1997
rwa,76.4,1998
rwa,75.1,1999
rwa,73.8,2000
rwa,72.4,2001
rwa,70.9,2002
rwa,69.4,2003
rwa,68.1,2004
rwa,67.4,2005
rwa,67.2,2006
rwa,65.9,2007
sau,6.0,1991
sau,5.8,1992
sau,5.6,1993
sau,5.6,1994
sau,5.6,1995
sau,5.6,1996
sau,5.8,1997
sau,6.1,1998
sau,6.8,1999
sau,6.8,2000
sau,7.1,2001
sau,7.1,2002
sau,7.1,2003
sau,7.2,2004
