newly_hiv_infected_percent_age_15_49,geo,time
0.06,fra,2003
0.06,fra,2004
0.06,fra,2005
0.06,fra,2006
0.06,fra,2007
0.06,fra,2008
0.06,fra,2009
0.06,fra,2010
0.06,fra,2011
0.3,gab,1990
0.36,gab,1991
0.43,gab,1992
0.5,gab,1993
0.57,gab,1994
0.65,gab,1995
0.71,gab,1996
0.76,gab,1997
0.79,gab,1998
0.8,gab,1999
0.78,gab,2000
0.74,gab,2001
0.69,gab,2002
0.63,gab,2003
0.57,gab,2004
0.51,gab,2005
0.46,gab,2006
0.43,gab,2007
0.42,gab,2008
0.4,gab,2009
0.37,gab,2010
0.34,gab,2011
0.06,gmb,1990
0.06,gmb,1991
0.06,gmb,1992
0.06,gmb,1993
0.06,gmb,1994
0.06,gmb,1995
0.06,gmb,1996
0.11,gmb,1997
0.13,gmb,1998
0.14,gmb,1999
0.16,gmb,2000
0.18,gmb,2001
0.19,gmb,2002
0.2,gmb,2003
0.2,gmb,2004
0.2,gmb,2005
0.18,gmb,2006
0.17,gmb,2007
0.16,gmb,2008
0.15,gmb,2009
0.15,gmb,2010
0.14,gmb,2011
0.06,geo,1990
0.06,geo,1991
0.06,geo,1992
0.06,geo,1993
0.06,geo,1994
0.06,geo,1995
0.06,geo,1996
0.06,geo,1997
0.06,geo,1998
0.06,geo,1999
0.06,geo,2000
0.06,geo,2001
0.06,geo,2002
0.06,geo,2003
0.06,geo,2004
0.06,geo,2005
0.06,geo,2006
0.06,geo,2007
0.06,geo,2008
0.06,geo,2009
0.06,geo,2010
0.06,geo,2011
0.06,deu,2011
0.24,gha,1990
0.27,gha,1991
0.28,gha,1992
0.3,gha,1993
0.3,gha,1994
0.3,gha,1995
0.29,gha,1996
0.29,gha,1997
0.28,gha,1998
0.26,gha,1999
0.24,gha,2000
0.24,gha,2001
0.22,gha,2002
0.2,gha,2003
0.17,gha,2004
0.15,gha,2005
0.13,gha,2006
0.12,gha,2007
0.11,gha,2008
0.1,gha,2009
0.06,gha,2010
0.06,gha,2011
0.06,grc,2011
0.12,gtm,2011
0.31,gin,1990
0.31,gin,1991
0.29,gin,1992
0.26,gin,1993
0.23,gin,1994
0.2,gin,1995
0.18,gin,1996
0.17,gin,1997
0.16,gin,1998
0.15,gin,1999
0.15,gin,2000
0.15,gin,2001
0.14,gin,2002
0.14,gin,2003
0.14,gin,2004
0.13,gin,2005
0.12,gin,2006
0.11,gin,2007
0.1,gin,2008
0.1,gin,2009
0.06,gin,2011
0.06,gnb,1990
0.06,gnb,1991
0.06,gnb,1992
0.11,gnb,1993
0.12,gnb,1994
0.14,gnb,1995
0.16,gnb,1996
0.18,gnb,1997
0.2,gnb,1998
0.22,gnb,1999
0.23,gnb,2000
0.25,gnb,2001
0.26,gnb,2002
0.27,gnb,2003
0.28,gnb,2004
0.29,gnb,2005
0.3,gnb,2006
0.31,gnb,2007
0.31,gnb,2008
0.31,gnb,2009
0.31,gnb,2010
0.31,gnb,2011
0.06,guy,2011
0.53,hti,1990
0.48,hti,1991
0.41,hti,1992
0.34,hti,1993
0.29,hti,1994
0.28,hti,1995
0.26,hti,1996
0.27,hti,1997
0.26,hti,1998
0.25,hti,1999
0.23,hti,2000
0.22,hti,2001
0.22,hti,2002
0.2,hti,2003
0.2,hti,2004
0.19,hti,2005
0.17,hti,2006
0.15,hti,2007
0.13,hti,2008
0.12,hti,2009
0.11,hti,2010
0.1,hti,2011
0.06,hnd,2011
0.06,hun,2011
0.06,isl,2011
0.06,ind,1990
0.06,ind,1991
0.06,ind,1992
0.06,ind,1993
0.06,ind,1994
0.06,ind,1995
0.06,ind,1996
0.06,ind,1997
0.06,ind,1998
0.06,ind,1999
0.06,ind,2000
0.06,ind,2001
0.06,ind,2002
0.06,ind,2003
0.06,ind,2004
0.06,ind,2005
0.06,ind,2006
