geo,aid_given_percent_of_gni,time
gbr,0.24,1999
gbr,0.32,2000
gbr,0.32,2001
gbr,0.31,2002
gbr,0.34,2003
gbr,0.36,2004
gbr,0.47,2005
gbr,0.51,2006
gbr,0.35,2007
gbr,0.43,2008
usa,0.54,1960
usa,0.57,1961
usa,0.58,1962
usa,0.6,1963
usa,0.56,1964
usa,0.58,1965
usa,0.5,1966
usa,0.41,1967
usa,0.44,1968
usa,0.36,1969
usa,0.32,1970
usa,0.29,1971
usa,0.33,1972
usa,0.2,1973
usa,0.25,1974
usa,0.27,1975
usa,0.25,1976
usa,0.24,1977
usa,0.26,1978
usa,0.19,1979
usa,0.27,1980
usa,0.19,1981
usa,0.27,1982
usa,0.24,1983
usa,0.24,1984
usa,0.24,1985
usa,0.23,1986
usa,0.2,1987
usa,0.21,1988
usa,0.15,1989
usa,0.21,1990
usa,0.2,1991
usa,0.2,1992
usa,0.15,1993
usa,0.14,1994
usa,0.1,1995
usa,0.12,1996
usa,0.09,1997
usa,0.1,1998
usa,0.1,1999
usa,0.1,2000
usa,0.11,2001
usa,0.13,2002
usa,0.15,2003
usa,0.17,2004
usa,0.23,2005
usa,0.18,2006
usa,0.16,2007
usa,0.18,2008
