geo,adults_with_hiv_percent_age_15_49,time
nor,0.1,2006
nor,0.1,2007
nor,0.1,2008
nor,0.1,2009
nor,0.1,2010
nor,0.1,2011
omn,0.06,1990
omn,0.06,1991
omn,0.06,1992
omn,0.06,1993
omn,0.06,1994
omn,0.06,1995
omn,0.06,1996
omn,0.06,1997
omn,0.06,1998
omn,0.06,1999
omn,0.06,2000
omn,0.06,2001
omn,0.06,2002
omn,0.06,2003
omn,0.06,2004
omn,0.06,2005
omn,0.06,2006
omn,0.1,2007
omn,0.1,2008
pak,0.06,1990
pak,0.06,1991
pak,0.06,1992
pak,0.06,1993
pak,0.06,1994
pak,0.06,1995
pak,0.06,1996
pak,0.06,1997
pak,0.06,1998
pak,0.06,1999
pak,0.06,2000
pak,0.1,2001
pak,0.1,2002
pak,0.1,2003
pak,0.1,2004
pak,0.1,2005
pak,0.1,2006
pak,0.1,2007
pak,0.1,2008
pak,0.1,2009
pak,0.1,2010
pak,0.1,2011
pan,0.04641,1979
pan,0.2,1990
pan,0.3,1991
pan,0.3,1992
pan,0.4,1993
pan,1.1,1994
pan,1.6,1995
pan,1.6,1996
pan,1.6,1997
pan,1.6,1998
pan,1.5,1999
pan,1.4,2000
pan,1.4,2001
pan,1.3,2002
pan,1.2,2003
pan,1.1,2004
pan,1.1,2005
pan,1.0,2006
pan,0.9,2007
pan,0.9,2008
pan,0.8,2009
pan,0.8,2010
pan,0.8,2011
png,0.01018,1987
png,0.06,1990
png,0.06,1991
png,0.06,1992
png,0.1,1993
png,0.1,1994
png,0.1,1995
png,0.1,1996
png,0.2,1997
png,0.2,1998
png,0.3,1999
png,0.4,2000
png,0.5,2001
png,0.6,2002
png,0.7,2003
png,0.7,2004
png,0.8,2005
png,0.8,2006
png,0.9,2007
png,0.9,2008
png,0.7,2009
png,0.7,2010
png,0.7,2011
pry,0.009743,1983
pry,0.06,1990
pry,0.1,1991
pry,0.2,1992
pry,0.2,1993
pry,0.2,1994
pry,0.2,1995
pry,0.2,1996
pry,0.2,1997
pry,0.3,1998
pry,0.3,1999
pry,0.3,2000
pry,0.3,2001
pry,0.3,2002
pry,0.3,2003
pry,0.3,2004
pry,0.3,2005
pry,0.3,2006
pry,0.3,2007
pry,0.3,2008
pry,0.3,2009
pry,0.3,2010
pry,0.3,2011
per,0.01068,1979
per,0.4,1990
per,0.4,1991
per,0.5,1992
per,0.5,1993
per,0.5,1994
per,0.5,1995
per,0.5,1996
per,0.5,1997
per,0.5,1998
per,0.5,1999
per,0.5,2000
per,0.5,2001
per,0.5,2002
per,0.5,2003
per,0.5,2004
per,0.4,2005
per,0.4,2006
per,0.4,2007
per,0.4,2008
per,0.4,2009
per,0.4,2010
per,0.4,2011
phl,0.06,1990
phl,0.06,1991
phl,0.06,1992
phl,0.06,1993
phl,0.06,1994
phl,0.06,1995
phl,0.06,1996
phl,0.06,1997
phl,0.06,1998
phl,0.06,1999
phl,0.06,2000
phl,0.06,2001
phl,0.06,2002
phl,0.06,2003
phl,0.06,2004
phl,0.06,2005
phl,0.06,2006
phl,0.06,2007
phl,0.06,2008
phl,0.06,2009
phl,0.06,2010
phl,0.06,2011
pol,0.06,1990
pol,0.06,1991
pol,0.06,1992
pol,0.1,1993
pol,0.1,1994
pol,0.1,1995
pol,0.1,1996
pol,0.1,1997
pol,0.1,1998
pol,0.1,1999
pol,0.1,2000
pol,0.1,2001
pol,0.1,2002
pol,0.1,2003
pol,0.1,2004
pol,0.1,2005
pol,0.1,2006
pol,0.1,2007
pol,0.1,2008
pol,0.1,2009
pol,0.1,2010
pol,0.1,2011
prt,0.02051,1979
prt,0.1,1990
prt,0.1,1991
prt,0.2,1992
prt,0.2,1993
prt,0.3,1994
prt,0.3,1995
prt,0.3,1996
prt,0.4,1997
prt,0.4,1998
prt,0.4,1999
prt,0.4,2000
prt,0.5,2001
prt,0.5,2002
prt,0.5,2003
prt,0.5,2004
prt,0.5,2005
prt,0.5,2006
prt,0.5,2007
prt,0.5,2008
prt,0.7,2009
prt,0.7,2010
prt,0.7,2011
qat,0.06,1990
qat,0.06,1991
qat,0.06,1992
qat,0.06,1993
qat,0.06,1994
qat,0.06,1995
qat,0.06,1996
qat,0.06,1997
qat,0.06,1998
qat,0.06,1999
qat,0.06,2000
qat,0.06,2001
qat,0.06,2002
qat,0.06,2003
qat,0.06,2004
qat,0.06,2005
qat,0.06,2006
qat,0.06,2007
qat,0.06,2008
rou,0.06,1990
rou,0.06,1991
rou,0.06,1992
rou,0.1,1993
rou,0.1,1994
rou,0.1,1995
rou,0.1,1996
rou,0.1,1997
rou,0.1,1998
rou,0.1,1999
rou,0.1,2000
rou,0.1,2001
rou,0.1,2002
rou,0.1,2003
rou,0.1,2004
rou,0.1,2005
rou,0.1,2006
rou,0.1,2007
rou,0.1,2008
rou,0.1,2009
rou,0.1,2010
rou,0.1,2011
rus,0.06,1990
rus,0.06,1991
rus,0.06,1992
rus,0.06,1993
rus,0.06,1994
rus,0.06,1995
rus,0.06,1996
rus,0.06,1997
rus,0.1,1998
rus,0.1,1999
rus,0.3,2000
rus,0.5,2001
rus,0.6,2002
rus,0.8,2003
rus,0.8,2004
rus,0.9,2005
rus,0.9,2006
rus,0.9,2007
rus,1.0,2008
rwa,0.01,1979
rwa,5.2,1990
rwa,5.2,1991
rwa,5.1,1992
rwa,5.0,1993
rwa,4.9,1994
rwa,4.7,1995
rwa,4.5,1996
rwa,4.3,1997
rwa,4.2,1998
rwa,4.0,1999
rwa,3.8,2000
rwa,3.7,2001
rwa,3.6,2002
rwa,3.4,2003
rwa,3.2,2004
rwa,3.1,2005
rwa,3.0,2006
rwa,2.9,2007
rwa,2.9,2008
rwa,3.0,2009
rwa,3.0,2010
rwa,2.9,2011
stp,1.0,2009
stp,1.0,2010
stp,1.0,2011
sen,0.009522,1981
sen,0.2,1990
sen,0.2,1991
sen,0.2,1992
sen,0.3,1993
sen,0.3,1994
sen,0.4,1995
sen,0.4,1996
sen,0.5,1997
sen,0.5,1998
sen,0.5,1999
sen,0.6,2000
sen,0.6,2001
sen,0.7,2002
sen,0.7,2003
sen,0.7,2004
sen,0.8,2005
sen,0.8,2006
sen,0.8,2007
sen,0.8,2008
sen,0.7,2009
sen,0.7,2010
sen,0.7,2011
srb,0.01,1985
srb,0.1,1990
