geo,total_health_spending_per_person_international_dollar,time
cog,76.43,1997
cog,97.77,1998
cog,78.75,1999
cog,58.39,2000
cog,69.26,2001
cog,72.45,2002
cog,77.72,2003
cog,78.94,2004
cog,81.36,2005
cog,84.93,2006
cog,95.72,2007
cog,97.57,2008
cog,108.5,2009
cog,103.5,2010
cok,272.1,1995
cok,248.8,1996
cok,211.9,1997
cok,225.2,1998
cok,197.8,1999
cok,241.0,2000
cok,341.6,2001
cok,280.1,2002
cok,313.9,2003
cok,314.1,2004
cok,366.5,2005
cok,340.3,2006
cok,360.2,2007
cok,367.2,2008
cok,382.2,2009
cok,416.1,2010
cri,382.6,1995
cri,391.2,1996
cri,379.7,1997
cri,414.2,1998
cri,439.0,1999
cri,470.7,2000
cri,520.7,2001
cri,573.8,2002
cri,620.4,2003
cri,653.9,2004
cri,702.1,2005
cri,796.4,2006
cri,969.4,2007
cri,1060.0,2008
cri,1155.0,2009
cri,1242.0,2010
civ,72.1,1995
civ,84.43,1996
civ,98.24,1997
civ,108.7,1998
civ,92.49,1999
civ,81.17,2000
civ,63.73,2001
civ,54.88,2002
civ,59.32,2003
civ,68.33,2004
civ,71.61,2005
civ,79.55,2006
civ,101.1,2007
civ,104.8,2008
civ,94.79,2009
civ,97.58,2010
hrv,546.9,1995
hrv,639.7,1996
hrv,563.3,1997
hrv,673.0,1998
hrv,731.8,1999
hrv,846.9,2000
hrv,843.9,2001
hrv,788.6,2002
hrv,864.2,2003
hrv,960.1,2004
hrv,1072.0,2005
hrv,1182.0,2006
hrv,1409.0,2007
hrv,1581.0,2008
hrv,1556.0,2009
hrv,1514.0,2010
cub,117.8,1995
cub,126.9,1996
cub,129.2,1997
cub,127.6,1998
cub,136.0,1999
cub,148.2,2000
cub,160.2,2001
cub,171.6,2002
cub,170.7,2003
cub,171.9,2004
cub,245.2,2005
cub,276.6,2006
cub,398.8,2007
cub,430.9,2008
cub,477.5,2009
cub,431.2,2010
cyp,723.9,1995
cyp,815.3,1996
cyp,891.1,1997
cyp,950.2,1998
cyp,1001.0,1999
cyp,1107.0,2000
cyp,1201.0,2001
cyp,1299.0,2002
cyp,1472.0,2003
cyp,1475.0,2004
cyp,1549.0,2005
cyp,1651.0,2006
cyp,1720.0,2007
cyp,1867.0,2008
cyp,1874.0,2009
cyp,1842.0,2010
cze,896.7,1995
cze,915.3,1996
cze,921.2,1997
cze,925.3,1998
cze,938.5,1999
cze,981.4,2000
cze,1081.0,2001
cze,1195.0,2002
cze,1338.0,2003
cze,1387.0,2004
cze,1475.0,2005
cze,1556.0,2006
cze,1661.0,2007
cze,1839.0,2008
cze,2107.0,2009
cze,2051.0,2010
dnk,1868.0,1995
dnk,1975.0,1996
dnk,2059.0,1997
dnk,2132.0,1998
dnk,2411.0,1999
dnk,2507.0,2000
dnk,2679.0,2001
dnk,2870.0,2002
dnk,2893.0,2003
dnk,3125.0,2004
dnk,3243.0,2005
dnk,3575.0,2006
dnk,3747.0,2007
dnk,4031.0,2008
dnk,4345.0,2009
dnk,4537.0,2010
dji,68.69,1995
dji,64.75,1996
dji,71.37,1997
dji,82.12,1998
dji,97.12,1999
dji,90.38,2000
dji,86.02,2001
dji,89.01,2002
dji,105.2,2003
dji,99.35,2004
dji,132.6,2005
dji,137.7,2006
dji,160.1,2007
dji,158.0,2008
dji,179.6,2009
dji,170.0,2010
dma,303.9,1995
dma,322.2,1996
dma,343.1,1997
dma,352.9,1998
dma,365.4,1999
dma,378.1,2000
dma,387.4,2001
dma,398.1,2002
dma,410.8,2003
dma,421.6,2004
dma,452.6,2005
dma,502.9,2006
dma,550.6,2007
dma,569.6,2008
dma,591.6,2009
dma,730.7,2010
dom,202.0,1995
dom,209.1,1996
dom,239.7,1997
dom,264.2,1998
dom,286.1,1999
dom,325.5,2000
dom,325.7,2001
dom,352.9,2002
dom,332.4,2003
dom,305.8,2004
dom,349.6,2005
dom,399.7,2006
dom,424.9,2007
dom,479.5,2008
dom,506.6,2009
dom,577.6,2010
ecu,189.2,1995
ecu,207.6,1996
ecu,216.8,1997
ecu,215.2,1998
ecu,222.0,1999
ecu,201.4,2000
ecu,237.6,2001
ecu,295.1,2002
ecu,366.1,2003
ecu,401.9,2004
ecu,429.6,2005
ecu,472.9,2006
ecu,507.2,2007
ecu,551.5,2008
ecu,691.7,2009
ecu,653.2,2010
egy,108.5,1995
egy,125.8,1996
egy,149.2,1997
egy,163.2,1998
egy,181.9,1999
egy,195.7,2000
egy,217.0,2001
egy,235.4,2002
egy,231.0,2003
egy,231.9,2004
egy,235.7,2005
egy,256.7,2006
egy,259.3,2007
egy,272.1,2008
egy,286.0,2009
egy,288.6,2010
slv,239.8,1995
slv,291.9,1996
slv,330.6,1997
slv,349.9,1998
slv,352.9,1999
slv,367.2,2000
slv,372.4,2001
slv,378.6,2002
slv,375.8,2003
slv,387.6,2004
slv,406.6,2005
slv,403.1,2006
slv,405.4,2007
slv,408.0,2008
slv,438.9,2009
slv,450.3,2010
gnq,113.0,1995
gnq,114.2,1996
gnq,171.8,1997
gnq,258.6,1998
gnq,157.9,1999
gnq,148.2,2000
gnq,246.1,2001
gnq,545.5,2002
gnq,396.6,2003
gnq,479.6,2004
gnq,421.2,2005
gnq,457.6,2006
gnq,582.4,2007
gnq,908.3,2008
gnq,1560.0,2009
gnq,1545.0,2010
eri,25.79,1995
eri,22.84,1996
eri,28.26,1997
eri,29.01,1998
eri,31.0,1999
eri,29.93,2000
eri,30.97,2001
eri,26.87,2002
eri,21.4,2003
eri,18.61,2004
eri,19.08,2005
eri,18.99,2006
eri,19.59,2007
eri,20.33,2008
eri,15.86,2009
eri,16.01,2010
est,396.4,1995
est,453.0,1996
est,492.2,1997
est,467.6,1998
est,573.8,1999
est,596.1,2000
est,591.0,2001
est,664.2,2002
est,753.3,2003
est,857.6,2004
est,827.5,2005
est,954.7,2006
est,1101.0,2007
est,1311.0,2008
est,1338.0,2009
est,1226.0,2010
eth,11.64,1995
eth,12.89,1996
