geo,population_aged_0_4_years_both_sexes_percent,time
pry,14.35,1995
pry,13.29,2000
pry,12.35,2005
pry,11.47,2010
pry,10.68,2015
pry,9.887,2020
pry,9.137,2025
pry,8.49,2030
pry,7.958,2035
pry,7.521,2040
pry,7.132,2045
pry,6.802,2050
per,16.8,1950
per,17.52,1955
per,17.7,1960
per,17.84,1965
per,17.14,1970
per,16.41,1975
per,15.72,1980
per,14.4,1985
per,13.66,1990
per,12.67,1995
per,11.56,2000
per,10.72,2005
per,10.03,2010
per,9.174,2015
per,8.488,2020
per,7.921,2025
per,7.432,2030
per,6.987,2035
per,6.592,2040
per,6.248,2045
per,5.963,2050
phl,17.5,1950
phl,18.85,1955
phl,18.43,1960
phl,17.95,1965
phl,17.35,1970
phl,16.66,1975
phl,16.25,1980
phl,15.54,1985
phl,15.04,1990
phl,14.28,1995
phl,13.18,2000
phl,12.18,2005
phl,11.62,2010
phl,10.83,2015
phl,10.13,2020
phl,9.45,2025
phl,8.799,2030
phl,8.234,2035
phl,7.738,2040
phl,7.276,2045
phl,6.84,2050
pol,11.88,1950
pol,12.92,1955
pol,11.85,1960
pol,9.001,1965
pol,7.804,1970
pol,8.425,1975
pol,9.113,1980
pol,9.201,1985
pol,7.749,1990
pol,6.438,1995
pol,5.212,2000
pol,4.652,2005
pol,4.864,2010
pol,4.896,2015
pol,4.686,2020
pol,4.299,2025
pol,3.968,2030
pol,3.865,2035
pol,3.985,2040
pol,4.142,2045
pol,4.198,2050
prt,10.53,1950
prt,10.28,1955
prt,10.18,1960
prt,10.51,1965
prt,9.471,1970
prt,9.15,1975
prt,8.294,1980
prt,7.119,1985
prt,5.591,1990
prt,5.479,1995
prt,5.241,2000
prt,5.243,2005
prt,4.882,2010
prt,4.588,2015
prt,4.337,2020
prt,4.165,2025
prt,4.162,2030
prt,4.243,2035
prt,4.306,2040
prt,4.309,2045
prt,4.314,2050
pri,16.54,1950
pri,15.77,1955
pri,15.08,1960
pri,13.93,1965
pri,11.74,1970
