geo,population_aged_15_19_years_total_number,time
egy,9123000,2005
egy,8079000,2010
egy,8381000,2015
egy,8924000,2020
egy,9511000,2025
egy,9769000,2030
egy,9552000,2035
egy,9271000,2040
egy,9181000,2045
egy,9206000,2050
slv,229000,1950
slv,246000,1955
slv,264000,1960
slv,315000,1965
slv,392000,1970
slv,451000,1975
slv,487000,1980
slv,520000,1985
slv,588000,1990
slv,595000,1995
slv,586000,2000
slv,625000,2005
slv,698000,2010
slv,692000,2015
slv,574000,2020
slv,562000,2025
slv,584000,2030
slv,590000,2035
slv,590000,2040
slv,553000,2045
slv,521000,2050
gnq,21000,1950
gnq,21000,1955
gnq,23000,1960
gnq,24000,1965
gnq,29000,1970
gnq,26000,1975
gnq,30000,1980
gnq,38000,1985
gnq,32000,1990
gnq,29000,1995
gnq,45000,2000
gnq,66000,2005
gnq,75000,2010
gnq,81000,2015
gnq,88000,2020
gnq,99000,2025
gnq,113000,2030
gnq,123000,2035
gnq,128000,2040
gnq,131000,2045
gnq,135000,2050
eri,119000,1950
eri,133000,1955
eri,149000,1960
eri,169000,1965
eri,182000,1970
eri,215000,1975
eri,200000,1980
eri,270000,1985
eri,377000,1990
eri,435000,1995
eri,439000,2000
eri,508000,2005
eri,542000,2010
eri,593000,2015
eri,719000,2020
eri,833000,2025
eri,876000,2030
eri,873000,2035
eri,861000,2040
eri,875000,2045
eri,913000,2050
est,97000,1950
est,104000,1955
est,87000,1960
est,92000,1965
est,101000,1970
est,107000,1975
est,103000,1980
est,103000,1985
est,111000,1990
est,100000,1995
est,103000,2000
est,108000,2005
est,77000,2010
est,62000,2015
est,65000,2020
est,78000,2025
est,84000,2030
est,81000,2035
est,74000,2040
est,65000,2045
est,62000,2050
eth,1870000,1950
eth,2086000,1955
eth,2356000,1960
eth,2673000,1965
eth,2897000,1970
eth,3278000,1975
eth,3645000,1980
eth,4279000,1985
eth,4961000,1990
eth,5717000,1995
eth,6708000,2000
eth,8096000,2005
eth,9604000,2010
eth,10700000,2015
eth,11670000,2020
eth,12980000,2025
eth,13970000,2030
eth,14720000,2035
eth,15180000,2040
eth,15380000,2045
eth,15400000,2050
fji,30000,1950
fji,36000,1955
fji,41000,1960
fji,50000,1965
fji,60000,1970
fji,73000,1975
fji,73000,1980
fji,73000,1985
fji,71000,1990
fji,83000,1995
fji,88000,2000
fji,82000,2005
fji,86000,2010
fji,88000,2015
fji,83000,2020
fji,79000,2025
fji,76000,2030
fji,73000,2035
fji,70000,2040
fji,68000,2045
fji,65000,2050
fin,310000,1950
fin,327000,1955
fin,357000,1960
fin,484000,1965
fin,426000,1970
fin,399000,1975
fin,382000,1980
fin,351000,1985
fin,302000,1990
fin,328000,1995
fin,332000,2000
fin,319000,2005
fin,335000,2010
fin,305000,2015
fin,296000,2020
fin,304000,2025
fin,310000,2030
fin,311000,2035
fin,307000,2040
fin,299000,2045
fin,291000,2050
fra,3136000,1950
fra,2834000,1955
fra,2785000,1960
fra,4181000,1965
fra,4153000,1970
fra,4225000,1975
fra,4356000,1980
fra,4272000,1985
fra,4263000,1990
fra,3747000,1995
fra,3921000,2000
fra,3908000,2005
fra,3722000,2010
fra,3768000,2015
fra,4007000,2020
fra,3998000,2025
fra,3827000,2030
fra,3760000,2035
fra,3709000,2040
fra,3711000,2045
fra,3771000,2050
guf,2000,1950
guf,2000,1955
guf,2000,1960
guf,3000,1965
guf,5000,1970
guf,6000,1975
guf,7000,1980
guf,8000,1985
guf,11000,1990
guf,12000,1995
guf,15000,2000
guf,18000,2005
guf,23000,2010
guf,25000,2015
guf,27000,2020
guf,28000,2025
guf,29000,2030
guf,31000,2035
guf,32000,2040
guf,33000,2045
guf,33000,2050
pyf,6000,1950
pyf,7000,1955
pyf,8000,1960
pyf,9000,1965
pyf,11000,1970
pyf,14000,1975
pyf,17000,1980
pyf,20000,1985
pyf,21000,1990
pyf,20000,1995
pyf,23000,2000
pyf,28000,2005
pyf,23000,2010
pyf,24000,2015
pyf,23000,2020
pyf,24000,2025
pyf,24000,2030
pyf,23000,2035
pyf,23000,2040
pyf,22000,2045
pyf,21000,2050
gab,39000,1950
gab,40000,1955
gab,40000,1960
gab,40000,1965
gab,46000,1970
gab,52000,1975
gab,60000,1980
gab,70000,1985
gab,87000,1990
gab,108000,1995
gab,129000,2000
gab,148000,2005
gab,171000,2010
gab,172000,2015
gab,174000,2020
gab,179000,2025
gab,187000,2030
gab,193000,2035
gab,194000,2040
gab,193000,2045
gab,191000,2050
gmb,26000,1950
gmb,29000,1955
gmb,33000,1960
gmb,36000,1965
gmb,35000,1970
gmb,44000,1975
gmb,55000,1980
gmb,68000,1985
gmb,85000,1990
gmb,105000,1995
gmb,126000,2000
gmb,151000,2005
gmb,183000,2010
gmb,215000,2015
gmb,242000,2020
gmb,264000,2025
gmb,285000,2030
gmb,302000,2035
gmb,317000,2040
gmb,329000,2045
gmb,338000,2050
geo,340000,1950
geo,409000,1955
geo,280000,1960
geo,300000,1965
geo,402000,1970
geo,476000,1975
geo,480000,1980
geo,421000,1985
geo,413000,1990
geo,381000,1995
geo,375000,2000
geo,393000,2005
geo,332000,2010
geo,226000,2015
geo,215000,2020
geo,236000,2025
geo,229000,2030
geo,215000,2035
geo,194000,2040
geo,177000,2045
geo,172000,2050
deu,4934000,1950
deu,6176000,1955
deu,5316000,1960
deu,4598000,1965
deu,5334000,1970
deu,5841000,1975
deu,6643000,1980
deu,6130000,1985
deu,4472000,1990
deu,4324000,1995
deu,4645000,2000
deu,4838000,2005
deu,4259000,2010
deu,3991000,2015
deu,3696000,2020
deu,3415000,2025
deu,3315000,2030
deu,3349000,2035
deu,3308000,2040
deu,3203000,2045
deu,3086000,2050
gha,516000,1950
gha,604000,1955
gha,711000,1960
gha,831000,1965
gha,847000,1970
gha,1005000,1975
gha,1152000,1980
gha,1398000,1985
gha,1627000,1990
gha,1871000,1995
gha,2122000,2000
gha,2383000,2005
gha,2605000,2010
gha,2776000,2015
gha,2972000,2020
gha,3217000,2025
gha,3440000,2030
gha,3574000,2035
gha,3680000,2040
gha,3751000,2045
gha,3844000,2050
grc,784000,1950
grc,768000,1955
grc,626000,1960
grc,723000,1965
grc,660000,1970
grc,705000,1975
grc,725000,1980
grc,775000,1985
grc,759000,1990
grc,806000,1995
grc,738000,2000
grc,608000,2005
grc,556000,2010
grc,537000,2015
grc,535000,2020
grc,557000,2025
grc,533000,2030
grc,509000,2035
grc,489000,2040
grc,485000,2045
grc,493000,2050
grd,7000,1950
grd,8000,1955
grd,7000,1960
grd,9000,1965
grd,10000,1970
grd,12000,1975
grd,12000,1980
grd,12000,1985
grd,10000,1990
grd,10000,1995
grd,12000,2000
grd,13000,2005
grd,11000,2010
grd,9000,2015
grd,9000,2020
grd,9000,2025
grd,9000,2030
grd,9000,2035
grd,8000,2040
grd,7000,2045
grd,6000,2050
glp,19000,1950
glp,20000,1955
glp,23000,1960
glp,33000,1965
glp,36000,1970
glp,37000,1975
glp,40000,1980
glp,41000,1985
glp,42000,1990
glp,38000,1995
glp,35000,2000
glp,36000,2005
glp,33000,2010
glp,31000,2015
glp,33000,2020
glp,31000,2025
glp,30000,2030
glp,29000,2035
glp,27000,2040
glp,26000,2045
glp,25000,2050
gum,7000,1950
gum,6000,1955
gum,5000,1960
gum,6000,1965
gum,8000,1970
gum,9000,1975
gum,11000,1980
gum,12000,1985
gum,12000,1990
gum,12000,1995
gum,13000,2000
gum,14000,2005
