geo,population_aged_60plus_years_total_number,time
eth,959000,1960
eth,1118000,1965
eth,1303000,1970
eth,1514000,1975
eth,1649000,1980
eth,1902000,1985
eth,2231000,1990
eth,2632000,1995
eth,3089000,2000
eth,3642000,2005
eth,4299000,2010
eth,4991000,2015
eth,5796000,2020
eth,6814000,2025
eth,8054000,2030
eth,9549000,2035
eth,11350000,2040
eth,13640000,2045
eth,16660000,2050
fji,12000,1950
fji,14000,1955
fji,15000,1960
fji,16000,1965
fji,20000,1970
fji,26000,1975
fji,28000,1980
fji,32000,1985
fji,35000,1990
fji,39000,1995
fji,47000,2000
fji,56000,2005
fji,69000,2010
fji,83000,2015
fji,99000,2020
fji,115000,2025
fji,124000,2030
fji,130000,2035
fji,145000,2040
fji,163000,2045
fji,178000,2050
fin,408000,1950
fin,439000,1955
fin,494000,1960
fin,559000,1965
fin,652000,1970
fin,732000,1975
fin,782000,1980
fin,854000,1985
fin,921000,1990
fin,968000,1995
fin,1027000,2000
fin,1120000,2005
fin,1320000,2010
fin,1470000,2015
fin,1583000,2020
fin,1678000,2025
fin,1727000,2030
fin,1722000,2035
fin,1726000,2040
fin,1735000,2045
fin,1735000,2050
fra,6794000,1950
fra,7094000,1955
fra,7708000,1960
fra,8562000,1965
fra,9213000,1970
fra,9659000,1975
fra,9325000,1980
fra,10130000,1985
fra,10980000,1990
fra,11800000,1995
fra,12240000,2000
fra,12740000,2005
fra,14520000,2010
fra,16130000,2015
fra,17590000,2020
fra,19000000,2025
fra,20190000,2030
fra,21170000,2035
fra,21510000,2040
fra,21850000,2045
fra,22040000,2050
guf,2000,1950
guf,3000,1955
guf,3000,1960
guf,3000,1965
guf,3000,1970
guf,3000,1975
guf,4000,1980
guf,5000,1985
guf,6000,1990
guf,8000,1995
guf,9000,2000
guf,11000,2005
guf,16000,2010
guf,20000,2015
guf,28000,2020
guf,37000,2025
guf,46000,2030
guf,55000,2035
guf,62000,2040
guf,70000,2045
guf,80000,2050
pyf,2000,1950
pyf,3000,1955
pyf,3000,1960
pyf,4000,1965
pyf,4000,1970
pyf,6000,1975
pyf,7000,1980
pyf,8000,1985
pyf,11000,1990
pyf,12000,1995
pyf,17000,2000
pyf,20000,2005
pyf,24000,2010
pyf,31000,2015
pyf,38000,2020
pyf,47000,2025
pyf,59000,2030
pyf,67000,2035
pyf,70000,2040
pyf,78000,2045
pyf,89000,2050
gab,54000,1950
gab,54000,1955
gab,54000,1960
gab,55000,1965
gab,58000,1970
gab,59000,1975
gab,64000,1980
gab,69000,1985
gab,75000,1990
gab,79000,1995
gab,83000,2000
gab,86000,2005
gab,97000,2010
gab,115000,2015
gab,136000,2020
gab,162000,2025
gab,189000,2030
gab,219000,2035
gab,252000,2040
gab,296000,2045
gab,349000,2050
gmb,12000,1950
gmb,14000,1955
gmb,18000,1960
gmb,19000,1965
gmb,22000,1970
gmb,24000,1975
gmb,29000,1980
gmb,35000,1985
gmb,41000,1990
gmb,51000,1995
gmb,63000,2000
gmb,75000,2005
gmb,85000,2010
gmb,98000,2015
gmb,115000,2020
gmb,135000,2025
gmb,163000,2030
gmb,197000,2035
gmb,234000,2040
gmb,280000,2045
gmb,333000,2050
geo,526000,1950
geo,522000,1955
geo,507000,1960
geo,527000,1965
geo,564000,1970
geo,608000,1975
geo,620000,1980
geo,678000,1985
geo,818000,1990
geo,819000,1995
geo,872000,2000
geo,807000,2005
geo,807000,2010
geo,847000,2015
geo,917000,2020
geo,1000000,2025
geo,1018000,2030
geo,1022000,2035
geo,1020000,2040
geo,1023000,2045
geo,1060000,2050
deu,9983000,1950
deu,11100000,1955
deu,12580000,1960
deu,14240000,1965
deu,15530000,1970
deu,16070000,1975
deu,15100000,1980
deu,15480000,1985
deu,16220000,1990
deu,16990000,1995
deu,19040000,2000
