surface_area_sq_km,geo,time
13880.0,bhs,1964
13880.0,bhs,1965
13880.0,bhs,1966
13880.0,bhs,1967
13880.0,bhs,1968
13880.0,bhs,1969
13880.0,bhs,1970
13880.0,bhs,1971
13880.0,bhs,1972
13880.0,bhs,1973
13880.0,bhs,1974
13880.0,bhs,1975
13880.0,bhs,1976
13880.0,bhs,1977
13880.0,bhs,1978
13880.0,bhs,1979
13880.0,bhs,1980
13880.0,bhs,1981
13880.0,bhs,1982
13880.0,bhs,1983
13880.0,bhs,1984
13880.0,bhs,1985
13880.0,bhs,1986
13880.0,bhs,1987
13880.0,bhs,1988
13880.0,bhs,1989
13880.0,bhs,1990
13880.0,bhs,1991
13880.0,bhs,1992
13880.0,bhs,1993
13880.0,bhs,1994
13880.0,bhs,1995
13880.0,bhs,1996
13880.0,bhs,1997
13880.0,bhs,1998
13880.0,bhs,1999
13880.0,bhs,2000
13880.0,bhs,2001
13880.0,bhs,2002
13880.0,bhs,2003
13880.0,bhs,2004
13880.0,bhs,2005
13880.0,bhs,2006
13880.0,bhs,2007
13880.0,bhs,2008
13880.0,bhs,2009
13880.0,bhs,2010
690.0,bhr,1961
690.0,bhr,1962
690.0,bhr,1963
690.0,bhr,1964
690.0,bhr,1965
690.0,bhr,1966
690.0,bhr,1967
690.0,bhr,1968
690.0,bhr,1969
690.0,bhr,1970
690.0,bhr,1971
690.0,bhr,1972
690.0,bhr,1973
690.0,bhr,1974
690.0,bhr,1975
690.0,bhr,1976
690.0,bhr,1977
690.0,bhr,1978
690.0,bhr,1979
690.0,bhr,1980
690.0,bhr,1981
690.0,bhr,1982
690.0,bhr,1983
690.0,bhr,1984
690.0,bhr,1985
690.0,bhr,1986
690.0,bhr,1987
690.0,bhr,1988
690.0,bhr,1989
690.0,bhr,1990
690.0,bhr,1991
710.0,bhr,1992
710.0,bhr,1993
710.0,bhr,1994
710.0,bhr,1995
710.0,bhr,1996
710.0,bhr,1997
710.0,bhr,1998
710.0,bhr,1999
710.0,bhr,2000
710.0,bhr,2001
710.0,bhr,2002
720.0,bhr,2003
730.0,bhr,2004
740.0,bhr,2005
740.0,bhr,2006
750.0,bhr,2007
760.0,bhr,2008
760.0,bhr,2009
760.0,bhr,2010
144000.0,bgd,1961
144000.0,bgd,1962
144000.0,bgd,1963
144000.0,bgd,1964
144000.0,bgd,1965
144000.0,bgd,1966
144000.0,bgd,1967
144000.0,bgd,1968
144000.0,bgd,1969
144000.0,bgd,1970
144000.0,bgd,1971
144000.0,bgd,1972
144000.0,bgd,1973
144000.0,bgd,1974
144000.0,bgd,1975
144000.0,bgd,1976
144000.0,bgd,1977
144000.0,bgd,1978
144000.0,bgd,1979
144000.0,bgd,1980
144000.0,bgd,1981
144000.0,bgd,1982
144000.0,bgd,1983
144000.0,bgd,1984
144000.0,bgd,1985
144000.0,bgd,1986
144000.0,bgd,1987
144000.0,bgd,1988
144000.0,bgd,1989
144000.0,bgd,1990
144000.0,bgd,1991
144000.0,bgd,1992
144000.0,bgd,1993
144000.0,bgd,1994
144000.0,bgd,1995
144000.0,bgd,1996
144000.0,bgd,1997
144000.0,bgd,1998
144000.0,bgd,1999
144000.0,bgd,2000
144000.0,bgd,2001
144000.0,bgd,2002
144000.0,bgd,2003
144000.0,bgd,2004
144000.0,bgd,2005
144000.0,bgd,2006
144000.0,bgd,2007
144000.0,bgd,2008
144000.0,bgd,2009
144000.0,bgd,2010
430.0,brb,1961
430.0,brb,1962
430.0,brb,1963
430.0,brb,1964
430.0,brb,1965
430.0,brb,1966
430.0,brb,1967
430.0,brb,1968
430.0,brb,1969
430.0,brb,1970
430.0,brb,1971
430.0,brb,1972
430.0,brb,1973
430.0,brb,1974
430.0,brb,1975
430.0,brb,1976
430.0,brb,1977
430.0,brb,1978
430.0,brb,1979
430.0,brb,1980
430.0,brb,1981
430.0,brb,1982
430.0,brb,1983
430.0,brb,1984
430.0,brb,1985
430.0,brb,1986
430.0,brb,1987
430.0,brb,1988
430.0,brb,1989
430.0,brb,1990
430.0,brb,1991
430.0,brb,1992
430.0,brb,1993
430.0,brb,1994
430.0,brb,1995
430.0,brb,1996
430.0,brb,1997
430.0,brb,1998
430.0,brb,1999
430.0,brb,2000
430.0,brb,2001
430.0,brb,2002
430.0,brb,2003
430.0,brb,2004
430.0,brb,2005
430.0,brb,2006
430.0,brb,2007
430.0,brb,2008
430.0,brb,2009
430.0,brb,2010
207600.0,blr,1961
207600.0,blr,1962
207600.0,blr,1963
207600.0,blr,1964
207600.0,blr,1965
207600.0,blr,1966
207600.0,blr,1967
207600.0,blr,1968
207600.0,blr,1969
207600.0,blr,1970
207600.0,blr,1971
207600.0,blr,1972
207600.0,blr,1973
207600.0,blr,1974
207600.0,blr,1975
207600.0,blr,1976
207600.0,blr,1977
207600.0,blr,1978
207600.0,blr,1979
207600.0,blr,1980
207600.0,blr,1981
207600.0,blr,1982
207600.0,blr,1983
207600.0,blr,1984
207600.0,blr,1985
207600.0,blr,1986
207600.0,blr,1987
207600.0,blr,1988
207600.0,blr,1989
207600.0,blr,1990
207600.0,blr,1991
207600.0,blr,1992
207600.0,blr,1993
207600.0,blr,1994
207600.0,blr,1995
207600.0,blr,1996
207600.0,blr,1997
207600.0,blr,1998
207600.0,blr,1999
207600.0,blr,2000
207600.0,blr,2001
207600.0,blr,2002
207600.0,blr,2003
207600.0,blr,2004
207600.0,blr,2005
207600.0,blr,2006
207600.0,blr,2007
207600.0,blr,2008
207600.0,blr,2009
207600.0,blr,2010
30530.0,bel,2000
30530.0,bel,2001
30530.0,bel,2002
30530.0,bel,2003
30530.0,bel,2004
30530.0,bel,2005
30530.0,bel,2006
30530.0,bel,2007
30530.0,bel,2008
30530.0,bel,2009
30530.0,bel,2010
22970.0,blz,1961
22970.0,blz,1962
22970.0,blz,1963
22970.0,blz,1964
22970.0,blz,1965
22970.0,blz,1966
22970.0,blz,1967
22970.0,blz,1968
22970.0,blz,1969
22970.0,blz,1970
22970.0,blz,1971
22970.0,blz,1972
22970.0,blz,1973
22970.0,blz,1974
22970.0,blz,1975
22970.0,blz,1976
22970.0,blz,1977
22970.0,blz,1978
22970.0,blz,1979
22970.0,blz,1980
22970.0,blz,1981
22970.0,blz,1982
