geo,population_density_per_square_km,time
blr,46.52,1980
blr,46.84,1981
blr,47.17,1982
blr,47.51,1983
blr,47.84,1984
blr,48.16,1985
blr,48.47,1986
blr,48.76,1987
blr,49.02,1988
blr,49.25,1989
blr,49.42,1990
blr,49.54,1991
blr,49.61,1992
blr,49.62,1993
blr,49.58,1994
blr,49.49,1995
blr,49.35,1996
blr,49.15,1997
blr,48.93,1998
blr,48.69,1999
blr,48.45,2000
blr,48.22,2001
blr,47.99,2002
blr,47.77,2003
blr,47.55,2004
blr,47.33,2005
blr,47.09,2006
blr,46.86,2007
blr,46.63,2008
blr,46.42,2009
blr,46.22,2010
bel,282.6,1950
bel,283.9,1951
bel,285.3,1952
bel,286.9,1953
bel,288.7,1954
bel,290.4,1955
bel,292.3,1956
bel,294.1,1957
bel,296.0,1958
bel,297.9,1959
bel,299.8,1960
bel,301.8,1961
bel,303.7,1962
bel,305.6,1963
bel,307.4,1964
bel,309.1,1965
bel,310.5,1966
bel,311.8,1967
bel,313.0,1968
bel,314.1,1969
bel,315.3,1970
bel,316.5,1971
bel,317.6,1972
bel,318.8,1973
bel,319.8,1974
bel,320.6,1975
bel,321.3,1976
bel,321.8,1977
bel,322.2,1978
bel,322.5,1979
bel,322.6,1980
bel,322.5,1981
bel,322.4,1982
bel,322.2,1983
bel,322.2,1984
bel,322.3,1985
bel,322.7,1986
bel,323.4,1987
bel,324.1,1988
bel,325.0,1989
bel,325.9,1990
bel,326.8,1991
bel,327.7,1992
bel,328.6,1993
bel,329.5,1994
bel,330.2,1995
bel,330.8,1996
bel,331.3,1997
bel,331.8,1998
bel,332.4,1999
bel,333.3,2000
bel,334.5,2001
bel,335.9,2002
bel,337.5,2003
bel,339.3,2004
bel,341.1,2005
bel,343.1,2006
bel,345.2,2007
bel,347.3,2008
bel,349.2,2009
bel,350.9,2010
blz,3.001,1950
blz,3.098,1951
blz,3.191,1952
blz,3.285,1953
blz,3.38,1954
blz,3.479,1955
blz,3.583,1956
blz,3.692,1957
blz,3.804,1958
blz,3.918,1959
blz,4.033,1960
blz,4.149,1961
blz,4.266,1962
blz,4.385,1963
blz,4.509,1964
blz,4.639,1965
blz,4.777,1966
