geo,liver_cancer_deaths_per_100000_women,time
mex,1.37,1989
mex,1.06,1990
mex,0.93,1991
mex,1.42,1992
mex,1.05,1993
mex,1.02,1994
mex,1.16,1995
mex,1.24,1996
mex,1.34,1997
mex,5.54,1998
mex,5.17,1999
mex,5.69,2000
mex,5.52,2001
mex,5.49,2002
mda,1.86,1991
mda,1.92,1992
mda,2.83,1993
mda,2.89,1994
mda,2.47,1995
mda,3.69,1996
mda,3.68,1997
mda,2.93,1998
mda,2.76,1999
mda,2.36,2000
mda,2.92,2001
mda,3.62,2002
mng,47.3,2002
mar,1.1,2002
moz,41.8,2002
mmr,3.5,2002
nam,1.7,2002
npl,1.3,2002
nld,0.59,1979
nld,0.8,1980
nld,0.38,1981
nld,0.42,1982
nld,0.56,1983
nld,0.44,1984
nld,0.51,1985
nld,0.45,1986
nld,0.56,1987
nld,0.51,1988
nld,0.4,1989
nld,0.46,1990
nld,0.49,1991
nld,0.42,1992
nld,0.4,1993
nld,0.42,1994
nld,0.69,1995
nld,1.17,1996
nld,1.28,1997
nld,1.13,1998
nld,1.19,1999
nld,1.24,2000
nld,1.34,2001
nld,1.15,2002
nzl,1.01,1958
nzl,0.64,1959
nzl,0.52,1966
nzl,0.88,1967
nzl,0.87,1979
nzl,0.74,1980
nzl,0.65,1981
nzl,1.06,1982
nzl,0.84,1983
nzl,0.83,1984
nzl,0.44,1985
nzl,0.56,1986
nzl,0.43,1987
nzl,0.77,1988
nzl,0.72,1989
nzl,0.84,1990
nzl,0.81,1991
nzl,0.66,1992
nzl,0.77,1993
nzl,0.77,1994
nzl,0.73,1995
nzl,0.9,1996
nzl,1.01,1997
nzl,0.65,1998
nzl,0.52,1999
nzl,1.45,2000
nzl,1.23,2001
nzl,1.77,2002
nic,0.91,1988
nic,0.51,1989
nic,0.21,1990
nic,0.36,1991
nic,0.91,1992
nic,0.52,1993
nic,1.01,1994
nic,1.7,1996
nic,4.85,1997
nic,4.55,1998
nic,5.67,1999
nic,5.38,2000
nic,6.48,2001
nic,6.47,2002
ner,8.5,2002
nga,3.0,2002
nor,0.97,1986
nor,0.68,1987
nor,0.42,1989
nor,0.38,1990
nor,0.39,1991
nor,0.3,1992
nor,0.4,1993
nor,0.36,1994
nor,0.32,1995
nor,0.61,1996
nor,0.49,1997
nor,0.58,1998
nor,1.21,1999
nor,0.94,2000
nor,1.1,2001
nor,0.56,2002
omn,2.9,2002
pak,3.4,2002
pan,0.69,1979
pan,1.48,1980
