geo,sex_ratio_above_50_years,time
isr,83.1,2000
isr,83.74,2005
isr,84.25,2010
isr,85.27,2015
isr,86.48,2020
isr,88.17,2025
isr,89.82,2030
isr,90.96,2035
isr,91.76,2040
isr,92.56,2045
isr,93.51,2050
ita,82.88,1950
ita,83.06,1955
ita,83.39,1960
ita,83.08,1965
ita,81.52,1970
ita,80.25,1975
ita,79.37,1980
ita,79.54,1985
ita,79.67,1990
ita,79.7,1995
ita,80.84,2000
ita,81.63,2005
ita,82.45,2010
ita,83.56,2015
ita,84.9,2020
ita,86.09,2025
ita,86.87,2030
ita,87.28,2035
ita,87.44,2040
ita,87.41,2045
ita,87.31,2050
jam,82.38,1950
jam,84.98,1955
jam,84.31,1960
jam,87.48,1965
jam,88.16,1970
jam,88.04,1975
jam,88.92,1980
jam,89.39,1985
jam,88.22,1990
jam,92.77,1995
jam,94.14,2000
jam,91.78,2005
jam,91.07,2010
jam,89.08,2015
jam,86.32,2020
jam,83.3,2025
jam,79.96,2030
jam,78.25,2035
jam,78.22,2040
jam,79.09,2045
jam,79.94,2050
jpn,89.69,1950
jpn,90.53,1955
jpn,89.36,1960
jpn,87.01,1965
jpn,82.64,1970
jpn,79.56,1975
jpn,81.01,1980
jpn,82.32,1985
jpn,83.13,1990
jpn,83.89,1995
jpn,84.98,2000
jpn,84.82,2005
jpn,84.4,2010
jpn,84.11,2015
jpn,83.88,2020
jpn,84.01,2025
jpn,84.02,2030
jpn,83.91,2035
jpn,83.72,2040
jpn,83.65,2045
jpn,83.68,2050
jor,119.6,1950
jor,113.6,1955
jor,107.7,1960
jor,102.8,1965
jor,97.75,1970
jor,93.28,1975
jor,103.4,1980
jor,108.9,1985
jor,102.9,1990
jor,109.8,1995
jor,105.3,2000
jor,102.4,2005
jor,101.0,2010
jor,99.19,2015
jor,98.89,2020
jor,98.78,2025
jor,99.25,2030
jor,98.69,2035
jor,97.82,2040
jor,97.11,2045
jor,96.19,2050
kaz,95.12,1950
kaz,79.82,1955
kaz,70.82,1960
kaz,63.25,1965
kaz,58.53,1970
kaz,55.71,1975
kaz,59.91,1980
kaz,63.2,1985
kaz,67.8,1990
kaz,68.61,1995
kaz,67.26,2000
kaz,66.35,2005
