imports_percent_of_gdp,geo,time
33.81,caf,1972
36.49,caf,1973
43.34,caf,1974
39.92,caf,1975
29.33,caf,1976
34.32,caf,1977
33.89,caf,1978
35.13,caf,1979
41.08,caf,1980
34.06,caf,1981
34.22,caf,1982
36.62,caf,1983
35.5,caf,1984
32.5,caf,1985
30.58,caf,1986
29.08,caf,1987
25.65,caf,1988
26.05,caf,1989
27.63,caf,1990
22.36,caf,1991
24.11,caf,1992
22.33,caf,1993
29.7,caf,1994
27.69,caf,1995
21.04,caf,1996
24.93,caf,1997
25.25,caf,1998
14.56,caf,1999
24.1,caf,2000
21.01,caf,2001
20.14,caf,2002
18.02,caf,2003
19.4,caf,2004
21.39,caf,2005
21.91,caf,2006
22.48,caf,2007
23.59,caf,2008
22.69,caf,2009
17.04,tcd,1960
18.56,tcd,1961
19.63,tcd,1962
19.21,tcd,1963
21.33,tcd,1964
17.81,tcd,1965
17.96,tcd,1966
18.16,tcd,1967
18.69,tcd,1968
17.7,tcd,1969
22.05,tcd,1970
21.06,tcd,1971
19.38,tcd,1972
23.5,tcd,1973
26.8,tcd,1974
25.85,tcd,1975
26.38,tcd,1976
28.37,tcd,1977
27.97,tcd,1978
34.64,tcd,1979
28.87,tcd,1980
22.66,tcd,1981
13.49,tcd,1982
23.54,tcd,1983
24.05,tcd,1984
31.33,tcd,1985
35.38,tcd,1986
36.43,tcd,1987
30.1,tcd,1988
31.41,tcd,1989
27.91,tcd,1990
24.4,tcd,1991
24.81,tcd,1992
29.32,tcd,1993
34.88,tcd,1994
33.77,tcd,1995
29.07,tcd,1996
30.77,tcd,1997
29.57,tcd,1998
32.19,tcd,1999
34.68,tcd,2000
49.66,tcd,2001
113.7,tcd,2002
58.75,tcd,2003
50.76,tcd,2004
43.84,tcd,2005
41.14,tcd,2006
52.3,tcd,2007
50.2,tcd,2008
70.1,tcd,2009
68.7,tcd,2010
15.71,chl,1960
16.06,chl,1961
13.62,chl,1962
14.49,chl,1963
13.35,chl,1964
12.56,chl,1965
13.7,chl,1966
13.13,chl,1967
13.16,chl,1968
14.19,chl,1969
14.02,chl,1970
12.02,chl,1971
13.23,chl,1972
15.47,chl,1973
19.71,chl,1974
27.41,chl,1975
20.8,chl,1976
22.42,chl,1977
23.93,chl,1978
26.11,chl,1979
26.98,chl,1980
26.75,chl,1981
21.25,chl,1982
21.32,chl,1983
25.34,chl,1984
25.71,chl,1985
26.03,chl,1986
27.22,chl,1987
27.25,chl,1988
30.65,chl,1989
30.55,chl,1990
27.77,chl,1991
28.17,chl,1992
28.62,chl,1993
26.57,chl,1994
27.1,chl,1995
28.97,chl,1996
29.2,chl,1997
29.57,chl,1998
27.33,chl,1999
29.73,chl,2000
31.77,chl,2001
31.62,chl,2002
32.41,chl,2003
31.58,chl,2004
32.81,chl,2005
30.71,chl,2006
33.24,chl,2007
41.07,chl,2008
31.21,chl,2009
31.85,chl,2010
2.705,chn,1970
3.017,chn,1971
3.428,chn,1972
3.783,chn,1973
5.26,chn,1974
4.568,chn,1975
4.473,chn,1976
4.318,chn,1977
7.068,chn,1978
9.439,chn,1979
11.01,chn,1980
12.07,chn,1981
9.302,chn,1982
9.066,chn,1983
10.39,chn,1984
13.29,chn,1985
12.48,chn,1986
14.38,chn,1987
16.15,chn,1988
15.34,chn,1989
13.09,chn,1990
14.31,chn,1991
17.47,chn,1992
22.33,chn,1993
19.95,chn,1994
18.58,chn,1995
18.0,chn,1996
17.26,chn,1997
16.05,chn,1998
17.52,chn,1999
20.92,chn,2000
20.48,chn,2001
22.56,chn,2002
27.36,chn,2003
