democracy_score_use_as_color,geo,time
6.0,bgd,1991
6.0,bgd,1992
6.0,bgd,1993
6.0,bgd,1994
6.0,bgd,1995
6.0,bgd,1996
6.0,bgd,1997
6.0,bgd,1998
6.0,bgd,1999
6.0,bgd,2000
6.0,bgd,2001
6.0,bgd,2002
6.0,bgd,2003
6.0,bgd,2004
6.0,bgd,2005
6.0,bgd,2006
-6.0,bgd,2007
-6.0,bgd,2008
5.0,bgd,2009
5.0,bgd,2010
5.0,bgd,2011
-7.0,blr,1923
-7.0,blr,1924
-7.0,blr,1925
-7.0,blr,1926
-8.0,blr,1927
-8.0,blr,1928
-8.0,blr,1929
-8.0,blr,1930
-8.0,blr,1931
-8.0,blr,1932
-9.0,blr,1933
-9.0,blr,1934
-9.0,blr,1935
-9.0,blr,1936
-9.0,blr,1937
-9.0,blr,1938
-9.0,blr,1939
-9.0,blr,1940
-9.0,blr,1941
-9.0,blr,1942
-9.0,blr,1943
-9.0,blr,1944
-9.0,blr,1945
-9.0,blr,1946
-9.0,blr,1947
-9.0,blr,1948
-9.0,blr,1949
-9.0,blr,1950
-9.0,blr,1951
-9.0,blr,1952
-7.0,blr,1953
-7.0,blr,1954
-7.0,blr,1955
-7.0,blr,1956
-7.0,blr,1957
-7.0,blr,1958
-7.0,blr,1959
-7.0,blr,1960
-7.0,blr,1961
-7.0,blr,1962
-7.0,blr,1963
-7.0,blr,1964
-7.0,blr,1965
-7.0,blr,1966
-7.0,blr,1967
-7.0,blr,1968
-7.0,blr,1969
-7.0,blr,1970
-7.0,blr,1971
-7.0,blr,1972
-7.0,blr,1973
-7.0,blr,1974
-7.0,blr,1975
-7.0,blr,1976
-7.0,blr,1977
-7.0,blr,1978
-7.0,blr,1979
-7.0,blr,1980
-7.0,blr,1981
-7.0,blr,1982
-7.0,blr,1983
-7.0,blr,1984
-7.0,blr,1985
-7.0,blr,1986
-7.0,blr,1987
-6.0,blr,1988
-4.0,blr,1989
0.0,blr,1990
7.0,blr,1991
7.0,blr,1992
7.0,blr,1993
7.0,blr,1994
0.0,blr,1995
-7.0,blr,1996
-7.0,blr,1997
-7.0,blr,1998
-7.0,blr,1999
-7.0,blr,2000
-7.0,blr,2001
-7.0,blr,2002
-7.0,blr,2003
-7.0,blr,2004
-7.0,blr,2005
-7.0,blr,2006
-7.0,blr,2007
-7.0,blr,2008
-7.0,blr,2009
-7.0,blr,2010
-7.0,blr,2011
-4.0,bel,1830
-4.0,bel,1831
-4.0,bel,1832
-4.0,bel,1833
-4.0,bel,1834
-4.0,bel,1835
-4.0,bel,1836
-4.0,bel,1837
-4.0,bel,1838
-4.0,bel,1839
-4.0,bel,1840
-4.0,bel,1841
-4.0,bel,1842
-4.0,bel,1843
-4.0,bel,1844
-4.0,bel,1845
-4.0,bel,1846
-4.0,bel,1847
-4.0,bel,1848
-4.0,bel,1849
-4.0,bel,1850
-4.0,bel,1851
-4.0,bel,1852
6.0,bel,1853
6.0,bel,1854
6.0,bel,1855
6.0,bel,1856
6.0,bel,1857
6.0,bel,1858
6.0,bel,1859
6.0,bel,1860
6.0,bel,1861
6.0,bel,1862
6.0,bel,1863
6.0,bel,1864
6.0,bel,1865
6.0,bel,1866
6.0,bel,1867
6.0,bel,1868
6.0,bel,1869
6.0,bel,1870
6.0,bel,1871
6.0,bel,1872
6.0,bel,1873
6.0,bel,1874
6.0,bel,1875
6.0,bel,1876
6.0,bel,1877
6.0,bel,1878
6.0,bel,1879
6.0,bel,1880
