internet_users_per_100_people,geo,time
1.9,tcd,2011
0.0,chl,1990
0.03655,chl,1992
0.07178,chl,1993
0.1411,chl,1994
0.347,chl,1995
0.6835,chl,1996
1.057,chl,1997
1.662,chl,1998
4.103,chl,1999
16.6,chl,2000
19.1,chl,2001
22.1,chl,2002
25.47,chl,2003
28.18,chl,2004
31.18,chl,2005
34.5,chl,2006
35.9,chl,2007
37.3,chl,2008
38.8,chl,2009
45.0,chl,2010
53.89,chl,2011
0.0,chn,1990
0.0001701,chn,1993
0.001178,chn,1994
0.004992,chn,1995
0.01317,chn,1996
0.0326,chn,1997
0.1695,chn,1998
0.712,chn,1999
1.785,chn,2000
2.652,chn,2001
4.616,chn,2002
6.224,chn,2003
7.325,chn,2004
8.549,chn,2005
10.55,chn,2006
16.04,chn,2007
22.66,chn,2008
28.98,chn,2009
34.39,chn,2010
38.4,chn,2011
0.0,col,1990
0.1072,col,1994
0.188,col,1995
0.33,col,1996
0.5505,col,1997
1.126,col,1998
1.698,col,1999
2.208,col,2000
2.854,col,2001
4.6,col,2002
7.389,col,2003
9.119,col,2004
11.01,col,2005
15.34,col,2006
21.8,col,2007
25.6,col,2008
30.0,col,2009
36.5,col,2010
40.4,col,2011
0.0,com,1990
0.0,com,1997
0.03787,com,1998
0.1482,com,1999
0.2717,com,2000
0.4431,com,2001
0.5549,com,2002
0.8482,com,2003
1.327,com,2004
2.0,com,2005
2.2,com,2006
2.5,com,2007
3.0,com,2008
3.5,com,2009
5.1,com,2010
5.5,com,2011
0.0,cod,1990
0.0001082,cod,1996
0.0002112,cod,1997
0.0004131,cod,1998
0.001009,cod,1999
0.005902,cod,2000
0.01148,cod,2001
0.09279,cod,2002
0.1349,cod,2003
0.1962,cod,2004
0.238,cod,2005
0.2961,cod,2006
0.37,cod,2007
0.44,cod,2008
0.56,cod,2009
0.72,cod,2010
1.2,cod,2011
0.0,cog,1990
0.003527,cog,1996
0.003469,cog,1997
0.003415,cog,1998
0.01679,cog,1999
0.02635,cog,2000
0.03222,cog,2001
0.1572,cog,2002
0.46,cog,2003
1.078,cog,2004
1.463,cog,2005
2.008,cog,2006
2.76,cog,2007
4.288,cog,2008
4.5,cog,2009
5.0,cog,2010
5.6,cog,2011
0.0,cri,1990
0.001113,cri,1992
0.08151,cri,1993
0.2799,cri,1994
0.4168,cri,1995
0.8411,cri,1996
1.64,cri,1997
2.666,cri,1998
3.904,cri,1999
5.8,cri,2000
9.559,cri,2001
19.89,cri,2002
20.33,cri,2003
20.79,cri,2004
22.07,cri,2005
25.1,cri,2006
28.4,cri,2007
32.29,cri,2008
34.33,cri,2009
36.5,cri,2010
42.12,cri,2011
0.0,civ,1990
0.0002003,civ,1995
0.00841,civ,1996
0.01883,civ,1997
0.06097,civ,1998
0.1187,civ,1999
0.2315,civ,2000
0.3957,civ,2001
0.4979,civ,2002
0.7587,civ,2003
0.8493,civ,2004
1.039,civ,2005
1.525,civ,2006
1.8,civ,2007
1.9,civ,2008
2.0,civ,2009
2.1,civ,2010
2.2,civ,2011
0.0,hrv,1990
0.09698,hrv,1993
0.2688,hrv,1994
0.514,hrv,1995
0.8901,hrv,1996
1.75,hrv,1997
3.333,hrv,1998
4.392,hrv,1999
6.764,hrv,2000
11.67,hrv,2001
17.86,hrv,2002
22.83,hrv,2003
30.98,hrv,2004
33.14,hrv,2005
37.93,hrv,2006
