geo,forest_coverage_percent,time
asm,90.0,1990
asm,90.0,2000
asm,90.0,2005
aus,21.86,1990
aus,21.43,2000
aus,21.31,2005
cok,65.22,1990
cok,69.57,2000
cok,69.57,2005
fji,53.59,1990
fji,54.73,2000
fji,54.73,2005
pyf,28.69,1990
pyf,28.69,2000
pyf,28.69,2005
gum,47.27,1990
gum,47.27,2000
gum,47.27,2005
kir,2.74,1990
kir,2.74,2000
kir,2.74,2005
fsm,90.0,1990
fsm,90.0,2000
fsm,90.0,2005
ncl,39.22,1990
ncl,39.22,2000
ncl,39.22,2005
nzl,28.81,1990
nzl,30.7,2000
nzl,31.0,2005
niu,65.38,1990
niu,57.69,2000
niu,53.85,2005
mnp,76.09,1990
mnp,73.91,2000
mnp,71.74,2005
plw,82.61,1990
plw,86.96,2000
plw,86.96,2005
png,69.61,1990
png,66.54,2000
png,65.0,2005
pcn,100.0,1990
pcn,100.0,2000
pcn,100.0,2005
wsm,45.94,1990
wsm,60.42,2000
wsm,60.42,2005
slb,98.89,1990
slb,84.71,2000
slb,77.6,2005
ton,5.56,1990
ton,5.56,2000
ton,5.56,2005
tuv,33.33,1990
tuv,33.33,2000
tuv,33.33,2005
vut,36.1,1990
vut,36.1,2000
vut,36.1,2005
wlf,30.0,1990
wlf,25.0,2000
wlf,25.0,2005
arg,12.88,1990
arg,12.34,2000
arg,12.07,2005
bol,57.91,1990
bol,55.42,2000
bol,54.17,2005
bra,61.47,1990
bra,58.3,2000
bra,56.47,2005
chl,20.38,1990
chl,21.15,2000
chl,21.53,2005
col,59.15,1990
col,58.69,2000
col,58.47,2005
ecu,49.91,1990
ecu,42.77,2000
ecu,39.2,2005
guf,91.79,1990
guf,91.47,2000
guf,91.47,2005
guy,76.73,1990
guy,76.73,2000
guy,76.73,2005
pry,53.25,1990
pry,48.75,2000
pry,46.5,2005
per,54.81,1990
per,54.07,2000
per,53.7,2005
sur,94.72,1990
sur,94.72,2000
sur,94.72,2005
ury,5.17,1990
ury,8.05,2000
ury,8.6,2005
ven,58.98,1990
ven,55.72,2000
ven,54.09,2005
