agriculture_percent_of_gdp,geo,time
2.906,can,1995
3.003,can,1996
2.501,can,1997
2.576,can,1998
2.483,can,1999
2.276,can,2000
2.238,can,2001
2.179,can,2002
2.1,can,2003
2.167,can,2004
1.841,can,2005
1.661,can,2006
1.686,can,2007
1.907,can,2008
18.56,cpv,1980
15.77,cpv,1981
12.58,cpv,1982
12.06,cpv,1983
11.86,cpv,1984
12.99,cpv,1985
13.63,cpv,1986
17.65,cpv,1987
17.7,cpv,1988
16.21,cpv,1989
14.41,cpv,1990
13.42,cpv,1991
11.82,cpv,1992
10.16,cpv,1993
12.89,cpv,1994
13.71,cpv,1995
12.48,cpv,1996
11.7,cpv,1997
10.97,cpv,1998
13.68,cpv,1999
12.9,cpv,2000
11.44,cpv,2001
10.37,cpv,2002
10.16,cpv,2003
9.883,cpv,2004
9.019,cpv,2005
8.338,cpv,2006
7.2,cpv,2007
6.39,cpv,2008
8.838,cpv,2009
9.931,cpv,2010
10.36,cpv,2011
46.26,caf,1965
42.15,caf,1966
39.52,caf,1967
39.08,caf,1968
37.84,caf,1969
35.47,caf,1970
37.25,caf,1971
38.49,caf,1972
39.16,caf,1973
39.49,caf,1974
37.75,caf,1975
40.12,caf,1976
40.24,caf,1977
39.74,caf,1978
39.08,caf,1979
40.0,caf,1980
39.67,caf,1981
41.67,caf,1982
40.37,caf,1983
42.03,caf,1984
47.6,caf,1985
50.28,caf,1986
46.86,caf,1987
48.21,caf,1988
46.3,caf,1989
47.59,caf,1990
45.03,caf,1991
46.1,caf,1992
45.65,caf,1993
44.94,caf,1994
46.22,caf,1995
49.7,caf,1996
51.43,caf,1997
53.34,caf,1998
53.87,caf,1999
53.15,caf,2000
54.3,caf,2001
54.31,caf,2002
59.72,caf,2003
55.29,caf,2004
54.44,caf,2005
55.04,caf,2006
53.87,caf,2007
52.89,caf,2008
56.48,caf,2009
39.87,tcd,1961
39.81,tcd,1962
39.73,tcd,1963
38.46,tcd,1964
37.75,tcd,1965
38.5,tcd,1966
42.08,tcd,1967
41.35,tcd,1968
40.85,tcd,1969
39.68,tcd,1970
39.67,tcd,1971
39.52,tcd,1972
38.02,tcd,1973
38.54,tcd,1974
38.29,tcd,1975
37.02,tcd,1976
35.17,tcd,1977
35.77,tcd,1978
40.81,tcd,1979
45.09,tcd,1980
39.75,tcd,1981
39.46,tcd,1982
39.16,tcd,1983
33.61,tcd,1984
38.06,tcd,1985
32.62,tcd,1986
33.11,tcd,1987
36.76,tcd,1988
31.66,tcd,1989
29.28,tcd,1990
36.5,tcd,1991
35.34,tcd,1992
32.46,tcd,1993
37.84,tcd,1994
35.84,tcd,1995
39.0,tcd,1996
39.94,tcd,1997
40.82,tcd,1998
39.75,tcd,1999
42.31,tcd,2000
41.81,tcd,2001
39.44,tcd,2002
33.6,tcd,2003
23.47,tcd,2004
12.27,tcd,2005
11.66,tcd,2006
12.52,tcd,2007
13.63,tcd,2008
10.57,chl,1961
8.899,chl,1962
8.126,chl,1963
8.511,chl,1964
8.743,chl,1965
9.266,chl,1966
8.657,chl,1967
7.725,chl,1968
6.912,chl,1969
6.907,chl,1970
8.181,chl,1971
8.366,chl,1972
6.704,chl,1973
5.754,chl,1974
6.631,chl,1975
8.545,chl,1976
9.999,chl,1977
7.774,chl,1978
7.381,chl,1979
7.253,chl,1980
6.325,chl,1981
5.494,chl,1982
5.863,chl,1983
7.541,chl,1984
7.636,chl,1985
8.965,chl,1986
9.225,chl,1987
8.871,chl,1988
8.687,chl,1989
8.709,chl,1990
9.928,chl,1991
9.934,chl,1992
9.222,chl,1993
9.434,chl,1994
9.239,chl,1995
6.043,chl,1996
5.936,chl,1997
6.122,chl,1998
6.207,chl,1999
6.113,chl,2000
5.369,chl,2001
5.731,chl,2002
5.271,chl,2003
4.719,chl,2004
4.648,chl,2005
4.115,chl,2006
3.913,chl,2007
3.629,chl,2008
3.552,chl,2009
3.448,chl,2010
3.405,chl,2011
35.51,chn,1961
39.29,chn,1962
39.93,chn,1963
38.57,chn,1964
37.94,chn,1965
37.59,chn,1966
40.26,chn,1967
42.15,chn,1968
37.99,chn,1969
35.22,chn,1970
34.05,chn,1971
32.86,chn,1972
33.35,chn,1973
33.88,chn,1974
32.4,chn,1975
32.85,chn,1976
29.42,chn,1977
28.19,chn,1978
31.27,chn,1979
30.17,chn,1980
31.88,chn,1981
33.39,chn,1982
33.18,chn,1983
32.13,chn,1984
28.44,chn,1985
27.14,chn,1986
26.81,chn,1987
25.7,chn,1988
25.1,chn,1989
27.12,chn,1990
24.53,chn,1991
21.79,chn,1992
19.71,chn,1993
19.86,chn,1994
19.96,chn,1995
19.69,chn,1996
18.29,chn,1997
17.56,chn,1998
16.47,chn,1999
15.06,chn,2000
14.39,chn,2001
13.74,chn,2002
12.8,chn,2003
13.39,chn,2004
12.12,chn,2005
11.11,chn,2006
10.77,chn,2007
10.73,chn,2008
10.33,chn,2009
10.1,chn,2010
10.04,chn,2011
29.31,col,1965
28.5,col,1966
28.33,col,1967
28.26,col,1968
27.52,col,1969
25.69,col,1970
24.05,col,1971
24.59,col,1972
24.62,col,1973
24.88,col,1974
24.39,col,1975
24.13,col,1976
25.57,col,1977
23.56,col,1978
22.0,col,1979
19.91,col,1980
19.8,col,1981
19.3,col,1982
19.18,col,1983
17.8,col,1984
17.45,col,1985
18.03,col,1986
18.72,col,1987
17.37,col,1988
16.62,col,1989
16.75,col,1990
17.42,col,1991
15.8,col,1992
13.88,col,1993
16.08,col,1994
15.28,col,1995
13.82,col,1996
13.71,col,1997
14.26,col,1998
13.96,col,1999
8.939,col,2000
8.776,col,2001
8.787,col,2002
8.726,col,2003
8.468,col,2004
8.393,col,2005
8.114,col,2006
7.937,col,2007
7.62,col,2008
7.403,col,2009
7.038,col,2010
6.772,col,2011
34.01,com,1980
34.2,com,1981
33.48,com,1982
34.97,com,1983
34.63,com,1984
36.12,com,1985
37.41,com,1986
37.97,com,1987
39.47,com,1988
40.89,com,1989
41.42,com,1990
39.66,com,1991
39.51,com,1992
39.11,com,1993
37.62,com,1994
40.89,com,1995
40.89,com,1996
40.89,com,1997
40.93,com,1998
40.95,com,1999
48.55,com,2000
49.96,com,2001
50.15,com,2002
50.55,com,2003
50.94,com,2004
51.02,com,2005
45.18,com,2006
45.34,com,2007
45.81,com,2008
46.31,com,2009
20.1,cod,1965
21.63,cod,1966
21.64,cod,1967
21.78,cod,1968
18.0,cod,1969
16.14,cod,1970
14.94,cod,1971
15.18,cod,1972
15.04,cod,1973
15.76,cod,1974
17.73,cod,1975
22.88,cod,1976
23.96,cod,1977
27.5,cod,1978
28.32,cod,1979
26.82,cod,1980
25.93,cod,1981
31.45,cod,1982
34.55,cod,1983
31.44,cod,1984
31.82,cod,1985
33.62,cod,1986
29.73,cod,1987
29.84,cod,1988
28.58,cod,1989
30.96,cod,1990
41.67,cod,1991
49.42,cod,1992
51.72,cod,1993
