geo,external_debt_total_us_not_inflation_adjusted,time
tcd,1707000000,2006
tcd,1797000000,2007
tcd,1749000000,2008
chl,2977000000,1970
chl,3048000000,1971
chl,3540000000,1972
chl,3855000000,1973
chl,5243000000,1974
chl,5519000000,1975
chl,5620000000,1976
chl,5883000000,1977
chl,7374000000,1978
chl,9361000000,1979
chl,12080000000,1980
chl,15660000000,1981
chl,17310000000,1982
chl,17930000000,1983
chl,19740000000,1984
chl,20380000000,1985
chl,21140000000,1986
chl,21490000000,1987
chl,19580000000,1988
chl,18030000000,1989
chl,19230000000,1990
chl,17950000000,1991
chl,19130000000,1992
chl,19990000000,1993
chl,22160000000,1994
chl,22040000000,1995
chl,27460000000,1996
chl,27040000000,1997
chl,33700000000,1998
chl,34790000000,1999
chl,37260000000,2000
chl,38600000000,2001
chl,41190000000,2002
chl,42790000000,2003
chl,43770000000,2004
chl,45450000000,2005
chl,48050000000,2006
chl,56540000000,2007
chl,64280000000,2008
chn,5798000000,1981
chn,8358000000,1982
chn,9609000000,1983
chn,12080000000,1984
chn,16700000000,1985
chn,23720000000,1986
chn,35340000000,1987
chn,42440000000,1988
chn,44930000000,1989
chn,55300000000,1990
chn,60260000000,1991
chn,72430000000,1992
chn,85930000000,1993
chn,100500000000,1994
chn,118100000000,1995
chn,128800000000,1996
chn,146700000000,1997
chn,144000000000,1998
chn,152100000000,1999
chn,145700000000,2000
chn,184800000000,2001
chn,186100000000,2002
chn,208400000000,2003
chn,247700000000,2004
chn,284000000000,2005
chn,325300000000,2006
chn,373800000000,2007
chn,378200000000,2008
col,2236000000,1970
col,2514000000,1971
col,2828000000,1972
col,3175000000,1973
col,3347000000,1974
col,3758000000,1975
col,3944000000,1976
col,5053000000,1977
col,5102000000,1978
col,5869000000,1979
col,6941000000,1980
col,8716000000,1981
col,10310000000,1982
col,11410000000,1983
col,12040000000,1984
col,14250000000,1985
col,15360000000,1986
col,17020000000,1987
col,17020000000,1988
col,16890000000,1989
col,17220000000,1990
col,17200000000,1991
col,17280000000,1992
col,18940000000,1993
col,21940000000,1994
col,25040000000,1995
col,28900000000,1996
col,31940000000,1997
col,33080000000,1998
col,34430000000,1999
col,33940000000,2000
col,36240000000,2001
col,33200000000,2002
col,37000000000,2003
col,37910000000,2004
col,37720000000,2005
col,38320000000,2006
col,43960000000,2007
col,46890000000,2008
com,1172000,1970
com,1238000,1971
com,1507000,1972
com,1693000,1973
com,4292000,1974
com,4722000,1975
com,18520000,1976
com,24520000,1977
com,29350000,1978
com,40110000,1979
com,43980000,1980
com,54850000,1981
com,68940000,1982
com,85800000,1983
com,104800000,1984
com,134200000,1985
com,166600000,1986
com,203300000,1987
com,200000000,1988
com,177000000,1989
com,187800000,1990
com,182400000,1991
com,190700000,1992
com,190200000,1993
com,202700000,1994
com,214500000,1995
com,226400000,1996
com,227600000,1997
