mean_years_in_school_women_25_years_and_older,geo,time
5.5,cyp,1975
5.7,cyp,1976
5.9,cyp,1977
6.1,cyp,1978
6.3,cyp,1979
6.5,cyp,1980
6.7,cyp,1981
6.9,cyp,1982
7.1,cyp,1983
7.3,cyp,1984
7.5,cyp,1985
7.7,cyp,1986
7.9,cyp,1987
8.1,cyp,1988
8.3,cyp,1989
8.5,cyp,1990
8.7,cyp,1991
8.9,cyp,1992
9.1,cyp,1993
9.3,cyp,1994
9.5,cyp,1995
9.6,cyp,1996
9.8,cyp,1997
10.0,cyp,1998
10.2,cyp,1999
10.4,cyp,2000
10.5,cyp,2001
10.7,cyp,2002
10.9,cyp,2003
11.0,cyp,2004
11.2,cyp,2005
11.4,cyp,2006
11.5,cyp,2007
11.7,cyp,2008
11.8,cyp,2009
8.8,cze,1970
8.9,cze,1971
9.1,cze,1972
9.3,cze,1973
9.5,cze,1974
9.6,cze,1975
9.8,cze,1976
9.9,cze,1977
10.1,cze,1978
10.2,cze,1979
10.4,cze,1980
10.5,cze,1981
10.7,cze,1982
10.8,cze,1983
10.9,cze,1984
11.1,cze,1985
11.2,cze,1986
11.3,cze,1987
11.4,cze,1988
11.5,cze,1989
11.6,cze,1990
11.7,cze,1991
11.8,cze,1992
11.9,cze,1993
12.0,cze,1994
12.1,cze,1995
12.2,cze,1996
12.3,cze,1997
12.4,cze,1998
12.5,cze,1999
12.6,cze,2000
12.7,cze,2001
12.7,cze,2002
12.8,cze,2003
12.9,cze,2004
13.0,cze,2005
13.1,cze,2006
13.1,cze,2007
13.2,cze,2008
13.3,cze,2009
7.9,dnk,1970
8.1,dnk,1971
8.3,dnk,1972
8.5,dnk,1973
8.6,dnk,1974
8.8,dnk,1975
9.0,dnk,1976
9.1,dnk,1977
9.3,dnk,1978
9.5,dnk,1979
9.6,dnk,1980
9.8,dnk,1981
9.9,dnk,1982
10.1,dnk,1983
10.2,dnk,1984
10.4,dnk,1985
10.5,dnk,1986
10.6,dnk,1987
10.8,dnk,1988
10.9,dnk,1989
11.0,dnk,1990
11.1,dnk,1991
11.2,dnk,1992
11.3,dnk,1993
11.5,dnk,1994
11.6,dnk,1995
11.7,dnk,1996
11.8,dnk,1997
11.9,dnk,1998
12.0,dnk,1999
12.1,dnk,2000
12.1,dnk,2001
12.2,dnk,2002
12.3,dnk,2003
12.4,dnk,2004
12.5,dnk,2005
12.6,dnk,2006
12.7,dnk,2007
12.7,dnk,2008
12.8,dnk,2009
0.2,dji,1970
0.2,dji,1971
0.3,dji,1972
0.3,dji,1973
0.3,dji,1974
0.3,dji,1975
0.3,dji,1976
0.3,dji,1977
0.4,dji,1978
0.4,dji,1979
0.4,dji,1980
0.4,dji,1981
0.4,dji,1982
0.5,dji,1983
0.5,dji,1984
0.5,dji,1985
0.5,dji,1986
0.6,dji,1987
0.6,dji,1988
0.6,dji,1989
0.7,dji,1990
0.7,dji,1991
0.7,dji,1992
0.8,dji,1993
0.8,dji,1994
0.9,dji,1995
0.9,dji,1996
1.0,dji,1997
1.0,dji,1998
1.1,dji,1999
1.1,dji,2000
1.2,dji,2001
1.2,dji,2002
1.3,dji,2003
1.4,dji,2004
1.5,dji,2005
1.5,dji,2006
1.6,dji,2007
1.7,dji,2008
1.8,dji,2009
2.3,dom,1970
2.4,dom,1971
2.5,dom,1972
2.6,dom,1973
2.7,dom,1974
2.8,dom,1975
2.9,dom,1976
3.0,dom,1977
3.1,dom,1978
3.2,dom,1979
3.3,dom,1980
3.5,dom,1981
3.6,dom,1982
3.7,dom,1983
3.8,dom,1984
4.0,dom,1985
4.1,dom,1986
4.3,dom,1987
4.4,dom,1988
4.6,dom,1989
4.7,dom,1990
4.9,dom,1991
5.0,dom,1992
5.2,dom,1993
5.3,dom,1994
5.5,dom,1995
5.6,dom,1996
5.8,dom,1997
6.0,dom,1998
6.1,dom,1999
6.3,dom,2000
6.4,dom,2001
6.6,dom,2002
6.7,dom,2003
6.9,dom,2004
7.0,dom,2005
7.2,dom,2006
7.4,dom,2007
7.5,dom,2008
7.7,dom,2009
3.1,ecu,1970
3.2,ecu,1971
3.3,ecu,1972
3.4,ecu,1973
3.5,ecu,1974
3.6,ecu,1975
3.7,ecu,1976
3.9,ecu,1977
4.0,ecu,1978
4.1,ecu,1979
4.2,ecu,1980
4.3,ecu,1981
4.5,ecu,1982
4.6,ecu,1983
4.7,ecu,1984
4.8,ecu,1985
5.0,ecu,1986
5.1,ecu,1987
5.2,ecu,1988
5.4,ecu,1989
5.5,ecu,1990
5.6,ecu,1991
5.8,ecu,1992
5.9,ecu,1993
6.0,ecu,1994
6.2,ecu,1995
6.3,ecu,1996
6.4,ecu,1997
6.6,ecu,1998
6.7,ecu,1999
6.8,ecu,2000
7.0,ecu,2001
7.1,ecu,2002
7.3,ecu,2003
7.4,ecu,2004
7.5,ecu,2005
7.7,ecu,2006
7.8,ecu,2007
7.9,ecu,2008
8.1,ecu,2009
0.9,egy,1970
1.0,egy,1971
1.1,egy,1972
1.1,egy,1973
1.2,egy,1974
1.3,egy,1975
1.4,egy,1976
1.4,egy,1977
1.5,egy,1978
1.6,egy,1979
1.7,egy,1980
1.8,egy,1981
1.9,egy,1982
2.0,egy,1983
2.1,egy,1984
2.2,egy,1985
2.3,egy,1986
2.4,egy,1987
2.5,egy,1988
2.6,egy,1989
2.7,egy,1990
2.8,egy,1991
2.9,egy,1992
3.1,egy,1993
3.2,egy,1994
3.3,egy,1995
3.4,egy,1996
3.6,egy,1997
3.7,egy,1998
3.9,egy,1999
4.0,egy,2000
4.1,egy,2001
4.3,egy,2002
4.4,egy,2003
4.6,egy,2004
4.7,egy,2005
4.9,egy,2006
5.0,egy,2007
5.2,egy,2008
5.3,egy,2009
2.4,slv,1970
2.5,slv,1971
2.5,slv,1972
