cell_phones_total,geo,time
0,bwa,1979
0,bwa,1980
0,bwa,1981
0,bwa,1982
0,bwa,1983
0,bwa,1984
0,bwa,1985
0,bwa,1986
0,bwa,1987
0,bwa,1988
0,bwa,1989
0,bwa,1990
0,bwa,1991
0,bwa,1992
0,bwa,1993
0,bwa,1994
0,bwa,1995
0,bwa,1996
0,bwa,1997
15190,bwa,1998
92000,bwa,1999
222200,bwa,2000
332300,bwa,2001
332300,bwa,2002
445000,bwa,2003
522800,bwa,2004
563800,bwa,2005
823100,bwa,2006
1152000,bwa,2007
1486000,bwa,2008
1874000,bwa,2009
2363000,bwa,2010
2900000,bwa,2011
0,bra,1965
0,bra,1970
0,bra,1975
0,bra,1976
0,bra,1977
0,bra,1978
0,bra,1979
0,bra,1980
0,bra,1981
0,bra,1982
0,bra,1983
0,bra,1984
0,bra,1985
0,bra,1986
0,bra,1987
0,bra,1988
0,bra,1989
667,bra,1990
6700,bra,1991
32000,bra,1992
182000,bra,1993
574000,bra,1994
1286000,bra,1995
2498000,bra,1996
4550000,bra,1997
7368000,bra,1998
15030000,bra,1999
23190000,bra,2000
28750000,bra,2001
34880000,bra,2002
46370000,bra,2003
65600000,bra,2004
86210000,bra,2005
99920000,bra,2006
121000000,bra,2007
150600000,bra,2008
174000000,bra,2009
202900000,bra,2010
242200000,bra,2011
0,brn,1965
0,brn,1970
0,brn,1975
0,brn,1976
0,brn,1977
0,brn,1978
0,brn,1979
0,brn,1980
0,brn,1981
0,brn,1982
0,brn,1983
0,brn,1984
0,brn,1985
0,brn,1986
0,brn,1987
0,brn,1988
1772,brn,1990
3025,brn,1991
4103,brn,1992
8304,brn,1993
15620,brn,1994
35880,brn,1995
43520,brn,1996
45000,brn,1997
49130,brn,1998
66000,brn,1999
95000,brn,2000
143000,brn,2001
153600,brn,2002
177400,brn,2003
202500,brn,2004
232900,brn,2005
301400,brn,2006
366100,brn,2007
398900,brn,2008
412900,brn,2009
435100,brn,2010
443200,brn,2011
0,bgr,1965
0,bgr,1970
0,bgr,1975
0,bgr,1976
0,bgr,1977
0,bgr,1978
0,bgr,1979
0,bgr,1980
0,bgr,1981
0,bgr,1982
0,bgr,1983
0,bgr,1984
0,bgr,1985
0,bgr,1986
0,bgr,1987
0,bgr,1988
0,bgr,1989
0,bgr,1990
0,bgr,1991
0,bgr,1992
1000,bgr,1993
6500,bgr,1994
20920,bgr,1995
26590,bgr,1996
70000,bgr,1997
127000,bgr,1998
350000,bgr,1999
738000,bgr,2000
1550000,bgr,2001
2598000,bgr,2002
3501000,bgr,2003
4730000,bgr,2004
6245000,bgr,2005
8253000,bgr,2006
9897000,bgr,2007
10430000,bgr,2008
10450000,bgr,2009
10200000,bgr,2010
10480000,bgr,2011
0,bfa,1965
0,bfa,1970
0,bfa,1975
0,bfa,1976
0,bfa,1977
0,bfa,1978
0,bfa,1979
0,bfa,1980
