improved_sanitation_rural_access_percent,geo,time
93,kgz,2007
93,kgz,2008
93,kgz,2009
93,kgz,2010
8,lao,1994
8,lao,1995
8,lao,1996
8,lao,1997
8,lao,1998
12,lao,1999
15,lao,2000
19,lao,2001
22,lao,2002
26,lao,2003
29,lao,2004
33,lao,2005
36,lao,2006
40,lao,2007
43,lao,2008
47,lao,2009
50,lao,2010
71,lva,1997
71,lva,1998
71,lva,1999
71,lva,2000
71,lva,2001
71,lva,2002
71,lva,2003
71,lva,2004
71,lva,2005
71,lva,2006
71,lva,2007
71,lva,2008
71,lva,2009
87,lbn,1993
87,lbn,1994
87,lbn,1995
87,lbn,1996
87,lbn,1997
87,lbn,1998
87,lbn,1999
87,lbn,2000
87,lbn,2001
87,lbn,2002
87,lbn,2003
87,lbn,2004
87,lbn,2005
21,lso,1994
21,lso,1995
21,lso,1996
21,lso,1997
21,lso,1998
22,lso,1999
22,lso,2000
22,lso,2001
22,lso,2002
23,lso,2003
23,lso,2004
23,lso,2005
23,lso,2006
23,lso,2007
24,lso,2008
24,lso,2009
24,lso,2010
2,lbr,1994
2,lbr,1995
2,lbr,1996
2,lbr,1997
2,lbr,1998
2,lbr,1999
3,lbr,2000
3,lbr,2001
3,lbr,2002
4,lbr,2003
4,lbr,2004
5,lbr,2005
5,lbr,2006
5,lbr,2007
6,lbr,2008
6,lbr,2009
7,lbr,2010
96,lby,1990
96,lby,1991
96,lby,1992
96,lby,1993
96,lby,1994
96,lby,1995
96,lby,1996
96,lby,1997
96,lby,1998
96,lby,1999
96,lby,2000
96,lby,2001
96,lby,2002
96,lby,2003
96,lby,2004
96,lby,2005
96,lby,2006
96,lby,2007
96,lby,2008
96,lby,2009
96,lby,2010
69,ltu,1997
69,ltu,1998
69,ltu,1999
69,ltu,2000
69,ltu,2001
69,ltu,2002
69,ltu,2003
69,ltu,2004
69,ltu,2005
69,ltu,2006
69,ltu,2007
69,ltu,2008
69,ltu,2009
100,lux,1990
100,lux,1991
100,lux,1992
100,lux,1993
100,lux,1994
100,lux,1995
100,lux,1996
100,lux,1997
100,lux,1998
100,lux,1999
100,lux,2000
100,lux,2001
100,lux,2002
100,lux,2003
100,lux,2004
100,lux,2005
100,lux,2006
100,lux,2007
100,lux,2008
100,lux,2009
100,lux,2010
82,mkd,2000
82,mkd,2001
82,mkd,2002
82,mkd,2003
82,mkd,2004
82,mkd,2005
82,mkd,2006
82,mkd,2007
82,mkd,2008
82,mkd,2009
82,mkd,2010
7,mdg,1990
8,mdg,1991
8,mdg,1992
8,mdg,1993
8,mdg,1994
9,mdg,1995
9,mdg,1996
9,mdg,1997
9,mdg,1998
9,mdg,1999
10,mdg,2000
10,mdg,2001
10,mdg,2002
10,mdg,2003
11,mdg,2004
11,mdg,2005
11,mdg,2006
11,mdg,2007
12,mdg,2008
12,mdg,2009
12,mdg,2010
38,mwi,1990
39,mwi,1991
39,mwi,1992
40,mwi,1993
41,mwi,1994
41,mwi,1995
42,mwi,1996
43,mwi,1997
43,mwi,1998
44,mwi,1999
45,mwi,2000
45,mwi,2001
46,mwi,2002
47,mwi,2003
47,mwi,2004
48,mwi,2005
49,mwi,2006
49,mwi,2007
50,mwi,2008
51,mwi,2009
51,mwi,2010
81,mys,1990
81,mys,1991
82,mys,1992
83,mys,1993
84,mys,1994
85,mys,1995
86,mys,1996
87,mys,1997
88,mys,1998
89,mys,1999
90,mys,2000
91,mys,2001
92,mys,2002
93,mys,2003
94,mys,2004
95,mys,2005
95,mys,2006
95,mys,2007
95,mys,2008
95,mys,2009
95,mys,2010
58,mdv,1990
58,mdv,1991
58,mdv,1992
58,mdv,1993
58,mdv,1994
60,mdv,1995
63,mdv,1996
65,mdv,1997
68,mdv,1998
70,mdv,1999
72,mdv,2000
75,mdv,2001
77,mdv,2002
80,mdv,2003
82,mdv,2004
85,mdv,2005
87,mdv,2006
90,mdv,2007
92,mdv,2008
95,mdv,2009
97,mdv,2010
10,mli,1990
10,mli,1991
10,mli,1992
11,mli,1993
11,mli,1994
11,mli,1995
11,mli,1996
11,mli,1997
12,mli,1998
12,mli,1999
12,mli,2000
12,mli,2001
12,mli,2002
13,mli,2003
13,mli,2004
13,mli,2005
13,mli,2006
14,mli,2007
14,mli,2008
14,mli,2009
14,mli,2010
100,mlt,1990
100,mlt,1991
100,mlt,1992
100,mlt,1993
100,mlt,1994
100,mlt,1995
100,mlt,1996
100,mlt,1997
100,mlt,1998
100,mlt,1999
100,mlt,2000
100,mlt,2001
100,mlt,2002
100,mlt,2003
100,mlt,2004
100,mlt,2005
100,mlt,2006
100,mlt,2007
100,mlt,2008
100,mlt,2009
100,mlt,2010
41,mhl,1990
42,mhl,1991
43,mhl,1992
43,mhl,1993
44,mhl,1994
44,mhl,1995
45,mhl,1996
46,mhl,1997
46,mhl,1998
47,mhl,1999
48,mhl,2000
48,mhl,2001
49,mhl,2002
50,mhl,2003
50,mhl,2004
