geo,electricity_generation_per_person,time
tkm,2349.0,2004
tkm,2589.0,2005
tkm,2707.0,2006
tkm,2844.0,2007
tkm,2931.0,2008
ukr,5782.0,1990
ukr,5393.0,1991
ukr,4870.0,1992
ukr,4431.0,1993
ukr,3930.0,1994
ukr,3786.0,1995
ukr,3576.0,1996
ukr,3494.0,1997
ukr,3442.0,1998
ukr,3455.0,1999
ukr,3448.0,2000
ukr,3533.0,2001
ukr,3615.0,2002
ukr,3766.0,2003
ukr,3851.0,2004
ukr,3936.0,2005
ukr,4113.0,2006
ukr,4202.0,2007
ukr,4152.0,2008
are,8756.0,1990
are,8669.0,1991
are,9122.0,1992
are,10380.0,1993
are,11110.0,1994
are,11480.0,1995
are,11990.0,1996
are,12630.0,1997
are,14560.0,1998
are,15930.0,1999
are,16860.0,2000
are,17930.0,2001
are,19050.0,2002
are,19940.0,2003
are,20770.0,2004
are,23680.0,2005
are,25650.0,2006
are,27210.0,2007
are,28790.0,2008
gbr,5561.0,1990
gbr,5599.0,1991
gbr,5548.0,1992
gbr,5568.0,1993
gbr,5610.0,1994
gbr,5775.0,1995
gbr,5986.0,1996
gbr,5963.0,1997
gbr,6144.0,1998
gbr,6209.0,1999
gbr,6335.0,2000
gbr,6443.0,2001
gbr,6464.0,2002
gbr,6626.0,2003
gbr,6536.0,2004
gbr,6591.0,2005
gbr,6564.0,2006
gbr,6518.0,2007
gbr,6400.0,2008
usa,12730.0,1990
usa,12720.0,1991
usa,12590.0,1992
usa,12890.0,1993
usa,12930.0,1994
usa,13190.0,1995
usa,13390.0,1996
usa,13410.0,1997
usa,13750.0,1998
usa,13880.0,1999
usa,14130.0,2000
usa,13770.0,2001
usa,14080.0,2002
usa,14040.0,2003
usa,14220.0,2004
usa,14400.0,2005
usa,14300.0,2006
usa,14490.0,2007
usa,14210.0,2008
uzb,2731.0,1990
uzb,2563.0,1991
uzb,2362.0,1992
uzb,2209.0,1993
uzb,2092.0,1994
uzb,2075.0,1995
uzb,1956.0,1996
uzb,1949.0,1997
uzb,1914.0,1998
uzb,1859.0,1999
uzb,1890.0,2000
uzb,1852.0,2001
uzb,1929.0,2002
