geo,male_family_workers_percent_of_male_labour_force,time
mys,2.7,1997
mys,3.0,1998
mys,3.3,1999
mys,2.7,2000
mys,2.3,2001
mys,2.1,2002
mys,2.2,2003
mys,2.4,2004
mys,2.3,2005
mys,2.8,2006
mys,2.7,2007
mdv,4.0,1990
mdv,4.1,1995
mdv,1.3,2000
mli,61.5,1994
mli,18.4,2004
mlt,0.0,2006
mlt,0.0,2007
mhl,1.4,1999
mus,1.5,1990
mus,1.6,1995
mus,0.5,2000
mus,0.8,2004
mus,0.9,2005
mus,0.7,2006
mus,0.9,2007
mex,2.9,1990
mex,11.1,1991
mex,9.4,1992
mex,12.2,1993
mex,9.9,1994
mex,9.2,1995
mex,9.1,1996
mex,8.9,1997
mex,7.9,1998
mex,7.4,1999
mex,6.1,2000
mex,6.0,2001
mex,6.3,2002
mex,6.0,2003
mex,5.7,2004
mex,5.5,2005
mex,5.0,2006
mex,4.9,2007
mng,14.0,2000
mng,18.4,2003
mne,1.9,2005
msr,1.1,1991
mar,16.8,1994
mar,21.4,1999
mar,5.5,2000
mar,5.6,2001
mar,22.2,2002
mar,21.6,2003
mar,23.1,2004
mar,22.8,2005
mar,17.0,2006
nam,14.5,1994
nam,6.4,1997
nam,2.6,2000
nam,12.8,2001
nam,3.2,2004
npl,5.7,2001
nld,0.4,1995
nld,0.5,1996
nld,0.3,1997
nld,0.2,1998
nld,0.2,1999
nld,0.3,2000
nld,0.2,2001
nld,0.2,2002
nld,0.2,2003
nld,0.2,2004
nld,0.2,2005
nld,0.2,2006
nld,0.2,2007
ant,1.3,1991
ant,0.6,1992
ant,0.6,1993
ant,0.6,1994
ant,0.5,1995
ant,0.3,1996
ant,0.3,1997
ant,0.7,1998
ant,0.1,2000
ncl,0.3,1996
nzl,0.2,1981
nzl,0.5,1986
nzl,0.4,1987
nzl,0.3,1988
nzl,0.5,1989
nzl,0.7,1990
nzl,0.8,1991
nzl,0.7,1992
nzl,0.7,1993
nzl,0.6,1994
nzl,0.7,1995
nzl,0.7,1996
nzl,0.6,1997
nzl,0.5,1998
nzl,0.6,1999
