geo,oil_proven_reserves_per_person,time
tun,6.994,2002
tun,8.979,2003
tun,9.308,2004
tun,7.582,2005
tun,7.99,2006
tun,7.977,2007
tun,7.899,2008
tkm,17.12,1998
tkm,16.8,1999
tkm,16.48,2000
tkm,16.18,2001
tkm,15.88,2002
tkm,15.59,2003
tkm,15.31,2004
tkm,15.04,2005
tkm,16.23,2006
tkm,15.93,2007
tkm,15.64,2008
are,4147.0,1980
are,3989.0,1981
are,3666.0,1982
are,3352.0,1983
are,3082.0,1984
are,2866.0,1985
are,7737.0,1986
are,7525.0,1987
are,7275.0,1988
are,7055.0,1989
are,6859.0,1990
are,6685.0,1991
are,6531.0,1992
are,6392.0,1993
are,6265.0,1994
are,6148.0,1995
are,6021.0,1996
are,5918.0,1997
are,5819.0,1998
are,5723.0,1999
are,5631.0,2000
are,5541.0,2001
are,5454.0,2002
are,5369.0,2003
are,5285.0,2004
are,5204.0,2005
are,5125.0,2006
are,5048.0,2007
are,4972.0,2008
gbr,20.44,1980
gbr,19.05,1981
gbr,18.07,1982
gbr,16.78,1983
gbr,14.49,1984
gbr,13.55,1985
gbr,12.79,1986
gbr,12.39,1987
gbr,10.2,1988
gbr,9.101,1989
gbr,9.519,1990
gbr,9.846,1991
gbr,10.78,1992
gbr,10.67,1993
gbr,10.1,1994
gbr,10.59,1995
gbr,11.61,1996
gbr,12.0,1997
gbr,11.87,1998
gbr,11.47,1999
gbr,10.83,2000
gbr,10.36,2001
gbr,10.16,2002
gbr,9.72,2003
gbr,9.047,2004
gbr,8.734,2005
gbr,8.085,2006
gbr,7.608,2007
gbr,7.587,2008
usa,21.88,1980
usa,21.65,1981
usa,20.61,1982
usa,20.75,1983
usa,20.83,1984
usa,20.8,1985
usa,19.87,1986
usa,19.89,1987
usa,19.52,1988
usa,18.9,1989
usa,18.45,1990
usa,17.3,1991
usa,16.56,1992
usa,15.82,1993
usa,15.34,1994
usa,15.22,1995
usa,15.09,1996
usa,15.25,1997
usa,14.11,1998
usa,14.49,1999
usa,14.68,2000
usa,14.57,2001
usa,14.54,2002
usa,13.79,2003
usa,13.64,2004
usa,13.8,2005
usa,13.46,2006
usa,13.8,2007
usa,13.67,2008
uzb,3.379,1998
uzb,3.326,1999
uzb,3.273,2000
uzb,3.221,2001
uzb,3.169,2002
uzb,3.118,2003
uzb,3.068,2004
uzb,3.017,2005
uzb,2.967,2006
uzb,2.917,2007
uzb,2.866,2008
ven,180.4,1980
ven,178.9,1981
ven,217.4,1982
ven,219.5,1983
ven,231.1,1984
ven,437.0,1985
ven,434.0,1986
ven,442.5,1987
ven,434.2,1988
ven,427.2,1989
ven,423.9,1990
ven,431.6,1991
ven,426.3,1992
ven,424.6,1993
ven,418.7,1994
ven,419.7,1995
ven,451.2,1996
ven,456.8,1997
ven,455.9,1998
ven,452.6,1999
ven,445.2,2000
ven,443.0,2001
ven,434.2,2002
ven,427.2,2003
ven,434.7,2004
ven,430.1,2005
ven,462.9,2006
ven,519.7,2007
ven,512.7,2008
vnm,0.1085,1988
vnm,0.2268,1989
vnm,0.407,1990
vnm,0.4769,1991
vnm,0.6826,1992
vnm,1.141,1993
vnm,1.201,1994
vnm,1.413,1995
vnm,1.62,1996
vnm,2.236,1997
vnm,3.362,1998
vnm,3.144,1999
vnm,3.364,2000
vnm,3.751,2001
vnm,4.741,2002
vnm,4.936,2003
vnm,5.089,2004
vnm,5.093,2005
vnm,5.252,2006
vnm,5.455,2007
vnm,7.492,2008
yem,6.471,1985
yem,6.274,1986
yem,12.77,1987
yem,23.54,1988
yem,22.76,1989
yem,21.97,1990
yem,21.28,1991
yem,20.51,1992
yem,19.51,1993
yem,18.82,1994
yem,18.23,1995
yem,17.67,1996
yem,15.76,1997
yem,15.43,1998
yem,14.93,1999
yem,18.73,2000
yem,18.11,2001
yem,20.82,2002
yem,20.09,2003
yem,20.43,2004
yem,19.22,2005
yem,17.67,2006
yem,16.4,2007
yem,15.84,2008
