armed_forces_personnel_percent_of_labor_force,geo,time
0.6569,est,1993
0.5486,est,1994
0.784,est,1995
0.7912,est,1996
0.9126,est,1997
1.059,est,1998
1.152,est,1999
1.159,est,2000
1.112,est,2001
1.259,est,2002
1.218,est,2003
0.899,est,2004
1.198,est,2005
1.014,est,2006
1.012,est,2007
0.9984,est,2008
1.172,eth,1985
1.197,eth,1989
1.161,eth,1990
0.5388,eth,1991
0.521,eth,1992
0.5065,eth,1993
0.4922,eth,1994
0.4786,eth,1995
0.4664,eth,1996
0.4537,eth,1997
0.4409,eth,1998
1.165,eth,1999
1.216,eth,2000
0.8391,eth,2001
0.8089,eth,2002
0.5013,eth,2003
0.5417,eth,2004
0.525,eth,2005
0.373,eth,2007
0.3617,eth,2008
1.132,fji,1985
1.601,fji,1989
1.968,fji,1990
1.923,fji,1991
1.871,fji,1992
1.816,fji,1993
1.414,fji,1994
1.341,fji,1995
1.21,fji,1996
1.192,fji,1997
1.145,fji,1998
1.137,fji,1999
1.122,fji,2000
1.11,fji,2001
1.101,fji,2002
1.089,fji,2003
0.9261,fji,2004
1.22,fji,2005
1.208,fji,2006
1.192,fji,2007
1.177,fji,2008
1.417,fin,1985
1.483,fin,1989
1.182,fin,1990
1.24,fin,1991
1.301,fin,1992
1.232,fin,1993
1.401,fin,1994
1.393,fin,1995
1.46,fin,1996
1.37,fin,1997
1.389,fin,1998
1.323,fin,1999
1.311,fin,2000
1.315,fin,2001
1.29,fin,2002
1.117,fin,2003
1.16,fin,2004
1.18,fin,2005
1.201,fin,2006
1.189,fin,2007
1.177,fin,2008
1.888,fra,1985
2.214,fra,1989
2.197,fra,1990
2.167,fra,1991
2.071,fra,1992
1.997,fra,1993
1.992,fra,1994
1.969,fra,1995
1.903,fra,1996
1.833,fra,1997
1.74,fra,1998
1.57,fra,1999
1.476,fra,2000
1.418,fra,2001
1.352,fra,2002
1.316,fra,2003
1.296,fra,2004
1.289,fra,2005
1.26,fra,2006
1.243,fra,2007
1.234,fra,2008
0.6877,gab,1985
2.586,gab,1989
2.266,gab,1990
2.453,gab,1991
1.666,gab,1992
1.617,gab,1993
1.348,gab,1994
2.072,gab,1995
2.011,gab,1996
1.953,gab,1997
1.894,gab,1998
1.829,gab,1999
1.248,gab,2000
1.211,gab,2001
1.172,gab,2002
1.136,gab,2003
0.986,gab,2004
1.115,gab,2005
1.05,gab,2007
1.019,gab,2008
0.1463,gmb,1985
0.5204,gmb,1989
0.4998,gmb,1990
0.4805,gmb,1991
0.2311,gmb,1992
0.2225,gmb,1993
0.2142,gmb,1994
0.1648,gmb,1995
0.1587,gmb,1996
0.153,gmb,1997
0.1475,gmb,1998
0.1425,gmb,1999
0.1378,gmb,2000
0.1332,gmb,2001
0.1288,gmb,2002
0.1249,gmb,2003
0.1211,gmb,2004
0.1174,gmb,2005
0.1385,gmb,2007
0.1346,gmb,2008
0.9811,geo,1993
0.2834,geo,1994
0.5717,geo,1995
0.6102,geo,1996
1.589,geo,1997
1.595,geo,1998
1.338,geo,1999
1.418,geo,2000
1.171,geo,2001
1.243,geo,2002
1.221,geo,2003
0.9415,geo,2004
0.9914,geo,2005
1.433,geo,2006
