geo,aged_15plus_labour_force_participation_rate_percent,time
eri,71.1,1988
eri,70.9,1989
eri,70.7,1990
eri,70.5,1991
eri,70.4,1992
eri,70.5,1993
eri,70.7,1994
eri,70.7,1995
eri,70.7,1996
eri,70.7,1997
eri,70.7,1998
eri,70.7,1999
eri,70.5,2000
eri,70.4,2001
eri,70.3,2002
eri,70.2,2003
eri,70.1,2004
eri,70.2,2005
eri,70.2,2006
eri,70.0,2007
est,66.3,1980
est,66.4,1981
est,66.6,1982
est,66.7,1983
est,66.7,1984
est,66.7,1985
est,66.5,1986
est,66.3,1987
est,66.0,1988
est,65.7,1989
est,65.7,1990
est,63.8,1991
est,63.9,1992
est,63.6,1993
est,63.1,1994
est,62.5,1995
est,61.5,1996
est,60.5,1997
est,60.5,1998
est,60.2,1999
est,59.8,2000
est,59.6,2001
est,58.9,2002
est,59.5,2003
est,58.2,2004
est,59.2,2005
est,58.7,2006
est,59.2,2007
eth,72.2,1980
eth,72.2,1981
eth,72.2,1982
eth,72.2,1983
eth,72.1,1984
eth,72.8,1985
eth,73.4,1986
eth,74.0,1987
eth,74.6,1988
eth,75.2,1989
eth,75.8,1990
eth,76.4,1991
eth,77.0,1992
eth,77.6,1993
eth,78.1,1994
eth,78.8,1995
eth,79.5,1996
eth,80.1,1997
eth,80.6,1998
eth,81.2,1999
eth,81.8,2000
eth,82.5,2001
eth,83.1,2002
eth,83.7,2003
eth,84.3,2004
eth,84.8,2005
eth,84.6,2006
eth,85.3,2007
fji,53.8,1980
fji,53.8,1981
fji,54.1,1982
fji,54.5,1983
fji,54.4,1984
fji,54.8,1985
fji,54.7,1986
fji,55.1,1987
fji,55.6,1988
fji,56.1,1989
fji,56.6,1990
fji,57.0,1991
fji,57.5,1992
fji,58.0,1993
fji,58.4,1994
fji,58.9,1995
fji,59.4,1996
fji,59.3,1997
fji,59.2,1998
fji,59.0,1999
fji,59.2,2000
fji,59.2,2001
fji,59.2,2002
fji,59.2,2003
fji,59.2,2004
fji,59.3,2005
fji,59.2,2006
fji,59.2,2007
fin,64.8,1980
fin,65.3,1981
fin,65.5,1982
fin,65.1,1983
fin,65.1,1984
fin,65.2,1985
fin,65.1,1986
fin,64.4,1987
fin,64.2,1988
fin,65.1,1989
fin,64.8,1990
fin,63.2,1991
fin,61.7,1992
fin,60.7,1993
fin,60.1,1994
fin,60.2,1995
fin,60.1,1996
fin,59.7,1997
fin,60.1,1998
fin,60.8,1999
fin,61.3,2000
fin,61.5,2001
fin,61.5,2002
fin,60.9,2003
fin,60.4,2004
fin,60.9,2005
fin,61.3,2006
fin,61.3,2007
fra,57.3,1980
fra,57.0,1981
fra,56.8,1982
fra,56.4,1983
fra,56.1,1984
fra,56.1,1985
fra,56.1,1986
fra,55.8,1987
fra,55.3,1988
fra,55.3,1989
fra,54.8,1990
fra,54.4,1991
fra,54.4,1992
fra,54.3,1993
fra,54.2,1994
fra,54.3,1995
fra,54.6,1996
fra,54.3,1997
fra,54.4,1998
fra,54.6,1999
fra,54.7,2000
fra,54.7,2001
